#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76116at50557_456900_0:001c77|STRG.16314.1:0-1058|+    -            353 76116at50557         -            268  7.1e-142  470.0   1.4   1   1  6.5e-144  2.4e-141  468.3   1.4     1   259    38   327    38   347 0.90 -
78395at50557_103372_0:001bc6|STRG.367.1:45-1112|+     -            356 76116at50557         -            268   9.6e-62  207.3   0.0   1   1   3.9e-64   1.4e-61  206.7   0.0     1   201    33   243    33   254 0.93 -
78395at50557_38123_0:0002db|STRG.7040.1:151-1131|+    -            327 76116at50557         -            268   6.6e-58  194.7   0.0   1   1   2.5e-60   9.3e-58  194.2   0.0     1   210    25   238    25   264 0.95 -
80072at50557_103372_0:001f31|STRG.5206.1:59-1117|+    -            353 76116at50557         -            268   5.4e-29   99.9   0.1   1   2   4.2e-10   1.5e-07   29.6   0.0     3    65     4    67     2    75 0.88 -
80072at50557_103372_0:001f31|STRG.5206.1:59-1117|+    -            353 76116at50557         -            268   5.4e-29   99.9   0.1   2   2   7.9e-22   2.9e-19   68.0   0.2    67   200    95   232    81   249 0.87 -
59039at50557_166361_0:00097d|STRG.15328.1:1815-3119|+ -            435 76116at50557         -            268   8.8e-14   50.0   0.4   1   2       1.9   6.8e+02   -2.1   0.0     4    18     4    19     3    31 0.75 -
59039at50557_166361_0:00097d|STRG.15328.1:1815-3119|+ -            435 76116at50557         -            268   8.8e-14   50.0   0.4   2   2   6.4e-16   2.4e-13   48.6   0.2    35   199    59   232    41   250 0.77 -
59039at50557_166361_0:00097d|STRG.15328.2:1536-2840|+ -            435 76116at50557         -            268   8.8e-14   50.0   0.4   1   2       1.9   6.8e+02   -2.1   0.0     4    18     4    19     3    31 0.75 -
59039at50557_166361_0:00097d|STRG.15328.2:1536-2840|+ -            435 76116at50557         -            268   8.8e-14   50.0   0.4   2   2   6.4e-16   2.4e-13   48.6   0.2    35   199    59   232    41   250 0.77 -
78395at50557_113334_0:001f45|STRG.9164.1:246-980|+    -            245 76116at50557         -            268   9.2e-11   40.1   0.0   1   2   6.1e-13   2.2e-10   38.9   0.0    12   169    29   191    17   227 0.75 -
78395at50557_113334_0:001f45|STRG.9164.1:246-980|+    -            245 76116at50557         -            268   9.2e-11   40.1   0.0   2   2      0.61   2.2e+02   -0.5   0.0   169   197   216   244   184   245 0.66 -
