#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42193at50557_103372_0:0016db|STRG.12324.1:186-1751|+ -            522 42193at50557         -            414  5.3e-216  716.3  11.7   1   1  4.8e-218  1.4e-215  715.0  11.7     1   406     1   454     1   462 0.92 -
42193at50557_88501_0:0015e5|STRG.12324.2:149-3572|+  -            755 42193at50557         -            414  2.6e-152  506.6  13.5   1   1  2.2e-154  6.5e-152  505.2  13.5     1   299     1   338     1   369 0.90 -
120478at50557_103372_0:000c5c|STRG.5979.1:207-689|+  -            161 42193at50557         -            414   9.4e-50  168.7   0.0   1   1     4e-52   1.2e-49  168.4   0.0   249   386     3   148     2   159 0.92 -
27737at50557_67767_0:00339d|STRG.11008.1:248-700|+   -            151 42193at50557         -            414   5.4e-45  153.1   0.0   1   1   2.2e-47   6.4e-45  152.8   0.0   252   388     3   146     1   150 0.93 -
27737at50557_7004_0:00327f|STRG.8506.2:8-1004|+      -            300 42193at50557         -            414   9.5e-42  142.4   0.1   1   1   4.5e-44   1.3e-41  141.9   0.1   251   387   153   297   131   299 0.90 -
27737at50557_103372_0:000a01|STRG.8506.1:47-1879|+   -            611 42193at50557         -            414     2e-41  141.3   0.6   1   2       1.7     5e+02   -1.6   0.0   277   330    46   107    37   114 0.52 -
27737at50557_103372_0:000a01|STRG.8506.1:47-1879|+   -            611 42193at50557         -            414     2e-41  141.3   0.6   2   2   1.7e-43   4.9e-41  140.0   0.1   251   388   461   606   440   610 0.90 -
42193at50557_123851_0:000a5d|STRG.2740.1:87-611|+    -            175 42193at50557         -            414   4.1e-36  123.8   0.0   1   1   1.6e-38   4.8e-36  123.6   0.0   249   403     3   170     1   174 0.89 -
27737at50557_67767_0:00339d|STRG.14029.1:130-621|+   -            164 42193at50557         -            414   4.3e-36  123.7   0.1   1   1   1.6e-38   4.6e-36  123.6   0.1   263   386    31   163     6   164 0.87 -
42193at50557_123851_0:000a5d|STRG.4183.1:323-766|+   -            148 42193at50557         -            414   6.8e-34  116.5   0.2   1   1   2.6e-36   7.6e-34  116.3   0.2   256   375     2   131     1   142 0.87 -
27737at50557_67767_0:00339d|STRG.7068.1:179-631|+    -            151 42193at50557         -            414   1.1e-32  112.5   0.2   1   1   4.2e-35   1.2e-32  112.4   0.2   263   376    25   147     9   151 0.87 -
27737at50557_67767_0:00339d|STRG.7068.2:482-934|+    -            151 42193at50557         -            414   1.1e-32  112.5   0.2   1   1   4.2e-35   1.2e-32  112.4   0.2   263   376    25   147     9   151 0.87 -
27737at50557_67767_0:00339d|STRG.9385.1:513-959|+    -            149 42193at50557         -            414   3.2e-31  107.7   0.1   1   1   1.3e-33   3.8e-31  107.4   0.1   262   374    23   144     9   148 0.88 -
