#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
120478at50557_103372_0:000c5c|STRG.5979.1:207-689|+  -            161 120478at50557        -            136   3.9e-71  236.4   0.1   1   1   1.4e-73   4.6e-71  236.1   0.1     1   136     3   160     3   160 0.94 -
42193at50557_103372_0:0016db|STRG.12324.1:186-1751|+ -            522 120478at50557        -            136   1.8e-34  117.6   0.7   1   2       1.7   5.7e+02   -0.5   0.1    84   123   108   148    89   153 0.70 -
42193at50557_103372_0:0016db|STRG.12324.1:186-1751|+ -            522 120478at50557        -            136   1.8e-34  117.6   0.7   2   2   2.2e-36   7.2e-34  115.7   0.1     1   120   285   422   285   440 0.85 -
27737at50557_103372_0:000a01|STRG.8506.1:47-1879|+   -            611 120478at50557        -            136   8.9e-34  115.4   0.1   1   2       3.3   1.1e+03   -1.4   0.0    28    61    48    84    33   114 0.64 -
27737at50557_103372_0:000a01|STRG.8506.1:47-1879|+   -            611 120478at50557        -            136   8.9e-34  115.4   0.1   2   2   1.2e-35   3.9e-33  113.3   0.0     3   129   461   609   459   611 0.87 -
27737at50557_7004_0:00327f|STRG.8506.2:8-1004|+      -            300 120478at50557        -            136   1.4e-33  114.7   0.0   1   1   7.5e-36   2.4e-33  114.0   0.0     3   123   153   291   151   300 0.88 -
42193at50557_123851_0:000a5d|STRG.2740.1:87-611|+    -            175 120478at50557        -            136   2.7e-27   94.4   0.0   1   1   9.7e-30   3.2e-27   94.2   0.0     1   104     3   121     3   159 0.83 -
27737at50557_67767_0:00339d|STRG.11008.1:248-700|+   -            151 120478at50557        -            136   7.6e-26   89.7   0.0   1   1   2.7e-28   8.8e-26   89.5   0.0     4   116     3   130     1   148 0.86 -
27737at50557_67767_0:00339d|STRG.7068.1:179-631|+    -            151 120478at50557        -            136   1.3e-23   82.5   0.0   1   1   5.5e-26   1.8e-23   82.0   0.0     7   115    16   142    12   148 0.83 -
27737at50557_67767_0:00339d|STRG.7068.2:482-934|+    -            151 120478at50557        -            136   1.3e-23   82.5   0.0   1   1   5.5e-26   1.8e-23   82.0   0.0     7   115    16   142    12   148 0.83 -
42193at50557_123851_0:000a5d|STRG.4183.1:323-766|+   -            148 120478at50557        -            136   1.1e-21   76.2   0.0   1   1   4.3e-24   1.4e-21   75.9   0.0     7   116     1   128     1   143 0.81 -
27737at50557_67767_0:00339d|STRG.14029.1:130-621|+   -            164 120478at50557        -            136   1.1e-19   69.8   0.0   1   1   4.4e-22   1.4e-19   69.4   0.0     6   122    21   155    17   164 0.79 -
27737at50557_67767_0:00339d|STRG.9385.1:513-959|+    -            149 120478at50557        -            136     2e-19   68.9   0.0   1   1   8.5e-22   2.8e-19   68.5   0.0     6   115    14   141    10   146 0.80 -
27737at50557_67767_0:00339d|STRG.9385.2:543-989|+    -            149 120478at50557        -            136     2e-19   68.9   0.0   1   1   8.5e-22   2.8e-19   68.5   0.0     6   115    14   141    10   146 0.80 -
