#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104469at50557_123851_0:002509|STRG.4653.1:309-1169|+ -            287 104469at50557        -            153   3.4e-41  139.5   0.2   1   1     1e-43   5.7e-41  138.8   0.2     5   153   143   286   138   286 0.91 -
104469at50557_7130_0:000905|STRG.5517.1:613-1098|+   -            162 104469at50557        -            153   1.3e-36  124.7   0.1   1   1   2.8e-39   1.5e-36  124.4   0.1     2   153     5   155     4   155 0.89 -
104469at50557_7130_0:000905|STRG.5517.2:676-1161|+   -            162 104469at50557        -            153   1.3e-36  124.7   0.1   1   1   2.8e-39   1.5e-36  124.4   0.1     2   153     5   155     4   155 0.89 -
104469at50557_6973_0:003e54|STRG.12133.2:555-1004|+  -            150 104469at50557        -            153   7.7e-25   86.4   0.0   1   1   1.6e-27   8.7e-25   86.2   0.0    10   151     5   149     1   150 0.82 -
104469at50557_7130_0:000905|STRG.12133.3:555-1061|+  -            169 104469at50557        -            153   1.5e-19   69.2   0.5   1   2   3.8e-05     0.021   13.6   0.1    10    54     5    47     1    58 0.76 -
104469at50557_7130_0:000905|STRG.12133.3:555-1061|+  -            169 104469at50557        -            153   1.5e-19   69.2   0.5   2   2   6.8e-18   3.7e-15   55.0   0.1    45   151    57   168    43   169 0.79 -
104469at50557_7130_0:000905|STRG.12133.1:1786-2277|+ -            164 104469at50557        -            153   2.2e-19   68.7   0.5   1   1   1.9e-19     1e-16   60.0   0.5    13   151     9   163     1   164 0.73 -
1859at50557_34720_0:002187|STRG.1470.1:1-5037|+      -           1679 104469at50557        -            153   1.3e-16   59.7   4.4   1   4   3.4e-06    0.0019   17.0   0.2    85   151   631   697   620   701 0.88 -
1859at50557_34720_0:002187|STRG.1470.1:1-5037|+      -           1679 104469at50557        -            153   1.3e-16   59.7   4.4   2   4    0.0023       1.3    7.8   0.0    95   152   898   955   888   956 0.90 -
1859at50557_34720_0:002187|STRG.1470.1:1-5037|+      -           1679 104469at50557        -            153   1.3e-16   59.7   4.4   3   4   4.8e-07   0.00026   19.7   0.1    95   152  1204  1261  1187  1262 0.89 -
1859at50557_34720_0:002187|STRG.1470.1:1-5037|+      -           1679 104469at50557        -            153   1.3e-16   59.7   4.4   4   4   6.4e-05     0.035   12.8   0.0    96   153  1495  1552  1486  1552 0.94 -
1859at50557_34720_0:002187|STRG.1470.2:1-5174|+      -           1679 104469at50557        -            153   1.3e-16   59.7   4.4   1   4   3.4e-06    0.0019   17.0   0.2    85   151   631   697   620   701 0.88 -
1859at50557_34720_0:002187|STRG.1470.2:1-5174|+      -           1679 104469at50557        -            153   1.3e-16   59.7   4.4   2   4    0.0023       1.3    7.8   0.0    95   152   898   955   888   956 0.90 -
1859at50557_34720_0:002187|STRG.1470.2:1-5174|+      -           1679 104469at50557        -            153   1.3e-16   59.7   4.4   3   4   4.8e-07   0.00026   19.7   0.1    95   152  1204  1261  1187  1262 0.89 -
1859at50557_34720_0:002187|STRG.1470.2:1-5174|+      -           1679 104469at50557        -            153   1.3e-16   59.7   4.4   4   4   6.4e-05     0.035   12.8   0.0    96   153  1495  1552  1486  1552 0.94 -
104469at50557_7397_0:004245|STRG.4487.1:80-313|+     -             78 104469at50557        -            153   3.5e-08   32.3   0.8   1   1   6.9e-11   3.8e-08   32.2   0.8    97   153    21    77     9    77 0.94 -
57812at50557_219809_0:001907|STRG.5923.4:118-2114|+  -            576 104469at50557        -            153   1.7e-07   30.1   0.4   1   1   6.4e-10   3.5e-07   29.1   0.4    83   152   289   358   268   359 0.84 -
57812at50557_219809_0:001907|STRG.5923.3:2516-4837|+ -            725 104469at50557        -            153   2.4e-07   29.6   0.4   1   1   8.8e-10   4.8e-07   28.6   0.4    83   152   438   507   417   508 0.84 -
104469at50557_7397_0:004245|STRG.4487.2:600-764|+    -             55 104469at50557        -            153   3.6e-07   29.0   0.5   1   1     7e-10   3.8e-07   28.9   0.5   100   153     1    54     1    54 0.95 -
27606at50557_103372_0:000e58|STRG.7336.1:0-1886|+    -            629 104469at50557        -            153    0.0041   15.8   0.2   1   2    0.0025       1.3    7.7   0.0    85   153   330   409   328   409 0.74 -
27606at50557_103372_0:000e58|STRG.7336.1:0-1886|+    -            629 104469at50557        -            153    0.0041   15.8   0.2   2   2      0.01       5.6    5.7   0.0    89   153   535   610   527   610 0.75 -
57812at50557_219809_0:001907|STRG.5923.1:2516-4008|+ -            496 104469at50557        -            153    0.0057   15.4   0.2   1   1   1.9e-05     0.011   14.5   0.2    83   140   438   495   417   496 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
