#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
41512at50557_103372_0:001cf0|STRG.20317.1:443-3130|+ -            896 41512at50557         -            666  1.6e-258  858.5   5.2   1   1  7.3e-259  5.2e-256  850.2   5.2     1   666    13   889    13   890 0.85 -
22300at50557_307491_0:00371e|STRG.8333.3:618-4805|+  -           1396 41512at50557         -            666     2e-30  104.7   8.5   1   6   1.5e-05     0.011   13.1   0.0   510   577    31   104    13   113 0.74 -
22300at50557_307491_0:00371e|STRG.8333.3:618-4805|+  -           1396 41512at50557         -            666     2e-30  104.7   8.5   2   6      0.17   1.2e+02   -0.3   0.0   518   585   313   390   289   416 0.71 -
22300at50557_307491_0:00371e|STRG.8333.3:618-4805|+  -           1396 41512at50557         -            666     2e-30  104.7   8.5   3   6   2.4e-11   1.7e-08   32.3   0.1   501   577   492   573   472   611 0.79 -
22300at50557_307491_0:00371e|STRG.8333.3:618-4805|+  -           1396 41512at50557         -            666     2e-30  104.7   8.5   4   6   2.4e-09   1.7e-06   25.7   0.0   499   577   932  1018   904  1028 0.80 -
22300at50557_307491_0:00371e|STRG.8333.3:618-4805|+  -           1396 41512at50557         -            666     2e-30  104.7   8.5   5   6   2.9e-11   2.1e-08   32.0   0.7   485   600  1135  1261  1091  1272 0.76 -
22300at50557_307491_0:00371e|STRG.8333.3:618-4805|+  -           1396 41512at50557         -            666     2e-30  104.7   8.5   6   6       0.3   2.2e+02   -1.1   0.1   172   217  1290  1335  1285  1348 0.86 -
22300at50557_307491_0:00371e|STRG.8333.1:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   1   6   1.5e-05     0.011   13.1   0.0   510   577    31   104    13   113 0.74 -
22300at50557_307491_0:00371e|STRG.8333.1:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   2   6      0.17   1.2e+02   -0.3   0.0   518   585   313   390   289   416 0.71 -
22300at50557_307491_0:00371e|STRG.8333.1:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   3   6   2.4e-11   1.7e-08   32.3   0.1   501   577   492   573   472   611 0.79 -
22300at50557_307491_0:00371e|STRG.8333.1:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   4   6   2.4e-09   1.7e-06   25.7   0.0   499   577   932  1018   904  1028 0.80 -
22300at50557_307491_0:00371e|STRG.8333.1:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   5   6   2.9e-11   2.1e-08   32.0   0.7   485   600  1135  1261  1091  1272 0.76 -
22300at50557_307491_0:00371e|STRG.8333.1:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   6   6      0.31   2.2e+02   -1.1   0.1   172   217  1290  1335  1285  1348 0.86 -
22300at50557_307491_0:00371e|STRG.8333.2:656-4858|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   1   6   1.5e-05     0.011   13.1   0.0   510   577    31   104    13   113 0.74 -
22300at50557_307491_0:00371e|STRG.8333.2:656-4858|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   2   6      0.17   1.2e+02   -0.3   0.0   518   585   313   390   289   416 0.71 -
22300at50557_307491_0:00371e|STRG.8333.2:656-4858|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   3   6   2.4e-11   1.7e-08   32.3   0.1   501   577   492   573   472   611 0.79 -
22300at50557_307491_0:00371e|STRG.8333.2:656-4858|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   4   6   2.4e-09   1.7e-06   25.7   0.0   499   577   932  1018   904  1028 0.80 -
22300at50557_307491_0:00371e|STRG.8333.2:656-4858|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   5   6   2.9e-11   2.1e-08   32.0   0.7   485   600  1135  1261  1091  1272 0.76 -
22300at50557_307491_0:00371e|STRG.8333.2:656-4858|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   6   6      0.31   2.2e+02   -1.1   0.1   172   217  1290  1335  1285  1348 0.86 -
22300at50557_307491_0:00371e|STRG.8333.4:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   1   6   1.5e-05     0.011   13.1   0.0   510   577    31   104    13   113 0.74 -
22300at50557_307491_0:00371e|STRG.8333.4:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   2   6      0.17   1.2e+02   -0.3   0.0   518   585   313   390   289   416 0.71 -
22300at50557_307491_0:00371e|STRG.8333.4:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   3   6   2.4e-11   1.7e-08   32.3   0.1   501   577   492   573   472   611 0.79 -
22300at50557_307491_0:00371e|STRG.8333.4:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   4   6   2.4e-09   1.7e-06   25.7   0.0   499   577   932  1018   904  1028 0.80 -
22300at50557_307491_0:00371e|STRG.8333.4:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   5   6   2.9e-11   2.1e-08   32.0   0.7   485   600  1135  1261  1091  1272 0.76 -
22300at50557_307491_0:00371e|STRG.8333.4:378-4580|+  -           1401 41512at50557         -            666   2.1e-30  104.7   8.5   6   6      0.31   2.2e+02   -1.1   0.1   172   217  1290  1335  1285  1348 0.86 -
41512at50557_197043_0:001935|STRG.8333.1:5943-6491|+ -            183 41512at50557         -            666   8.9e-13   46.4   0.0   1   1   1.3e-15   9.5e-13   46.3   0.0   504   605    19   125     6   169 0.78 -
41512at50557_197043_0:001935|STRG.8333.2:6221-6769|+ -            183 41512at50557         -            666   8.9e-13   46.4   0.0   1   1   1.3e-15   9.5e-13   46.3   0.0   504   605    19   125     6   169 0.78 -
41512at50557_197043_0:001935|STRG.8333.3:6345-6893|+ -            183 41512at50557         -            666   8.9e-13   46.4   0.0   1   1   1.3e-15   9.5e-13   46.3   0.0   504   605    19   125     6   169 0.78 -
41512at50557_197043_0:001935|STRG.8333.4:5943-6491|+ -            183 41512at50557         -            666   8.9e-13   46.4   0.0   1   1   1.3e-15   9.5e-13   46.3   0.0   504   605    19   125     6   169 0.78 -
41512at50557_38123_0:00008c|STRG.16571.1:3829-4326|+ -            166 41512at50557         -            666   7.3e-05   20.3   0.0   1   1   1.2e-07   8.4e-05   20.1   0.0   525   593    26   101    11   148 0.71 -
41512at50557_38123_0:00008c|STRG.16571.2:3648-4145|+ -            166 41512at50557         -            666   7.3e-05   20.3   0.0   1   1   1.2e-07   8.4e-05   20.1   0.0   525   593    26   101    11   148 0.71 -
41512at50557_38123_0:00008c|STRG.16571.3:3432-3929|+ -            166 41512at50557         -            666   7.3e-05   20.3   0.0   1   1   1.2e-07   8.4e-05   20.1   0.0   525   593    26   101    11   148 0.71 -
41512at50557_38123_0:00008c|STRG.16571.4:3428-3925|+ -            166 41512at50557         -            666   7.3e-05   20.3   0.0   1   1   1.2e-07   8.4e-05   20.1   0.0   525   593    26   101    11   148 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/41512at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/41512at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/41512at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:06:02 2024
# [ok]
