#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42193at50557_103372_0:0016db|STRG.9123.1:192-1763|+   -            524 42193at50557         -            414  4.1e-215  713.4  10.9   1   1  4.3e-217  1.1e-214  712.0  10.9     1   407     1   455     1   462 0.92 -
120478at50557_103372_0:000c5c|STRG.11699.1:214-696|+  -            161 42193at50557         -            414   1.3e-49  168.2   0.0   1   1   6.2e-52   1.6e-49  167.9   0.0   249   385     3   147     2   159 0.92 -
120478at50557_103372_0:000c5c|STRG.11699.2:0-479|+    -            160 42193at50557         -            414   1.4e-49  168.1   0.0   1   1   6.1e-52   1.6e-49  168.0   0.0   249   385     2   146     1   158 0.92 -
42193at50557_123851_0:000a5d|STRG.17613.1:60-494|+    -            145 42193at50557         -            414   2.1e-44  151.1   0.0   1   1     9e-47   2.3e-44  150.9   0.0   248   385     1   145     1   145 0.93 -
27737at50557_13686_0:00042a|STRG.17337.1:0-1832|+     -            611 42193at50557         -            414   2.7e-41  140.8   0.6   1   2       4.6   1.2e+03   -2.9   0.0   277   313    46    88    40   110 0.48 -
27737at50557_13686_0:00042a|STRG.17337.1:0-1832|+     -            611 42193at50557         -            414   2.7e-41  140.8   0.6   2   2   1.8e-43   4.7e-41  140.0   0.1   251   388   461   606   440   610 0.90 -
42193at50557_1629725_0:001f1e|STRG.15448.1:129-707|+  -            193 42193at50557         -            414   2.4e-37  127.8   0.0   1   1   1.2e-39     3e-37  127.5   0.0   246   404    15   186     3   192 0.89 -
27737at50557_67767_0:00339d|STRG.19508.1:118-588|+    -            157 42193at50557         -            414   7.9e-33  112.9   0.3   1   1   3.5e-35     9e-33  112.7   0.3   256   372    17   143     5   152 0.86 -
27737at50557_67767_0:00339d|STRG.19508.3:409-879|+    -            157 42193at50557         -            414   7.9e-33  112.9   0.3   1   1   3.5e-35     9e-33  112.7   0.3   256   372    17   143     5   152 0.86 -
27737at50557_67767_0:00339d|STRG.19508.4:24-494|+     -            157 42193at50557         -            414   7.9e-33  112.9   0.3   1   1   3.5e-35     9e-33  112.7   0.3   256   372    17   143     5   152 0.86 -
27737at50557_121845_0:000a82|STRG.1128.1:3-473|-      -            157 42193at50557         -            414   3.5e-32  110.8   0.1   1   1   1.6e-34   4.1e-32  110.6   0.1   255   367    34   156    26   157 0.88 -
27737at50557_67767_0:00339d|STRG.18741.1:500-946|+    -            149 42193at50557         -            414   1.9e-31  108.4   0.1   1   1   8.8e-34   2.3e-31  108.1   0.1   262   374    23   144    11   148 0.89 -
