#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
110550at50557_34720_0:001b2d|STRG.11195.1:180-1445|+  -            422 110550at50557        -            317  1.3e-121  404.5  11.7   1   1  7.3e-123    8e-120  398.6  11.7     6   291    27   326    22   368 0.86 -
67606at50557_224129_0:00052e|STRG.879.1:1058-1735|+   -            226 110550at50557        -            317     0.002   16.1   0.0   1   1   3.3e-06    0.0036   15.3   0.0    49    76    43    70    26    77 0.89 -
58203at50557_1155016_0:0013da|STRG.3181.4:2058-2552|+ -            165 110550at50557        -            317     0.009   14.0   0.0   1   1   1.1e-05     0.012   13.6   0.0    53    96    40    85    36    98 0.81 -
58203at50557_1155016_0:0013da|STRG.3181.5:1881-2375|+ -            165 110550at50557        -            317     0.009   14.0   0.0   1   1   1.1e-05     0.012   13.6   0.0    53    96    40    85    36    98 0.81 -
58203at50557_1155016_0:0013da|STRG.3181.6:2362-2856|+ -            165 110550at50557        -            317     0.009   14.0   0.0   1   1   1.1e-05     0.012   13.6   0.0    53    96    40    85    36    98 0.81 -
67606at50557_7091_0:00113e|STRG.12450.1:613-1281|+    -            223 110550at50557        -            317      0.01   13.8   0.0   1   2   2.1e-05     0.023   12.6   0.0    47    70    11    34     4    55 0.91 -
67606at50557_7091_0:00113e|STRG.12450.1:613-1281|+    -            223 110550at50557        -            317      0.01   13.8   0.0   2   2      0.92     1e+03   -2.6   0.0   180   234   170   179   145   208 0.55 -
58203at50557_121225_0:0025d7|STRG.3181.1:1997-2710|+  -            238 110550at50557        -            317     0.013   13.5   0.0   1   1   2.1e-05     0.023   12.7   0.0    53    96    40    85    36    96 0.81 -
30467at50557_286306_0:001fcb|STRG.3181.2:638-2932|+   -            765 110550at50557        -            317     0.043   11.7   0.0   1   2       1.6   1.7e+03   -3.4   0.0    49    76   265   292   261   295 0.88 -
30467at50557_286306_0:001fcb|STRG.3181.2:638-2932|+   -            765 110550at50557        -            317     0.043   11.7   0.0   2   2   0.00011      0.12   10.3   0.0    53    96   524   569   521   579 0.80 -
30467at50557_286306_0:001fcb|STRG.3181.3:280-2574|+   -            765 110550at50557        -            317     0.043   11.7   0.0   1   2       1.6   1.7e+03   -3.4   0.0    49    76   265   292   261   295 0.88 -
30467at50557_286306_0:001fcb|STRG.3181.3:280-2574|+   -            765 110550at50557        -            317     0.043   11.7   0.0   2   2   0.00011      0.12   10.3   0.0    53    96   524   569   521   579 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110550at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/110550at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110550at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:33 2024
# [ok]
