#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135254at50557_103372_0:002a85|STRG.8240.1:0-374|+      -            125 135254at50557        -            104   1.1e-58  194.6   1.6   1   1   8.2e-61   1.3e-58  194.4   1.6     1   104     7   120     7   120 0.92 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 135254at50557        -            104   2.5e-08   32.8   1.0   1   4     0.092        15    4.6   0.0    17    70     3    62     1    86 0.68 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 135254at50557        -            104   2.5e-08   32.8   1.0   2   4    0.0046      0.75    8.8   0.1    16    72    90   151    81   178 0.82 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 135254at50557        -            104   2.5e-08   32.8   1.0   3   4   0.00013     0.021   13.8   0.0    16   102   183   271   166   273 0.74 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 135254at50557        -            104   2.5e-08   32.8   1.0   4   4      0.75   1.2e+02    1.7   0.0    13    68   284   343   272   347 0.71 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 135254at50557        -            104     5e-08   31.9   0.6   1   4      0.24        39    3.3   0.0    27    70    19    62     2    90 0.76 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 135254at50557        -            104     5e-08   31.9   0.6   2   4    0.0042      0.69    8.9   0.1    16    73    90   152    78   179 0.82 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 135254at50557        -            104     5e-08   31.9   0.6   3   4   0.00013     0.022   13.8   0.0    16   102   183   271   168   274 0.75 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 135254at50557        -            104     5e-08   31.9   0.6   4   4      0.75   1.2e+02    1.7   0.0    13    68   284   343   272   347 0.71 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   1   4     0.092        15    4.6   0.0    17    69     3    61     1    84 0.68 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   2   4     0.011       1.8    7.6   0.1    16    72    90   151    76   179 0.80 -
