#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
87181at50557_456900_0:001ac2|STRG.9804.2:183-2036|+  -            618 87181at50557         -            228  3.1e-129  428.2   3.6   1   1  1.1e-129    7e-127  420.5   3.6     1   228   147   411   147   411 0.93 -
87181at50557_103372_0:000c65|STRG.9804.1:183-1960|+  -            570 87181at50557         -            228  7.7e-129  426.9   3.8   1   1  2.9e-129  1.9e-126  419.1   3.8     2   228   100   363    99   363 0.93 -
76908at50557_144034_0:001185|STRG.7442.2:1190-2197|+ -            336 87181at50557         -            228   4.2e-23   81.0   0.2   1   1   9.6e-26   6.3e-23   80.4   0.2    48   181    70   211    45   221 0.83 -
76908at50557_144034_0:001185|STRG.7442.4:1190-2200|+ -            337 87181at50557         -            228     5e-23   80.7   0.3   1   1   1.1e-25   7.5e-23   80.2   0.3    48   181    70   212    45   222 0.83 -
76908at50557_144034_0:001185|STRG.7442.1:1886-2890|+ -            335 87181at50557         -            228   7.3e-23   80.2   0.2   1   1   1.7e-25   1.1e-22   79.6   0.2    48   181    70   210    45   220 0.80 -
76908at50557_144034_0:001185|STRG.7442.3:1190-2194|+ -            335 87181at50557         -            228   7.3e-23   80.2   0.2   1   1   1.7e-25   1.1e-22   79.6   0.2    48   181    70   210    45   220 0.80 -
76908at50557_7176_0:001c06|STRG.2770.1:424-933|+     -            170 87181at50557         -            228     2e-13   49.3   0.1   1   1   5.2e-16   3.5e-13   48.6   0.1    40   101    43   104    24   111 0.91 -
76908at50557_7176_0:001c06|STRG.2770.2:424-933|+     -            170 87181at50557         -            228     2e-13   49.3   0.1   1   1   5.2e-16   3.5e-13   48.6   0.1    40   101    43   104    24   111 0.91 -
76908at50557_7176_0:001c06|STRG.2770.3:424-933|+     -            170 87181at50557         -            228     2e-13   49.3   0.1   1   1   5.2e-16   3.5e-13   48.6   0.1    40   101    43   104    24   111 0.91 -
76908at50557_7176_0:001c06|STRG.2770.4:424-933|+     -            170 87181at50557         -            228     2e-13   49.3   0.1   1   1   5.2e-16   3.5e-13   48.6   0.1    40   101    43   104    24   111 0.91 -
6416at50557_113334_0:00380e|STRG.7261.1:586-1671|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   1   4       1.8   1.2e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.7261.1:586-1671|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   2   4   5.3e-05     0.035   12.5   0.3    69   101    91   123    83   140 0.80 -
6416at50557_113334_0:00380e|STRG.7261.1:586-1671|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   3   4    0.0056       3.7    5.9   0.1    67    92   193   218   187   231 0.88 -
6416at50557_113334_0:00380e|STRG.7261.1:586-1671|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   4   4    0.0042       2.8    6.3   0.0    68    90   311   333   300   354 0.90 -
6416at50557_113334_0:00380e|STRG.7261.2:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   1   4       1.8   1.2e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.7261.2:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   2   4   5.3e-05     0.035   12.5   0.3    69   101    91   123    83   140 0.80 -
6416at50557_113334_0:00380e|STRG.7261.2:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   3   4    0.0056       3.7    5.9   0.1    67    92   193   218   187   231 0.88 -
6416at50557_113334_0:00380e|STRG.7261.2:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   4   4    0.0042       2.8    6.3   0.0    68    90   311   333   300   354 0.90 -
6416at50557_113334_0:00380e|STRG.7261.3:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   1   4       1.8   1.2e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.7261.3:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   2   4   5.3e-05     0.035   12.5   0.3    69   101    91   123    83   140 0.80 -
6416at50557_113334_0:00380e|STRG.7261.3:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   3   4    0.0056       3.7    5.9   0.1    67    92   193   218   187   231 0.88 -
6416at50557_113334_0:00380e|STRG.7261.3:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   4   4    0.0042       2.8    6.3   0.0    68    90   311   333   300   354 0.90 -
6416at50557_113334_0:00380e|STRG.7261.4:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   1   4       1.8   1.2e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.7261.4:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   2   4   5.3e-05     0.035   12.5   0.3    69   101    91   123    83   140 0.80 -
6416at50557_113334_0:00380e|STRG.7261.4:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   3   4    0.0056       3.7    5.9   0.1    67    92   193   218   187   231 0.88 -
6416at50557_113334_0:00380e|STRG.7261.4:342-1427|+   -            362 87181at50557         -            228   7.6e-05   21.3   8.7   4   4    0.0042       2.8    6.3   0.0    68    90   311   333   300   354 0.90 -
