#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98900at50557_104421_0:0000b7|STRG.8423.1:441-1256|+   -            272 98900at50557         -            220  3.8e-106  352.4   0.1   1   1  6.3e-108  2.5e-105  349.7   0.1     1   220    12   270    12   270 0.91 -
98900at50557_2015173_0:001e9f|STRG.8423.2:441-1355|+  -            305 98900at50557         -            220  5.2e-103  342.1   0.6   1   2   9.6e-69   3.8e-66  221.6   0.1     1   152    12   191    12   209 0.88 -
98900at50557_2015173_0:001e9f|STRG.8423.2:441-1355|+  -            305 98900at50557         -            220  5.2e-103  342.1   0.6   2   2   8.8e-37   3.5e-34  117.1   0.1   150   220   226   303   199   303 0.87 -
98900at50557_116153_0:001f59|STRG.7514.1:170-922|+    -            251 98900at50557         -            220   2.1e-46  157.1   0.2   1   1   1.6e-47   6.4e-45  152.2   0.2     1   216     6   251     6   251 0.81 -
98900at50557_121225_0:0016fe|STRG.4600.1:218-955|+    -            246 98900at50557         -            220   7.7e-41  138.8   0.2   1   2    0.0023       0.9    7.8   0.0     6    26     1    21     1    27 0.91 -
98900at50557_121225_0:0016fe|STRG.4600.1:218-955|+    -            246 98900at50557         -            220   7.7e-41  138.8   0.2   2   2   1.7e-40   6.6e-38  129.3   0.1    49   215    70   245    47   246 0.88 -
98900at50557_34740_0:003818|STRG.14539.2:304-1071|+   -            256 98900at50557         -            220     2e-36  124.4   0.0   1   1   5.6e-37   2.2e-34  117.7   0.0     1   216     7   253     7   254 0.79 -
98900at50557_34740_0:003818|STRG.14539.1:336-1106|+   -            257 98900at50557         -            220   2.1e-36  124.4   0.0   1   1   5.7e-37   2.2e-34  117.7   0.0     1   216     8   254     8   255 0.79 -
98900at50557_108931_0:0004a9|STRG.12358.1:528-1301|+  -            258 98900at50557         -            220   2.1e-35  121.1   0.0   1   1     2e-37   7.9e-35  119.2   0.0    35   217    59   258     8   258 0.81 -
98900at50557_108931_0:0004a9|STRG.12358.2:731-1504|+  -            258 98900at50557         -            220   2.1e-35  121.1   0.0   1   1     2e-37   7.9e-35  119.2   0.0    35   217    59   258     8   258 0.81 -
98900at50557_108931_0:0004a9|STRG.12358.3:306-1079|+  -            258 98900at50557         -            220   2.1e-35  121.1   0.0   1   1     2e-37   7.9e-35  119.2   0.0    35   217    59   258     8   258 0.81 -
98900at50557_197043_0:000c99|STRG.14539.3:351-1019|+  -            223 98900at50557         -            220   5.1e-34  116.6   0.1   1   1   2.7e-35   1.1e-32  112.2   0.1     1   189     3   222     3   223 0.80 -
124342at50557_121225_0:00131d|STRG.16253.1:145-852|+  -            236 98900at50557         -            220   4.7e-33  113.4   0.7   1   1     7e-35   2.8e-32  110.9   0.7    32   216    42   232     3   235 0.79 -
124342at50557_121225_0:00131d|STRG.16253.2:173-880|+  -            236 98900at50557         -            220   4.7e-33  113.4   0.7   1   1     7e-35   2.8e-32  110.9   0.7    32   216    42   232     3   235 0.79 -
98900at50557_7395_0:002c0d|STRG.14540.1:393-997|+     -            200 98900at50557         -            220   9.9e-31  105.8   0.1   1   1     1e-32   4.1e-30  103.8   0.1    34   190    34   200     1   200 0.84 -
