#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
136030at50557_103372_0:002306|STRG.3509.1:0-635|+   -            212 136030at50557        -            176   5.2e-67  223.8  14.6   1   1   9.5e-70   1.5e-66  222.3  14.6     1   175     1   209     1   211 0.88 -
127373at50557_1218281_0:0023fa|STRG.17313.1:2-244|+ -             81 136030at50557        -            176   0.00013   20.6   0.2   1   1     1e-07   0.00015   20.4   0.2   101   175     6    78     2    80 0.85 -
98739at50557_103372_0:00015a|STRG.16004.1:76-861|+  -            262 136030at50557        -            176   0.00015   20.4  10.8   1   3     2e-07   0.00031   19.4   3.0    74   149    48   122    42   133 0.87 -
98739at50557_103372_0:00015a|STRG.16004.1:76-861|+  -            262 136030at50557        -            176   0.00015   20.4  10.8   2   3      0.34   5.2e+02   -0.9   0.0   100   141   186   225   175   232 0.83 -
98739at50557_103372_0:00015a|STRG.16004.1:76-861|+  -            262 136030at50557        -            176   0.00015   20.4  10.8   3   3    0.0049       7.5    5.1   0.6    29    52   233   256   217   260 0.82 -
98739at50557_103372_0:00015a|STRG.16004.2:76-1067|+ -            262 136030at50557        -            176   0.00015   20.4  10.8   1   3     2e-07   0.00031   19.4   3.0    74   149    48   122    42   133 0.87 -
98739at50557_103372_0:00015a|STRG.16004.2:76-1067|+ -            262 136030at50557        -            176   0.00015   20.4  10.8   2   3      0.34   5.2e+02   -0.9   0.0   100   141   186   225   175   232 0.83 -
98739at50557_103372_0:00015a|STRG.16004.2:76-1067|+ -            262 136030at50557        -            176   0.00015   20.4  10.8   3   3    0.0049       7.5    5.1   0.6    29    52   233   256   217   260 0.82 -
141493at50557_74873_0:00258f|STRG.18004.1:9-617|+   -            203 136030at50557        -            176     0.019   13.5   5.1   1   2     0.019        29    3.2   0.4    82   139    73   131    57   141 0.76 -
141493at50557_74873_0:00258f|STRG.18004.1:9-617|+   -            203 136030at50557        -            176     0.019   13.5   5.1   2   2   3.1e-05     0.047   12.3   0.2   108   167   142   201   132   203 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/136030at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/136030at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/136030at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:33:19 2024
# [ok]
