#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
94143at50557_35570_0:003387|STRG.18971.1:39-1523|+    -            495 94143at50557         -            358     5e-35  117.9   0.1   1   1     7e-33   1.1e-31  107.0   0.1     2   334    65   493    64   495 0.72 -
94143at50557_319348_0:0040ff|STRG.4145.2:267-1809|+   -            511 94143at50557         -            358   2.4e-33  112.4   0.1   1   2   4.2e-11   6.4e-10   35.3   0.0    24   194    78   273    52   287 0.76 -
94143at50557_319348_0:0040ff|STRG.4145.2:267-1809|+   -            511 94143at50557         -            358   2.4e-33  112.4   0.1   2   2   3.7e-21   5.6e-20   68.4   0.0   225   346   350   488   301   499 0.72 -
94143at50557_319348_0:0040ff|STRG.4145.3:267-1799|+   -            511 94143at50557         -            358   2.4e-33  112.4   0.1   1   2   4.2e-11   6.4e-10   35.3   0.0    24   194    78   273    52   287 0.76 -
94143at50557_319348_0:0040ff|STRG.4145.3:267-1799|+   -            511 94143at50557         -            358   2.4e-33  112.4   0.1   2   2   3.7e-21   5.6e-20   68.4   0.0   225   346   350   488   301   499 0.72 -
94143at50557_319348_0:0040ff|STRG.4145.1:267-1844|+   -            526 94143at50557         -            358   3.1e-33  112.0   0.2   1   2   5.2e-11     8e-10   35.0   0.0    24   194    93   288    76   302 0.76 -
94143at50557_319348_0:0040ff|STRG.4145.1:267-1844|+   -            526 94143at50557         -            358   3.1e-33  112.0   0.2   2   2   3.9e-21   5.9e-20   68.4   0.0   225   346   365   503   316   514 0.72 -
94143at50557_319348_0:0040ff|STRG.6013.1:302-1735|+   -            478 94143at50557         -            358   7.5e-29   97.6   0.0   1   2   5.4e-13   8.2e-12   41.6   0.0    11   244    28   319    12   324 0.70 -
94143at50557_319348_0:0040ff|STRG.6013.1:302-1735|+   -            478 94143at50557         -            358   7.5e-29   97.6   0.0   2   2   3.2e-16   4.8e-15   52.2   0.0   242   347   336   457   328   475 0.79 -
94143at50557_319348_0:0009e2|STRG.18971.2:129-797|+   -            223 94143at50557         -            358   7.3e-24   81.2   0.4   1   2   0.00067      0.01   11.7   0.0   201   245    12    57     5    65 0.86 -
94143at50557_319348_0:0009e2|STRG.18971.2:129-797|+   -            223 94143at50557         -            358   7.3e-24   81.2   0.4   2   2   3.8e-20   5.8e-19   65.1   0.1   238   342    69   196    60   203 0.82 -
94143at50557_54969_0:002985|STRG.18971.4:76-780|+     -            235 94143at50557         -            358   8.4e-24   81.0   0.5   1   2   0.00067      0.01   11.6   0.0   200   245    26    72    16    78 0.86 -
94143at50557_54969_0:002985|STRG.18971.4:76-780|+     -            235 94143at50557         -            358   8.4e-24   81.0   0.5   2   2   4.3e-20   6.5e-19   64.9   0.1   238   342    84   211    74   219 0.82 -
94143at50557_54969_0:002985|STRG.18971.3:76-891|+     -            234 94143at50557         -            358   7.9e-23   77.8   0.5   1   1   1.5e-20   2.2e-19   66.5   0.5   201   342    27   210    14   217 0.70 -
94143at50557_54969_0:002985|STRG.6013.2:1028-1777|+   -            250 94143at50557         -            358   6.9e-20   68.1   0.2   1   2   0.00049    0.0075   12.1   0.1   195   245    37    91    26    96 0.78 -
94143at50557_54969_0:002985|STRG.6013.2:1028-1777|+   -            250 94143at50557         -            358   6.9e-20   68.1   0.2   2   2   7.6e-17   1.2e-15   54.2   0.0   242   347   107   228    99   246 0.79 -
94143at50557_93721_0:002ec0|STRG.1234.1:2-508|+       -            169 94143at50557         -            358   5.2e-17   58.7   0.0   1   1   9.1e-18   1.4e-16   57.3   0.0   237   346    28   157    13   166 0.80 -
94143at50557_7029_0:006933|STRG.17625.5:102-1454|+    -            451 94143at50557         -            358   4.6e-16   55.6   0.3   1   2      0.24       3.7    3.2   0.2    73   195    89   225    79   251 0.68 -
