#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118659at50557_143995_0:001dd5|STRG.11640.1:155-643|+ -            163 118659at50557        -            141   1.1e-87  290.0   2.1   1   1     4e-90   3.2e-87  288.5   2.1     1   141     8   163     8   163 0.97 -
45452at50557_29058_0:000de3|STRG.11228.1:461-1570|+  -            370 118659at50557        -            141   3.9e-10   38.7   0.0   1   2   8.7e-12     7e-09   34.6   0.1    34   126    14   113     3   131 0.84 -
45452at50557_29058_0:000de3|STRG.11228.1:461-1570|+  -            370 118659at50557        -            141   3.9e-10   38.7   0.0   2   2      0.21   1.7e+02    0.9   0.0    16    52   160   196   146   201 0.80 -
45452at50557_103372_0:00030d|STRG.7535.1:0-1529|+    -            510 118659at50557        -            141   6.8e-08   31.4   0.0   1   2   2.2e-07   0.00018   20.3   0.0    21    72   125   180   109   197 0.81 -
45452at50557_103372_0:00030d|STRG.7535.1:0-1529|+    -            510 118659at50557        -            141   6.8e-08   31.4   0.0   2   2   0.00094      0.76    8.6   0.0    90   117   218   245   202   260 0.82 -
35377at50557_456900_0:0025de|STRG.13844.1:691-2295|+ -            535 118659at50557        -            141   1.3e-07   30.5   0.6   1   2   3.1e-10   2.5e-07   29.5   0.1    54   125   224   298   213   311 0.81 -
35377at50557_456900_0:0025de|STRG.13844.1:691-2295|+ -            535 118659at50557        -            141   1.3e-07   30.5   0.6   2   2       3.6   2.9e+03   -3.0   0.0    51    85   450   484   442   516 0.51 -
45452at50557_535359_0:0001d3|STRG.12562.1:343-1416|+ -            358 118659at50557        -            141   1.7e-06   26.9   0.2   1   2   1.2e-08   9.4e-06   24.5   0.1    36   127     1   106     1   115 0.74 -
45452at50557_535359_0:0001d3|STRG.12562.1:343-1416|+ -            358 118659at50557        -            141   1.7e-06   26.9   0.2   2   2       4.4   3.5e+03   -3.3   0.0    38    63   147   173   139   179 0.68 -
45452at50557_211228_0:001c06|STRG.6640.1:136-1308|+  -            391 118659at50557        -            141   9.7e-06   24.4   1.2   1   2   2.3e-06    0.0019   17.0   0.2     8    74    14    80     8    84 0.89 -
45452at50557_211228_0:001c06|STRG.6640.1:136-1308|+  -            391 118659at50557        -            141   9.7e-06   24.4   1.2   2   2    0.0086       6.9    5.4   0.1   101   125   141   165   100   176 0.84 -
45452at50557_211228_0:001c06|STRG.6640.3:183-1319|+  -            379 118659at50557        -            141     1e-05   24.3   1.3   1   2   2.4e-06    0.0019   17.0   0.2     8    74     8    74     3    78 0.88 -
45452at50557_211228_0:001c06|STRG.6640.3:183-1319|+  -            379 118659at50557        -            141     1e-05   24.3   1.3   2   2    0.0082       6.6    5.5   0.1   101   125   135   159    94   170 0.84 -
45452at50557_211228_0:001c06|STRG.6640.2:198-1352|+  -            385 118659at50557        -            141     1e-05   24.3   1.3   1   2   2.4e-06    0.0019   17.0   0.2     8    74     8    74     3    78 0.88 -
45452at50557_211228_0:001c06|STRG.6640.2:198-1352|+  -            385 118659at50557        -            141     1e-05   24.3   1.3   2   2    0.0084       6.7    5.5   0.1   101   125   135   159    94   170 0.84 -
118659at50557_121845_0:0048fb|STRG.2070.1:582-878|+  -             99 118659at50557        -            141   0.00066   18.5   0.0   1   1     1e-06   0.00081   18.2   0.0    56   123    20    91     1    98 0.78 -
118659at50557_121845_0:0048fb|STRG.2070.2:588-884|+  -             99 118659at50557        -            141   0.00066   18.5   0.0   1   1     1e-06   0.00081   18.2   0.0    56   123    20    91     1    98 0.78 -
45452at50557_45779_0:0017c6|STRG.5240.1:862-1458|+   -            199 118659at50557        -            141      0.07   11.9   0.0   1   1   0.00014      0.11   11.2   0.0    90   124    13    47     6    60 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/118659at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/118659at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/118659at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:22:11 2024
# [ok]
