#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108452at50557_144034_0:001560|STRG.9348.1:76-921|+      -            282 108452at50557        -            212  4.5e-113  375.1   1.2   1   1  1.7e-115  5.8e-113  374.7   1.2     1   201    16   229    16   235 0.95 -
108452at50557_7224_0:00009b|STRG.4856.1:1781-2311|+     -            177 108452at50557        -            212   4.8e-26   90.7   4.9   1   1   1.5e-28   5.2e-26   90.6   4.9    30   198     3   176     1   177 0.84 -
108452at50557_7224_0:00009b|STRG.4856.2:1781-2311|+     -            177 108452at50557        -            212   4.8e-26   90.7   4.9   1   1   1.5e-28   5.2e-26   90.6   4.9    30   198     3   176     1   177 0.84 -
108452at50557_7224_0:00009b|STRG.4856.3:2006-2536|+     -            177 108452at50557        -            212   4.8e-26   90.7   4.9   1   1   1.5e-28   5.2e-26   90.6   4.9    30   198     3   176     1   177 0.84 -
108452at50557_38123_0:00378c|STRG.7705.1:2517-2738|+    -             74 108452at50557        -            212   4.1e-22   77.9   7.0   1   1   1.2e-24   4.2e-22   77.8   7.0   137   203     4    72     1    74 0.92 -
108452at50557_38123_0:00378c|STRG.7705.2:1475-1696|+    -             74 108452at50557        -            212   4.1e-22   77.9   7.0   1   1   1.2e-24   4.2e-22   77.8   7.0   137   203     4    72     1    74 0.92 -
108452at50557_38123_0:00378c|STRG.7705.3:1475-1702|+    -             76 108452at50557        -            212   4.7e-22   77.7   6.5   1   1   1.4e-24   4.9e-22   77.6   6.5   137   201     4    70     1    75 0.91 -
23788at50557_520822_0:00115e|STRG.4500.1:37-3726|+      -           1230 108452at50557        -            212   1.3e-20   72.9   4.7   1   2       1.7   5.8e+02   -1.1   0.1    82   120   564   602   544   617 0.82 -
23788at50557_520822_0:00115e|STRG.4500.1:37-3726|+      -           1230 108452at50557        -            212   1.3e-20   72.9   4.7   2   2   3.8e-23   1.3e-20   72.9   4.7   131   197  1146  1215  1127  1222 0.88 -
43010at50557_456900_0:000325|STRG.11262.1:14-1993|+     -            660 108452at50557        -            212   6.9e-17   60.8   5.8   1   1   7.2e-19   2.4e-16   59.0   5.8   138   199   590   652   565   657 0.82 -
43010at50557_411798_0:00301e|STRG.11262.2:0-2153|+      -            718 108452at50557        -            212   8.3e-17   60.5   5.8   1   1   8.1e-19   2.7e-16   58.8   5.8   138   199   648   710   623   715 0.82 -
