#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
56099at50557_34720_0:001a91|STRG.19375.1:86-1417|+    -            444 56099at50557         -            397  4.7e-204  676.6   1.9   1   1  1.6e-205  5.6e-204  676.3   1.9     1   397     1   440     1   440 0.95 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 56099at50557         -            397   1.8e-30  105.0   1.2   1   4   0.00083     0.029   12.1   0.0    63    97     3    36     1    42 0.93 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 56099at50557         -            397   1.8e-30  105.0   1.2   2   4   7.3e-05    0.0026   15.6   0.0   240   272    43    75    37    84 0.87 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 56099at50557         -            397   1.8e-30  105.0   1.2   3   4   7.8e-13   2.8e-11   41.8   0.0   239   313    84   161    74   167 0.87 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 56099at50557         -            397   1.8e-30  105.0   1.2   4   4   1.1e-12     4e-11   41.3   0.1   143   268   153   279   150   284 0.90 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 56099at50557         -            397   1.8e-30  105.0   1.2   1   4   0.00083     0.029   12.1   0.0    63    97     3    36     1    42 0.93 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 56099at50557         -            397   1.8e-30  105.0   1.2   2   4   7.3e-05    0.0026   15.6   0.0   240   272    43    75    37    84 0.87 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 56099at50557         -            397   1.8e-30  105.0   1.2   3   4   7.8e-13   2.8e-11   41.8   0.0   239   313    84   161    74   167 0.87 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 56099at50557         -            397   1.8e-30  105.0   1.2   4   4   1.1e-12     4e-11   41.3   0.1   143   268   153   279   150   284 0.90 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 56099at50557         -            397   1.4e-27   95.5   0.1   1   4   4.6e-09   1.6e-07   29.4   0.0   240   320   117   200   103   211 0.83 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 56099at50557         -            397   1.4e-27   95.5   0.1   2   4     8e-05    0.0028   15.4   0.0   178   271   178   279   176   288 0.79 -
