#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
138527at50557_103372_0:00284e|STRG.23411.1:0-416|+   -            139 138527at50557        -             95   1.8e-44  148.7   0.3   1   1   9.7e-47   2.8e-44  148.1   0.3     1    95    35   136    35   136 0.96 -
138527at50557_29053_0:0022e2|STRG.9932.1:225-524|+   -            100 138527at50557        -             95   4.4e-15   54.5   0.1   1   1   1.9e-17   5.5e-15   54.2   0.1     3    94     1    98     1    99 0.84 -
138527at50557_121225_0:001e16|STRG.3902.1:66-422|+   -            119 138527at50557        -             95   6.6e-15   53.9   0.5   1   1   3.1e-17   9.1e-15   53.5   0.5     3    95     6   104     4   104 0.89 -
138527at50557_29053_0:0022e2|STRG.9932.2:0-287|+     -             96 138527at50557        -             95   4.2e-14   51.3   0.1   1   1   1.8e-16   5.1e-14   51.1   0.1    16    94    12    94     1    95 0.81 -
138527at50557_7160_0:0018e6|STRG.9932.3:3-230|+      -             76 138527at50557        -             95   4.8e-12   44.7   0.1   1   1     2e-14   5.8e-12   44.5   0.1    16    76    11    76     1    76 0.83 -
60961at50557_34720_0:0017d0|STRG.7028.1:122-1495|+   -            444 138527at50557        -             95   8.5e-11   40.7   0.0   1   3   3.4e-07   9.9e-05   21.3   0.0     7    68    46   114    41   125 0.87 -
60961at50557_34720_0:0017d0|STRG.7028.1:122-1495|+   -            444 138527at50557        -             95   8.5e-11   40.7   0.0   2   3   4.5e-05     0.013   14.5   0.0     5    77   172   251   169   260 0.86 -
60961at50557_34720_0:0017d0|STRG.7028.1:122-1495|+   -            444 138527at50557        -             95   8.5e-11   40.7   0.0   3   3       1.1   3.3e+02    0.4   0.1    40    56   428   444   425   444 0.87 -
60961at50557_34720_0:0017d0|STRG.7028.2:122-1714|+   -            444 138527at50557        -             95   8.5e-11   40.7   0.0   1   3   3.4e-07   9.9e-05   21.3   0.0     7    68    46   114    41   125 0.87 -
60961at50557_34720_0:0017d0|STRG.7028.2:122-1714|+   -            444 138527at50557        -             95   8.5e-11   40.7   0.0   2   3   4.5e-05     0.013   14.5   0.0     5    77   172   251   169   260 0.86 -
60961at50557_34720_0:0017d0|STRG.7028.2:122-1714|+   -            444 138527at50557        -             95   8.5e-11   40.7   0.0   3   3       1.1   3.3e+02    0.4   0.1    40    56   428   444   425   444 0.87 -
60961at50557_34720_0:0017d0|STRG.7028.3:122-1453|+   -            444 138527at50557        -             95   8.5e-11   40.7   0.0   1   3   3.4e-07   9.9e-05   21.3   0.0     7    68    46   114    41   125 0.87 -
60961at50557_34720_0:0017d0|STRG.7028.3:122-1453|+   -            444 138527at50557        -             95   8.5e-11   40.7   0.0   2   3   4.5e-05     0.013   14.5   0.0     5    77   172   251   169   260 0.86 -
60961at50557_34720_0:0017d0|STRG.7028.3:122-1453|+   -            444 138527at50557        -             95   8.5e-11   40.7   0.0   3   3       1.1   3.3e+02    0.4   0.1    40    56   428   444   425   444 0.87 -
60961at50557_54969_0:0007af|STRG.5880.1:421-1119|+   -            233 138527at50557        -             95   2.2e-10   39.4   0.0   1   2     7e-08     2e-05   23.5   0.0     8    94    13   106     8   107 0.82 -
60961at50557_54969_0:0007af|STRG.5880.1:421-1119|+   -            233 138527at50557        -             95   2.2e-10   39.4   0.0   2   2   6.5e-05     0.019   14.0   0.0    27    93   162   232   135   233 0.82 -
60961at50557_54969_0:0007af|STRG.5880.2:957-1655|+   -            233 138527at50557        -             95   2.2e-10   39.4   0.0   1   2     7e-08     2e-05   23.5   0.0     8    94    13   106     8   107 0.82 -
