#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
10268at50557_64793_0:002742|STRG.4455.1:0-2243|+     -            748 10268at50557         -            792  1.1e-229  759.4   4.6   1   1  3.9e-230  1.9e-228  755.3   4.6   330   773     5   528     2   540 0.91 -
10268at50557_1155016_0:00237e|STRG.4456.1:144-713|+  -            190 10268at50557         -            792   3.7e-97  321.1   0.4   1   1   9.3e-99   4.5e-97  320.8   0.4   119   285     7   190     5   190 0.94 -
10268at50557_13037_0:0016bb|STRG.5253.1:793-1836|+   -            348 10268at50557         -            792     5e-67  221.5   0.0   1   1   1.3e-68   6.1e-67  221.2   0.0   429   725    11   322     2   345 0.84 -
10268at50557_1629725_0:0014a3|STRG.8754.1:749-1816|+ -            356 10268at50557         -            792   2.1e-51  169.8   1.2   1   2   7.2e-36   3.5e-34  112.8   0.1   130   307    11   207     4   222 0.80 -
10268at50557_1629725_0:0014a3|STRG.8754.1:749-1816|+ -            356 10268at50557         -            792   2.1e-51  169.8   1.2   2   2   1.2e-18     6e-17   55.9   0.1   305   397   236   353   224   356 0.80 -
10268at50557_1629725_0:0014a3|STRG.7738.1:376-1692|+ -            439 10268at50557         -            792   7.4e-48  158.1   0.7   1   2   3.2e-32   1.6e-30  100.7   0.2    70   303    12   289     3   298 0.78 -
10268at50557_1629725_0:0014a3|STRG.7738.1:376-1692|+ -            439 10268at50557         -            792   7.4e-48  158.1   0.7   2   2   4.3e-18   2.1e-16   54.0   0.0   304   375   322   402   310   439 0.75 -
10268at50557_52612_0:001ff6|STRG.7644.1:372-1316|+   -            315 10268at50557         -            792   2.7e-41  136.4   0.2   1   1   7.3e-43   3.6e-41  136.0   0.2   467   710    36   304    27   313 0.77 -
10268at50557_52612_0:001ff6|STRG.17928.1:3308-4078|+ -            257 10268at50557         -            792   6.7e-39  128.5   0.0   1   1   1.6e-40     8e-39  128.2   0.0   495   692     1   221     1   243 0.83 -
10268at50557_52612_0:001ff6|STRG.17928.2:2269-3039|+ -            257 10268at50557         -            792   6.7e-39  128.5   0.0   1   1   1.6e-40     8e-39  128.2   0.0   495   692     1   221     1   243 0.83 -
10268at50557_110193_0:00290f|STRG.17758.1:479-2296|+ -            606 10268at50557         -            792   4.9e-28   92.5   4.5   1   3     0.029       1.4    1.7   0.2    51   107     2    55     1    92 0.72 -
10268at50557_110193_0:00290f|STRG.17758.1:479-2296|+ -            606 10268at50557         -            792   4.9e-28   92.5   4.5   2   3   7.9e-21   3.9e-19   63.1   0.0   126   284   148   320   137   354 0.74 -
10268at50557_110193_0:00290f|STRG.17758.1:479-2296|+ -            606 10268at50557         -            792   4.9e-28   92.5   4.5   3   3   3.2e-10   1.5e-08   28.0   0.2   301   329   459   487   432   527 0.88 -
10268at50557_51655_0:0042a2|STRG.17758.3:145-1612|+  -            466 10268at50557         -            792   5.3e-28   92.4   0.7   1   2   1.3e-20   6.3e-19   62.4   0.0   130   285     3   172     1   207 0.75 -
10268at50557_51655_0:0042a2|STRG.17758.3:145-1612|+  -            466 10268at50557         -            792   5.3e-28   92.4   0.7   2   2     2e-10   9.9e-09   28.7   0.2   301   329   310   338   281   390 0.89 -
10268at50557_246812_0:00199b|STRG.17758.2:209-2875|+ -            889 10268at50557         -            792   7.2e-28   92.0   2.9   1   3     0.045       2.2    1.1   0.0    47   107   143   200   134   237 0.72 -
10268at50557_246812_0:00199b|STRG.17758.2:209-2875|+ -            889 10268at50557         -            792   7.2e-28   92.0   2.9   2   3   1.6e-20   7.6e-19   62.1   0.0   126   284   293   465   282   499 0.74 -
10268at50557_246812_0:00199b|STRG.17758.2:209-2875|+ -            889 10268at50557         -            792   7.2e-28   92.0   2.9   3   3   5.8e-10   2.9e-08   27.1   0.4   301   329   604   632   578   650 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/10268at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/rerun_results/10268at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/10268at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:43:19 2024
# [ok]
