#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
139832at50557_39758_0:0016a4|STRG.9083.2:339-698|+      -            120 139832at50557        -             99   5.1e-19   64.1   1.2   1   1   7.6e-21   6.8e-19   63.7   1.2    24    92    54   120    31   120 0.90 -
139832at50557_54969_0:0014eb|STRG.9203.1:553-783|+      -             77 139832at50557        -             99   1.2e-15   53.4   0.1   1   1   1.3e-17   1.2e-15   53.3   0.1    29    85    16    70     2    77 0.85 -
139832at50557_54969_0:0014eb|STRG.9203.2:661-891|+      -             77 139832at50557        -             99   1.2e-15   53.4   0.1   1   1   1.3e-17   1.2e-15   53.3   0.1    29    85    16    70     2    77 0.85 -
139832at50557_326594_0:00063f|STRG.2744.1:624-959|+     -            112 139832at50557        -             99   7.3e-14   47.6   0.9   1   2         2   1.8e+02   -1.7   0.0    42    51    22    31    17    55 0.64 -
139832at50557_326594_0:00063f|STRG.2744.1:624-959|+     -            112 139832at50557        -             99   7.3e-14   47.6   0.9   2   2   1.3e-15   1.2e-13   47.0   0.5    29    81    62   112    45   112 0.90 -
139832at50557_315563_0:0025cb|STRG.17022.1:600-827|+    -             76 139832at50557        -             99   5.6e-12   41.6   0.6   1   1   7.6e-14   6.8e-12   41.3   0.6    28    81    25    76     4    76 0.86 -
139832at50557_7038_0:002dbe|STRG.10561.1:147-515|+      -            123 139832at50557        -             99   5.2e-11   38.5   1.8   1   3       4.9   4.4e+02   -3.0   0.0    56    64     2    10     1    16 0.81 -
139832at50557_7038_0:002dbe|STRG.10561.1:147-515|+      -            123 139832at50557        -             99   5.2e-11   38.5   1.8   2   3      0.38        34    0.5   0.1    14    42    20    48    10    52 0.77 -
139832at50557_7038_0:002dbe|STRG.10561.1:147-515|+      -            123 139832at50557        -             99   5.2e-11   38.5   1.8   3   3   1.6e-12   1.4e-10   37.1   0.0    30    82    66   116    56   122 0.87 -
139832at50557_108931_0:003613|STRG.16215.1:189-617|+    -            143 139832at50557        -             99   1.3e-10   37.2   0.2   1   1   1.9e-12   1.7e-10   36.8   0.2    21    83    77   138    59   143 0.79 -
139832at50557_1155016_0:001c63|STRG.11967.3:1801-2064|+ -             88 139832at50557        -             99   5.5e-08   28.8   0.1   1   1   7.7e-10   6.9e-08   28.4   0.1    38    88     1    50     1    57 0.88 -
139832at50557_1155016_0:001c63|STRG.11967.4:892-1155|+  -             88 139832at50557        -             99   5.5e-08   28.8   0.1   1   1   7.7e-10   6.9e-08   28.4   0.1    38    88     1    50     1    57 0.88 -
139832at50557_1155016_0:001c63|STRG.11967.5:935-1198|+  -             88 139832at50557        -             99   5.5e-08   28.8   0.1   1   1   7.7e-10   6.9e-08   28.4   0.1    38    88     1    50     1    57 0.88 -
139832at50557_28588_0:0017a6|STRG.16161.2:1480-2001|+   -            174 139832at50557        -             99   8.9e-06   21.7   0.2   1   1   1.2e-07   1.1e-05   21.4   0.2    18    55   111   148    80   174 0.81 -
139832at50557_28588_0:0017a6|STRG.16161.3:1411-1929|+   -            173 139832at50557        -             99   9.6e-06   21.6   0.2   1   1   1.3e-07   1.2e-05   21.3   0.2    18    55   110   147    80   173 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/rerun_results/139832at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 14:17:40 2024
# [ok]
