#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31793at50557_456900_0:001971|STRG.19330.1:715-2502|+    -            596 31793at50557         -            153   2.6e-91  302.5   6.9   1   1   1.5e-92   5.6e-90  298.1   6.9     1   153   104   285   104   285 0.93 -
31793at50557_79782_0:0006d2|STRG.19331.1:924-1880|+     -            319 31793at50557         -            153   9.2e-47  157.8   7.4   1   1   6.1e-48   2.3e-45  153.3   7.4     2   153    98   278    97   278 0.91 -
31793at50557_79782_0:0006d2|STRG.19331.2:569-1525|+     -            319 31793at50557         -            153   9.2e-47  157.8   7.4   1   1   6.1e-48   2.3e-45  153.3   7.4     2   153    98   278    97   278 0.91 -
31793at50557_286706_0:000ea2|STRG.8977.1:466-2067|+     -            534 31793at50557         -            153   4.6e-43  145.8   7.6   1   1   1.8e-44   6.9e-42  142.0   7.6     2   151    91   269    90   272 0.89 -
31793at50557_286706_0:000ea2|STRG.8977.2:476-2077|+     -            534 31793at50557         -            153   4.6e-43  145.8   7.6   1   1   1.8e-44   6.9e-42  142.0   7.6     2   151    91   269    90   272 0.89 -
31793at50557_286706_0:000ea2|STRG.8977.3:265-1866|+     -            534 31793at50557         -            153   4.6e-43  145.8   7.6   1   1   1.8e-44   6.9e-42  142.0   7.6     2   151    91   269    90   272 0.89 -
31793at50557_286706_0:000ea2|STRG.8977.4:265-1866|+     -            534 31793at50557         -            153   4.6e-43  145.8   7.6   1   1   1.8e-44   6.9e-42  142.0   7.6     2   151    91   269    90   272 0.89 -
31793at50557_39758_0:0015fa|STRG.3993.1:13-792|+        -            260 31793at50557         -            153   1.3e-25   89.1   0.9   1   1   6.5e-26   2.5e-23   81.7   0.9     4   150     4   179     1   181 0.79 -
31793at50557_7004_0:0042c4|STRG.4003.4:982-1803|+       -            274 31793at50557         -            153   5.2e-25   87.2   1.2   1   1   1.6e-25     6e-23   80.5   1.2     4   149    77   251    73   254 0.79 -
31793at50557_7004_0:0042c4|STRG.3998.1:1113-1865|+      -            251 31793at50557         -            153   5.7e-24   83.8   2.0   1   1   1.8e-24     7e-22   77.0   2.0     2   149    74   251    73   251 0.76 -
31793at50557_7004_0:0042c4|STRG.3998.2:1107-1859|+      -            251 31793at50557         -            153   5.7e-24   83.8   2.0   1   1   1.8e-24     7e-22   77.0   2.0     2   149    74   251    73   251 0.76 -
