#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106896at50557_34720_0:0025d6|STRG.18036.1:527-1954|+    -            476 106896at50557        -             70   1.9e-34  116.3   4.0   1   1   6.3e-36   1.9e-34  116.3   4.0    12    70   376   435   369   435 0.93 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9   1  11     0.064       1.9    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9   2  11    0.0091      0.28   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9   3  11   0.00044     0.013   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9   4  11    0.0013     0.039   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9   5  11   0.00033      0.01   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9   6  11   1.6e-06   4.9e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9   7  11   5.9e-07   1.8e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9   8  11   5.8e-06   0.00018   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9   9  11   0.00012    0.0037   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9  10  11   0.00031    0.0096   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.16016.1:233-1588|+    -            452 106896at50557        -             70   2.4e-22   77.6  93.9  11  11      0.18       5.5    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.16016.2:3-1061|+      -            353 106896at50557        -             70   6.6e-20   69.8  83.0   1   8       1.9        56    2.7   0.6    50    70     2    22     1    22 0.95 -
14133at50557_286706_0:001942|STRG.16016.2:3-1061|+      -            353 106896at50557        -             70   6.6e-20   69.8  83.0   2   8   0.00031    0.0094   14.8   7.7    17    69    25    77    23    78 0.93 -
14133at50557_286706_0:001942|STRG.16016.2:3-1061|+      -            353 106896at50557        -             70   6.6e-20   69.8  83.0   3   8   0.00094     0.029   13.3   7.9    23    68    59   104    58   106 0.96 -
