#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
52636at50557_103372_0:0013b2|STRG.1998.1:51-1433|+   -            461 52636at50557         -            353  1.1e-123  411.8  17.5   1   1  3.2e-123  5.3e-120  399.7  17.5     1   353    11   461    11   461 0.83 -
66453at50557_7159_0:0030ef|STRG.16386.1:393-1445|+   -            351 52636at50557         -            353   1.1e-11   43.4   0.0   1   3   9.5e-13   1.6e-09   36.3   0.0     3   116     2   129     1   143 0.82 -
66453at50557_7159_0:0030ef|STRG.16386.1:393-1445|+   -            351 52636at50557         -            353   1.1e-11   43.4   0.0   2   3       1.4   2.3e+03   -3.7   0.0   172   201   166   198   163   202 0.66 -
66453at50557_7159_0:0030ef|STRG.16386.1:393-1445|+   -            351 52636at50557         -            353   1.1e-11   43.4   0.0   3   3     0.004       6.5    4.6   0.0   289   333   284   313   259   334 0.61 -
66453at50557_520822_0:0014e4|STRG.12098.1:530-1916|+ -            439 52636at50557         -            353   4.7e-07   28.1   0.0   1   2   2.2e-09   3.7e-06   25.2   0.0     4   122    24   160    21   165 0.82 -
66453at50557_520822_0:0014e4|STRG.12098.1:530-1916|+ -            439 52636at50557         -            353   4.7e-07   28.1   0.0   2   2     0.081   1.3e+02    0.3   0.0   274   314   322   361   290   367 0.74 -
66453at50557_520822_0:0014e4|STRG.12098.2:530-1916|+ -            439 52636at50557         -            353   4.7e-07   28.1   0.0   1   2   2.2e-09   3.7e-06   25.2   0.0     4   122    24   160    21   165 0.82 -
66453at50557_520822_0:0014e4|STRG.12098.2:530-1916|+ -            439 52636at50557         -            353   4.7e-07   28.1   0.0   2   2     0.081   1.3e+02    0.3   0.0   274   314   322   361   290   367 0.74 -
66453at50557_520822_0:0014e4|STRG.12098.3:530-1916|+ -            439 52636at50557         -            353   4.7e-07   28.1   0.0   1   2   2.2e-09   3.7e-06   25.2   0.0     4   122    24   160    21   165 0.82 -
66453at50557_520822_0:0014e4|STRG.12098.3:530-1916|+ -            439 52636at50557         -            353   4.7e-07   28.1   0.0   2   2     0.081   1.3e+02    0.3   0.0   274   314   322   361   290   367 0.74 -
66453at50557_520822_0:0014e4|STRG.12098.4:739-2125|+ -            439 52636at50557         -            353   4.7e-07   28.1   0.0   1   2   2.2e-09   3.7e-06   25.2   0.0     4   122    24   160    21   165 0.82 -
66453at50557_520822_0:0014e4|STRG.12098.4:739-2125|+ -            439 52636at50557         -            353   4.7e-07   28.1   0.0   2   2     0.081   1.3e+02    0.3   0.0   274   314   322   361   290   367 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/52636at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/52636at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/52636at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:10:45 2024
# [ok]
