#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102968at50557_34720_0:0002ad|STRG.15814.1:84-5777|+   -           1898 102968at50557        -            278  5.7e-119  395.6   1.3   1   1  3.4e-121    1e-118  394.8   1.3     1   268     1   301     1   311 0.90 -
10394at50557_52612_0:0049a4|STRG.13559.3:1968-2930|+  -            321 102968at50557        -            278   1.1e-06   27.3   0.0   1   2   7.1e-05     0.022   13.2   0.0   201   249    38    86    16   104 0.86 -
10394at50557_52612_0:0049a4|STRG.13559.3:1968-2930|+  -            321 102968at50557        -            278   1.1e-06   27.3   0.0   2   2    0.0002     0.061   11.8   0.0   195   250   235   290   227   297 0.92 -
10394at50557_52612_0:0049a4|STRG.8251.6:269-1207|+    -            313 102968at50557        -            278   1.1e-05   24.1   0.0   1   3    0.0019      0.59    8.5   0.0   184   230     4    49     2    72 0.87 -
10394at50557_52612_0:0049a4|STRG.8251.6:269-1207|+    -            313 102968at50557        -            278   1.1e-05   24.1   0.0   2   3    0.0031      0.93    7.9   0.0   154   247    81   176    74   182 0.78 -
10394at50557_52612_0:0049a4|STRG.8251.6:269-1207|+    -            313 102968at50557        -            278   1.1e-05   24.1   0.0   3   3     0.043        13    4.1   0.0   199   229   218   248   207   276 0.85 -
10394at50557_52612_0:0049a4|STRG.8251.5:166-1341|+    -            392 102968at50557        -            278   1.1e-05   24.0   0.0   1   4      0.81   2.5e+02   -0.1   0.0   201   230     2    31     1    50 0.79 -
10394at50557_52612_0:0049a4|STRG.8251.5:166-1341|+    -            392 102968at50557        -            278   1.1e-05   24.0   0.0   2   4    0.0038       1.1    7.6   0.0   186   230    85   128    73   154 0.86 -
10394at50557_52612_0:0049a4|STRG.8251.5:166-1341|+    -            392 102968at50557        -            278   1.1e-05   24.0   0.0   3   4    0.0048       1.5    7.2   0.0   154   247   160   255   153   259 0.77 -
10394at50557_52612_0:0049a4|STRG.8251.5:166-1341|+    -            392 102968at50557        -            278   1.1e-05   24.0   0.0   4   4      0.06        18    3.6   0.0   199   229   297   327   286   355 0.86 -
10394at50557_52612_0:0049a4|STRG.8251.7:322-1251|+    -            310 102968at50557        -            278   2.2e-05   23.1   0.0   1   3    0.0039       1.2    7.5   0.0   186   230     3    46     1    68 0.86 -
10394at50557_52612_0:0049a4|STRG.8251.7:322-1251|+    -            310 102968at50557        -            278   2.2e-05   23.1   0.0   2   3    0.0031      0.95    7.8   0.0   154   247    78   173    71   177 0.78 -
10394at50557_52612_0:0049a4|STRG.8251.7:322-1251|+    -            310 102968at50557        -            278   2.2e-05   23.1   0.0   3   3     0.043        13    4.1   0.0   199   229   215   245   204   273 0.85 -
110125at50557_7539_0:00092e|STRG.7127.1:3518-3781|+   -             88 102968at50557        -            278   3.5e-05   22.4   0.0   1   1   1.3e-07   3.8e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.7127.2:3518-3781|+   -             88 102968at50557        -            278   3.5e-05   22.4   0.0   1   1   1.3e-07   3.8e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
31141at50557_34720_0:0021d7|STRG.1220.1:1087-2742|+   -            552 102968at50557        -            278   0.00024   19.7   0.3   1   2      0.75   2.3e+02    0.0   0.0    12    60    33    83    31    92 0.77 -
31141at50557_34720_0:0021d7|STRG.1220.1:1087-2742|+   -            552 102968at50557        -            278   0.00024   19.7   0.3   2   2   5.7e-06    0.0017   16.8   0.6    11    71   101   164    87   174 0.84 -
10394at50557_378494_0:004c1b|STRG.13559.1:1505-2320|+ -            272 102968at50557        -            278   0.00034   19.2   0.0   1   2    0.0064       1.9    6.8   0.0   187   248    10    71     7    79 0.89 -
10394at50557_378494_0:004c1b|STRG.13559.1:1505-2320|+ -            272 102968at50557        -            278   0.00034   19.2   0.0   2   2   0.00054      0.17   10.3   0.0   201   241   230   270   207   272 0.84 -
10394at50557_378494_0:004c1b|STRG.13559.2:1392-2207|+ -            272 102968at50557        -            278   0.00034   19.2   0.0   1   2    0.0064       1.9    6.8   0.0   187   248    10    71     7    79 0.89 -
10394at50557_378494_0:004c1b|STRG.13559.2:1392-2207|+ -            272 102968at50557        -            278   0.00034   19.2   0.0   2   2   0.00054      0.17   10.3   0.0   201   241   230   270   207   272 0.84 -
10394at50557_378494_0:004c1b|STRG.13559.4:1392-2207|+ -            272 102968at50557        -            278   0.00034   19.2   0.0   1   2    0.0064       1.9    6.8   0.0   187   248    10    71     7    79 0.89 -
