#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
70072at50557_456900_0:00138d|STRG.17560.1:125-1566|+ -            477 70072at50557         -            398  1.5e-194  644.9   2.8   1   1  3.3e-197    2e-194  644.5   2.8    19   394    76   454    42   458 0.94 -
57156at50557_28612_0:002d5e|STRG.9855.1:429-1052|+   -            208 70072at50557         -            398   1.2e-10   39.3   1.1   1   3   2.8e-06    0.0016   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.9855.1:429-1052|+   -            208 70072at50557         -            398   1.2e-10   39.3   1.1   2   3   4.3e-08   2.5e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.9855.1:429-1052|+   -            208 70072at50557         -            398   1.2e-10   39.3   1.1   3   3      0.16        94    0.2   0.0   102   135   147   180   140   201 0.76 -
57156at50557_28612_0:002d5e|STRG.9855.3:784-1407|+   -            208 70072at50557         -            398   1.2e-10   39.3   1.1   1   3   2.8e-06    0.0016   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.9855.3:784-1407|+   -            208 70072at50557         -            398   1.2e-10   39.3   1.1   2   3   4.3e-08   2.5e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.9855.3:784-1407|+   -            208 70072at50557         -            398   1.2e-10   39.3   1.1   3   3      0.16        94    0.2   0.0   102   135   147   180   140   201 0.76 -
57156at50557_28612_0:002d5e|STRG.9855.4:291-791|+    -            167 70072at50557         -            398   9.4e-07   26.6   0.2   1   3      0.29   1.7e+02   -0.6   0.0   105   126     7    28     3    32 0.85 -
57156at50557_28612_0:002d5e|STRG.9855.4:291-791|+    -            167 70072at50557         -            398   9.4e-07   26.6   0.2   2   3     2e-08   1.2e-05   22.9   0.2    56   127    27    97    17   103 0.91 -
57156at50557_28612_0:002d5e|STRG.9855.4:291-791|+    -            167 70072at50557         -            398   9.4e-07   26.6   0.2   3   3     0.098        58    0.9   0.0   101   135   105   139    98   161 0.75 -
89121at50557_41427_0:000114|STRG.15199.1:1825-2763|+ -            313 70072at50557         -            398   1.5e-06   25.9   4.2   1   3     0.088        52    1.1   0.1    57   121    21    84     6    94 0.70 -
89121at50557_41427_0:000114|STRG.15199.1:1825-2763|+ -            313 70072at50557         -            398   1.5e-06   25.9   4.2   2   3    0.0009      0.53    7.6   0.3    79   127    91   139    63   145 0.90 -
89121at50557_41427_0:000114|STRG.15199.1:1825-2763|+ -            313 70072at50557         -            398   1.5e-06   25.9   4.2   3   3   8.8e-07   0.00052   17.5   0.1    65   159   146   236   141   246 0.83 -
35300at50557_103372_0:002ae9|STRG.11461.1:1-1468|+   -            330 70072at50557         -            398   2.5e-06   25.1   0.3   1   3   0.00016     0.093   10.1   0.0    17   126    42   149    34   160 0.77 -
35300at50557_103372_0:002ae9|STRG.11461.1:1-1468|+   -            330 70072at50557         -            398   2.5e-06   25.1   0.3   2   3   5.1e-05      0.03   11.7   0.1    62   127   161   228   149   242 0.81 -
35300at50557_103372_0:002ae9|STRG.11461.1:1-1468|+   -            330 70072at50557         -            398   2.5e-06   25.1   0.3   3   3       0.3   1.7e+02   -0.7   0.0    63    88   268   293   231   299 0.67 -
65980at50557_224129_0:002010|STRG.9721.7:479-1201|+  -            241 70072at50557         -            398     3e-05   21.6   3.4   1   3   1.8e-06     0.001   16.5   0.3    51   138    27   113     7   127 0.87 -
65980at50557_224129_0:002010|STRG.9721.7:479-1201|+  -            241 70072at50557         -            398     3e-05   21.6   3.4   2   3     0.044        26    2.1   0.0    67   126   111   169   102   178 0.78 -
65980at50557_224129_0:002010|STRG.9721.7:479-1201|+  -            241 70072at50557         -            398     3e-05   21.6   3.4   3   3    0.0081       4.7    4.5   0.2    58   118   170   229   142   238 0.65 -
65980at50557_224129_0:002010|STRG.9721.5:1221-1946|+ -            242 70072at50557         -            398   3.1e-05   21.6   3.4   1   3   1.7e-06   0.00098   16.6   0.3    51   138    27   113     6   129 0.86 -
65980at50557_224129_0:002010|STRG.9721.5:1221-1946|+ -            242 70072at50557         -            398   3.1e-05   21.6   3.4   2   3     0.021        12    3.2   0.3    79   127   123   170   104   204 0.56 -
65980at50557_224129_0:002010|STRG.9721.5:1221-1946|+ -            242 70072at50557         -            398   3.1e-05   21.6   3.4   3   3    0.0071       4.2    4.7   0.2    55   118   169   229   141   239 0.65 -
35300at50557_103372_0:000d33|STRG.17559.2:259-1269|+ -            254 70072at50557         -            398   0.00065   17.2   0.4   1   2    0.0012       0.7    7.2   0.1    68   127     6    64     2    82 0.85 -
35300at50557_103372_0:000d33|STRG.17559.2:259-1269|+ -            254 70072at50557         -            398   0.00065   17.2   0.4   2   2    0.0006      0.35    8.2   0.0    66   140    79   155    65   168 0.78 -
89121at50557_156304_0:00118d|STRG.3747.1:1228-1977|+ -            250 70072at50557         -            398     0.007   13.8   0.1   1   2   4.6e-05     0.027   11.9   0.0    44   140    41   148     4   158 0.69 -
89121at50557_156304_0:00118d|STRG.3747.1:1228-1977|+ -            250 70072at50557         -            398     0.007   13.8   0.1   2   2      0.28   1.7e+02   -0.6   0.0    58    84   203   229   174   238 0.80 -
89121at50557_156304_0:00118d|STRG.3747.2:639-1388|+  -            250 70072at50557         -            398     0.007   13.8   0.1   1   2   4.6e-05     0.027   11.9   0.0    44   140    41   148     4   158 0.69 -
89121at50557_156304_0:00118d|STRG.3747.2:639-1388|+  -            250 70072at50557         -            398     0.007   13.8   0.1   2   2      0.28   1.7e+02   -0.6   0.0    58    84   203   229   174   238 0.80 -
58363at50557_103372_0:001475|STRG.5404.1:1-1492|-    -            431 70072at50557         -            398     0.022   12.2   0.0   1   1   6.2e-05     0.036   11.5   0.0    45   125   344   423   313   427 0.76 -
35300at50557_103372_0:000db9|STRG.17555.1:0-863|+    -            288 70072at50557         -            398     0.022   12.2   1.7   1   2   8.8e-05     0.052   10.9   0.6    39   150    20   130     2   171 0.71 -
35300at50557_103372_0:000db9|STRG.17555.1:0-863|+    -            288 70072at50557         -            398     0.022   12.2   1.7   2   2      0.39   2.3e+02   -1.1   0.0    48    84   211   247   165   257 0.53 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/70072at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/70072at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/70072at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:17 2024
# [ok]
