#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
119324at50557_609295_0:001eaf|STRG.13757.1:147-656|+  -            170 119324at50557        -            141   5.7e-84  278.1   5.3   1   1   5.3e-86   7.1e-84  277.8   5.3     1   141     1   154     1   154 0.97 -
112578at50557_34720_0:000f89|STRG.7567.4:235-813|+    -            193 119324at50557        -            141   8.5e-27   92.8   0.4   1   1   1.4e-28   1.8e-26   91.7   0.4    11   141    29   175     5   175 0.87 -
112578at50557_34720_0:000f89|STRG.7567.5:542-1120|+   -            193 119324at50557        -            141   8.5e-27   92.8   0.4   1   1   1.4e-28   1.8e-26   91.7   0.4    11   141    29   175     5   175 0.87 -
112578at50557_34720_0:000f89|STRG.7567.2:1025-1606|+  -            194 119324at50557        -            141   8.6e-27   92.7   0.4   1   1   1.4e-28   1.8e-26   91.7   0.4    11   141    30   176     6   176 0.87 -
112578at50557_34720_0:000f89|STRG.7567.6:235-817|+    -            192 119324at50557        -            141   1.1e-26   92.3   0.5   1   1   1.9e-28   2.5e-26   91.2   0.5    12   141    29   174     5   174 0.88 -
112578at50557_34720_0:000f89|STRG.7567.1:26-724|+     -            233 119324at50557        -            141   1.6e-26   91.8   0.4   1   1   2.5e-28   3.3e-26   90.9   0.3    11   141    69   215    59   215 0.86 -
112578at50557_34720_0:000f89|STRG.7567.3:26-728|+     -            232 119324at50557        -            141   2.2e-26   91.4   0.4   1   1   3.4e-28   4.5e-26   90.4   0.4    12   141    69   214    45   214 0.88 -
119324at50557_454923_0:001f56|STRG.7407.2:9-329|+     -            107 119324at50557        -            141   5.8e-17   60.9   0.4   1   1   4.6e-19   6.1e-17   60.8   0.4    49   141    10   104     1   104 0.92 -
119324at50557_319348_0:001162|STRG.16112.1:413-862|+  -            150 119324at50557        -            141   1.7e-16   59.4   0.4   1   1   1.7e-18   2.3e-16   58.9   0.4    27   140    24   145     9   146 0.91 -
119324at50557_28612_0:006210|STRG.3573.1:30-512|+     -            161 119324at50557        -            141   4.5e-16   58.0   0.9   1   1   1.6e-16   2.1e-14   52.6   0.9    29   141    30   160    11   160 0.75 -
119324at50557_454923_0:001f56|STRG.7407.1:457-738|+   -             94 119324at50557        -            141   2.8e-14   52.2   0.2   1   1   2.3e-16     3e-14   52.1   0.2    56   141     4    91     1    91 0.94 -
119324at50557_28612_0:006210|STRG.14245.1:545-997|+   -            151 119324at50557        -            141   4.4e-13   48.3   6.0   1   2   1.9e-06   0.00025   20.0   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.14245.1:545-997|+   -            151 119324at50557        -            141   4.4e-13   48.3   6.0   2   2   9.1e-12   1.2e-09   37.2   1.4    50   141    42   143    29   143 0.78 -
119324at50557_28612_0:006210|STRG.14245.2:541-993|+   -            151 119324at50557        -            141   4.4e-13   48.3   6.0   1   2   1.9e-06   0.00025   20.0   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.14245.2:541-993|+   -            151 119324at50557        -            141   4.4e-13   48.3   6.0   2   2   9.1e-12   1.2e-09   37.2   1.4    50   141    42   143    29   143 0.78 -
119324at50557_28612_0:006210|STRG.14245.3:387-839|+   -            151 119324at50557        -            141   4.4e-13   48.3   6.0   1   2   1.9e-06   0.00025   20.0   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.14245.3:387-839|+   -            151 119324at50557        -            141   4.4e-13   48.3   6.0   2   2   9.1e-12   1.2e-09   37.2   1.4    50   141    42   143    29   143 0.78 -
119324at50557_28612_0:006210|STRG.14245.4:469-921|+   -            151 119324at50557        -            141   4.4e-13   48.3   6.0   1   2   1.9e-06   0.00025   20.0   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.14245.4:469-921|+   -            151 119324at50557        -            141   4.4e-13   48.3   6.0   2   2   9.1e-12   1.2e-09   37.2   1.4    50   141    42   143    29   143 0.78 -
119324at50557_28612_0:006210|STRG.14245.5:668-1120|+  -            151 119324at50557        -            141   4.4e-13   48.3   6.0   1   2   1.9e-06   0.00025   20.0   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.14245.5:668-1120|+  -            151 119324at50557        -            141   4.4e-13   48.3   6.0   2   2   9.1e-12   1.2e-09   37.2   1.4    50   141    42   143    29   143 0.78 -
119324at50557_28612_0:006210|STRG.12650.1:118-561|+   -            148 119324at50557        -            141   6.3e-13   47.8   0.9   1   1   1.6e-14   2.1e-12   46.1   0.8     9   140     3   143     1   144 0.83 -
119324at50557_1049336_0:003cac|STRG.19484.2:205-642|+ -            146 119324at50557        -            141   4.4e-12   45.1   0.2   1   1   4.9e-14   6.5e-12   44.5   0.2    17   140    14   146     5   146 0.80 -
119324at50557_1049336_0:003cac|STRG.19484.1:218-631|+ -            138 119324at50557        -            141   6.6e-12   44.5   0.7   1   1   6.8e-14   9.1e-12   44.1   0.7    19   140     8   138     1   138 0.79 -
119324at50557_54969_0:002fed|STRG.3580.1:1273-1566|+  -             98 119324at50557        -            141   1.3e-11   43.6   0.1   1   1     1e-13   1.4e-11   43.5   0.1    38   108    24    93     6    97 0.87 -
119324at50557_29053_0:0019d1|STRG.665.1:618-965|+     -            116 119324at50557        -            141   2.1e-11   42.9   0.1   1   1   8.7e-13   1.2e-10   40.5   0.1    44   139     6   111     1   113 0.76 -
119324at50557_38123_0:00169f|STRG.12648.1:90-533|+    -            148 119324at50557        -            141   2.6e-11   42.5   0.9   1   2   3.2e-05    0.0042   16.0   0.1    80   141     6    69     2    69 0.85 -
119324at50557_38123_0:00169f|STRG.12648.1:90-533|+    -            148 119324at50557        -            141   2.6e-11   42.5   0.9   2   2   5.4e-10   7.2e-08   31.4   0.1    51   140    50   145    37   146 0.81 -
119324at50557_38123_0:00169f|STRG.12648.3:253-696|+   -            148 119324at50557        -            141   2.6e-11   42.5   0.9   1   2   3.2e-05    0.0042   16.0   0.1    80   141     6    69     2    69 0.85 -
119324at50557_38123_0:00169f|STRG.12648.3:253-696|+   -            148 119324at50557        -            141   2.6e-11   42.5   0.9   2   2   5.4e-10   7.2e-08   31.4   0.1    51   140    50   145    37   146 0.81 -
119324at50557_38123_0:00169f|STRG.12648.2:83-532|+    -            150 119324at50557        -            141   2.7e-11   42.5   1.1   1   2    0.0023      0.31    9.9   0.1    79   103     7    31     2    38 0.88 -
119324at50557_38123_0:00169f|STRG.12648.2:83-532|+    -            150 119324at50557        -            141   2.7e-11   42.5   1.1   2   2   5.7e-10   7.6e-08   31.3   0.1    51   140    52   147    39   148 0.81 -
119324at50557_51655_0:00018a|STRG.17897.1:730-1203|+  -            158 119324at50557        -            141   5.4e-11   41.5   0.1   1   2   9.9e-11   1.3e-08   33.8   0.0    49   109    55   114    37   121 0.89 -
119324at50557_51655_0:00018a|STRG.17897.1:730-1203|+  -            158 119324at50557        -            141   5.4e-11   41.5   0.1   2   2     0.039       5.2    5.9   0.0     9    37   130   158   122   158 0.81 -
119324at50557_516756_0:001c87|STRG.3262.2:3285-3647|+ -            121 119324at50557        -            141   2.8e-09   36.0   0.6   1   1   2.4e-11   3.1e-09   35.8   0.6    32   108     2    78     1   107 0.87 -
119324at50557_516756_0:001c87|STRG.3262.3:3154-3516|+ -            121 119324at50557        -            141   2.8e-09   36.0   0.6   1   1   2.4e-11   3.1e-09   35.8   0.6    32   108     2    78     1   107 0.87 -
119324at50557_516756_0:001c87|STRG.3262.4:2170-2532|+ -            121 119324at50557        -            141   2.8e-09   36.0   0.6   1   1   2.4e-11   3.1e-09   35.8   0.6    32   108     2    78     1   107 0.87 -
119324at50557_516756_0:001c87|STRG.3262.5:2439-2801|+ -            121 119324at50557        -            141   2.8e-09   36.0   0.6   1   1   2.4e-11   3.1e-09   35.8   0.6    32   108     2    78     1   107 0.87 -
119324at50557_516756_0:001c87|STRG.3262.6:870-1232|+  -            121 119324at50557        -            141   2.8e-09   36.0   0.6   1   1   2.4e-11   3.1e-09   35.8   0.6    32   108     2    78     1   107 0.87 -
119324at50557_319348_0:001162|STRG.13708.1:218-535|+  -            106 119324at50557        -            141   4.5e-09   35.3   0.0   1   1   3.7e-11   4.9e-09   35.2   0.0    40   102     1    69     1    96 0.85 -
119324at50557_79782_0:002ece|STRG.9634.1:123-542|+    -            140 119324at50557        -            141   4.5e-09   35.3   0.8   1   1   1.9e-10   2.6e-08   32.9   0.8    14   140     5   140     1   140 0.82 -
119324at50557_54969_0:002fed|STRG.10143.1:423-803|+   -            127 119324at50557        -            141   9.9e-09   34.2   0.7   1   2      0.21        28    3.6   0.1    56    90    13    48     4    53 0.79 -
119324at50557_54969_0:002fed|STRG.10143.1:423-803|+   -            127 119324at50557        -            141   9.9e-09   34.2   0.7   2   2   6.6e-10   8.7e-08   31.1   0.1    47   109    42   103    34   111 0.89 -
119324at50557_54969_0:002fed|STRG.10143.2:836-1216|+  -            127 119324at50557        -            141   9.9e-09   34.2   0.7   1   2      0.21        28    3.6   0.1    56    90    13    48     4    53 0.79 -
119324at50557_54969_0:002fed|STRG.10143.2:836-1216|+  -            127 119324at50557        -            141   9.9e-09   34.2   0.7   2   2   6.6e-10   8.7e-08   31.1   0.1    47   109    42   103    34   111 0.89 -
119324at50557_54969_0:002fed|STRG.10143.3:570-950|+   -            127 119324at50557        -            141   9.9e-09   34.2   0.7   1   2      0.21        28    3.6   0.1    56    90    13    48     4    53 0.79 -
119324at50557_54969_0:002fed|STRG.10143.3:570-950|+   -            127 119324at50557        -            141   9.9e-09   34.2   0.7   2   2   6.6e-10   8.7e-08   31.1   0.1    47   109    42   103    34   111 0.89 -
119324at50557_454923_0:001f56|STRG.10143.5:188-487|+  -            100 119324at50557        -            141   2.6e-08   32.9   0.3   1   1     3e-09     4e-07   29.0   0.3    62   109     2    48     1    96 0.85 -
119324at50557_319348_0:001162|STRG.9966.1:2477-2902|+ -            142 119324at50557        -            141     6e-07   28.4   1.1   1   1   2.9e-08   3.8e-06   25.8   1.1    17   140    19   142     9   142 0.79 -
119324at50557_28612_0:006210|STRG.8079.1:219-548|+    -            110 119324at50557        -            141   6.8e-07   28.2   0.0   1   1   5.5e-09   7.2e-07   28.2   0.0    47   105    52   109    15   110 0.91 -
119324at50557_28612_0:006210|STRG.8079.2:326-655|+    -            110 119324at50557        -            141   6.8e-07   28.2   0.0   1   1   5.5e-09   7.2e-07   28.2   0.0    47   105    52   109    15   110 0.91 -
112578at50557_88501_0:001fa9|STRG.18299.1:250-732|+   -            161 119324at50557        -            141   1.3e-06   27.3   0.4   1   1   1.5e-08     2e-06   26.7   0.4    11   111    23   125    18   161 0.74 -
119324at50557_29053_0:0019d1|STRG.10143.4:490-768|+   -             93 119324at50557        -            141   2.1e-06   26.7   0.1   1   1   2.6e-07   3.5e-05   22.7   0.2    69   109     2    41     1    89 0.80 -
119324at50557_29053_0:0019d1|STRG.10143.6:366-644|+   -             93 119324at50557        -            141   2.1e-06   26.7   0.1   1   1   2.6e-07   3.5e-05   22.7   0.2    69   109     2    41     1    89 0.80 -
119324at50557_319348_0:001162|STRG.13231.1:250-666|+  -            139 119324at50557        -            141   1.3e-05   24.1   1.7   1   1   1.9e-07   2.5e-05   23.2   1.7    21   141     5   132     1   132 0.76 -
119324at50557_319348_0:001162|STRG.13231.2:560-976|+  -            139 119324at50557        -            141   1.3e-05   24.1   1.7   1   1   1.9e-07   2.5e-05   23.2   1.7    21   141     5   132     1   132 0.76 -
119324at50557_54969_0:002fed|STRG.13461.1:22-276|+    -             85 119324at50557        -            141   1.4e-05   24.0   0.3   1   1   1.5e-07     2e-05   23.5   0.3    85   138     2    65     1    68 0.74 -
119324at50557_29053_0:0019d1|STRG.9966.2:2543-2959|+  -            139 119324at50557        -            141     2e-05   23.5   1.3   1   1   3.7e-07   4.9e-05   22.2   1.3    21   141     1   131     1   131 0.76 -
119324at50557_1218281_0:003071|STRG.10785.1:242-553|+ -            104 119324at50557        -            141   4.4e-05   22.4   1.3   1   1   4.1e-07   5.5e-05   22.1   1.3    51   139     1    90     1    92 0.83 -
119324at50557_54969_0:002fed|STRG.12195.1:105-575|+   -            157 119324at50557        -            141   7.4e-05   21.7   0.3   1   2   7.1e-05    0.0094   14.8   0.0    47    95    45    92    31   106 0.84 -
119324at50557_54969_0:002fed|STRG.12195.1:105-575|+   -            157 119324at50557        -            141   7.4e-05   21.7   0.3   2   2     0.061       8.1    5.3   0.0    22   108   133   150   113   157 0.62 -
57153at50557_7244_0:001c0f|STRG.16972.2:323-1285|+    -            321 119324at50557        -            141   9.2e-05   21.3   2.2   1   3    0.0035      0.46    9.3   0.0    16    71    43   100    29   111 0.76 -
57153at50557_7244_0:001c0f|STRG.16972.2:323-1285|+    -            321 119324at50557        -            141   9.2e-05   21.3   2.2   2   3       3.2   4.3e+02   -0.3   0.0    52    70   156   177   140   198 0.72 -
57153at50557_7244_0:001c0f|STRG.16972.2:323-1285|+    -            321 119324at50557        -            141   9.2e-05   21.3   2.2   3   3    0.0024      0.32    9.9   0.2   116   141   286   311   218   315 0.63 -
119324at50557_7237_0:000ec2|STRG.12195.2:227-544|+    -            106 119324at50557        -            141   0.00011   21.1   0.4   1   1   1.6e-05    0.0022   16.9   0.5    51   140     3   102     1   103 0.68 -
