#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
90744at50557_104421_0:000efb|STRG.4049.1:80-1042|+   -            321 90744at50557         -            250  7.6e-153  506.1   7.4   1   1  3.4e-153  3.8e-150  497.2   7.4     1   250    11   290    11   290 0.94 -
105894at50557_103372_0:000196|STRG.11703.1:95-949|+  -            285 90744at50557         -            250   2.4e-18   65.5   0.0   1   1   3.8e-21   4.1e-18   64.7   0.0     2   166     7   165     6   189 0.85 -
75818at50557_103372_0:001ce5|STRG.14884.1:216-1217|+ -            334 90744at50557         -            250   1.1e-16   60.1   0.1   1   1   1.3e-19   1.5e-16   59.6   0.1     4   201    49   244    46   269 0.86 -
80760at50557_91411_0:0003e9|STRG.4263.1:168-1100|+   -            311 90744at50557         -            250   0.00017   20.1   0.0   1   1   2.5e-07   0.00027   19.4   0.0    14   119    44   147    31   165 0.78 -
80760at50557_91411_0:0003e9|STRG.4263.2:286-1218|+   -            311 90744at50557         -            250   0.00017   20.1   0.0   1   1   2.5e-07   0.00027   19.4   0.0    14   119    44   147    31   165 0.78 -
78394at50557_103372_0:00085a|STRG.4763.1:176-1213|+  -            346 90744at50557         -            250    0.0012   17.4   0.0   1   1   1.7e-06    0.0019   16.7   0.0     7   119    64   175    59   179 0.78 -
78394at50557_103372_0:00085a|STRG.4763.4:121-1158|+  -            346 90744at50557         -            250    0.0012   17.4   0.0   1   1   1.7e-06    0.0019   16.7   0.0     7   119    64   175    59   179 0.78 -
78394at50557_103372_0:00085a|STRG.4763.2:10-1053|+   -            348 90744at50557         -            250    0.0012   17.4   0.0   1   1   1.7e-06    0.0019   16.7   0.0     7   119    66   177    61   181 0.78 -
78394at50557_103372_0:00085a|STRG.4763.3:56-1214|+   -            368 90744at50557         -            250    0.0013   17.2   0.0   1   1   1.9e-06    0.0021   16.5   0.0     7   119    86   197    81   201 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/90744at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/90744at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/90744at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:13:15 2024
# [ok]
