#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
84764at50557_286306_0:001d5c|STRG.15388.1:0-1013|+    -            338 84764at50557         -            287  8.6e-160  529.3   4.4   1   1  4.7e-160  8.1e-159  526.2   4.4     1   286     7   324     7   325 0.93 -
84764at50557_326594_0:0017ea|STRG.10383.2:30-920|+    -            297 84764at50557         -            287   2.6e-70  235.7   0.0   1   1   1.8e-71   3.1e-70  235.5   0.0     2   263     7   273     6   287 0.92 -
84764at50557_326594_0:0017ea|STRG.10383.1:297-1495|+  -            294 84764at50557         -            287   1.3e-68  230.2   0.0   1   1   8.7e-70   1.5e-68  229.9   0.0     2   263     7   270     6   284 0.92 -
84764at50557_108931_0:001940|STRG.14828.1:15-863|+    -            283 84764at50557         -            287   8.9e-68  227.4   0.1   1   1   6.2e-69   1.1e-67  227.1   0.1     4   230     1   232     1   266 0.89 -
84764at50557_441921_0:00052c|STRG.7299.1:158-1042|+   -            295 84764at50557         -            287   2.5e-66  222.6   0.0   1   1   1.7e-67     3e-66  222.4   0.0     1   252     7   267     7   281 0.88 -
84764at50557_104688_0:0005e9|STRG.15164.1:4242-5171|+ -            310 84764at50557         -            287   1.2e-64  217.2   0.0   1   1   2.9e-65     5e-64  215.1   0.0     8   265     1   265     1   302 0.89 -
84764at50557_2015173_0:00218c|STRG.7299.3:158-1037|+  -            287 84764at50557         -            287   7.4e-64  214.5   0.0   1   1   5.3e-65   9.1e-64  214.2   0.0     1   252     7   262     7   275 0.88 -
84764at50557_123851_0:00190f|STRG.19732.1:1447-2373|+ -            309 84764at50557         -            287   1.2e-63  213.9   0.0   1   1     8e-65   1.4e-63  213.6   0.0     5   251     7   268     3   292 0.86 -
84764at50557_123851_0:00190f|STRG.19732.2:1666-2592|+ -            309 84764at50557         -            287   1.2e-63  213.9   0.0   1   1     8e-65   1.4e-63  213.6   0.0     5   251     7   268     3   292 0.86 -
84764at50557_123851_0:00190f|STRG.19732.4:1482-2408|+ -            309 84764at50557         -            287   1.2e-63  213.9   0.0   1   1     8e-65   1.4e-63  213.6   0.0     5   251     7   268     3   292 0.86 -
84764at50557_64459_0:000601|STRG.19732.3:24-848|+     -            275 84764at50557         -            287   1.4e-63  213.6   0.0   1   1   9.8e-65   1.7e-63  213.3   0.0     5   251     9   270     5   274 0.86 -
84764at50557_441921_0:00052c|STRG.7299.2:435-1271|+   -            279 84764at50557         -            287   3.1e-62  209.2   0.0   1   1   2.1e-63   3.6e-62  209.0   0.0    11   252     1   251     1   265 0.87 -
84764at50557_286706_0:000034|STRG.10383.3:155-1092|+  -            253 84764at50557         -            287   6.7e-61  204.8   0.0   1   1   4.5e-62   7.8e-61  204.6   0.0    39   263     1   229     1   243 0.92 -
84764at50557_7493_0:00284f|STRG.17303.1:309-1181|+    -            291 84764at50557         -            287   2.9e-59  199.4   0.0   1   1   1.9e-60   3.3e-59  199.3   0.0     2   244     1   251     1   289 0.86 -
84764at50557_326594_0:0017ea|STRG.3947.1:844-1728|+   -            295 84764at50557         -            287   2.1e-58  196.6   0.0   1   1   1.6e-59   2.7e-58  196.3   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.3947.2:608-1492|+   -            295 84764at50557         -            287   2.1e-58  196.6   0.0   1   1   1.6e-59   2.7e-58  196.3   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.3947.3:1504-2388|+  -            295 84764at50557         -            287   2.1e-58  196.6   0.0   1   1   1.6e-59   2.7e-58  196.3   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.3947.4:856-1740|+   -            295 84764at50557         -            287   2.1e-58  196.6   0.0   1   1   1.6e-59   2.7e-58  196.3   0.0     2   226     5   233     4   247 0.92 -
84764at50557_7493_0:00284f|STRG.17289.1:54-995|+      -            314 84764at50557         -            287   4.9e-57  192.1   0.1   1   1   3.6e-58   6.1e-57  191.8   0.1     1   226     5   244     5   261 0.89 -
84764at50557_112268_0:000773|STRG.12515.1:945-1865|+  -            307 84764at50557         -            287   1.4e-52  177.5   0.0   1   1   1.3e-52   2.2e-51  173.6   0.0     3   254     2   280     1   299 0.84 -
84764at50557_112268_0:000773|STRG.12515.2:870-1790|+  -            307 84764at50557         -            287   1.4e-52  177.5   0.0   1   1   1.3e-52   2.2e-51  173.6   0.0     3   254     2   280     1   299 0.84 -
84764at50557_112268_0:000773|STRG.12515.3:824-1744|+  -            307 84764at50557         -            287   1.4e-52  177.5   0.0   1   1   1.3e-52   2.2e-51  173.6   0.0     3   254     2   280     1   299 0.84 -
84764at50557_112268_0:000773|STRG.12515.4:729-1649|+  -            307 84764at50557         -            287   1.4e-52  177.5   0.0   1   1   1.3e-52   2.2e-51  173.6   0.0     3   254     2   280     1   299 0.84 -
84764at50557_121225_0:001830|STRG.8877.1:3073-4071|+  -            333 84764at50557         -            287   6.2e-52  175.4   0.0   1   1   5.1e-53   8.7e-52  174.9   0.0     3   227     2   240     1   276 0.86 -
84764at50557_121225_0:001830|STRG.8877.2:3073-4071|+  -            333 84764at50557         -            287   6.2e-52  175.4   0.0   1   1   5.1e-53   8.7e-52  174.9   0.0     3   227     2   240     1   276 0.86 -
84764at50557_121225_0:001830|STRG.8877.3:3073-4071|+  -            333 84764at50557         -            287   6.2e-52  175.4   0.0   1   1   5.1e-53   8.7e-52  174.9   0.0     3   227     2   240     1   276 0.86 -
84764at50557_7539_0:000ea4|STRG.19940.1:96-965|+      -            290 84764at50557         -            287   1.5e-51  174.2   0.0   1   1   9.9e-53   1.7e-51  174.0   0.0     1   254     1   266     1   286 0.85 -
84764at50557_7539_0:000ea4|STRG.19940.2:96-965|+      -            290 84764at50557         -            287   1.5e-51  174.2   0.0   1   1   9.9e-53   1.7e-51  174.0   0.0     1   254     1   266     1   286 0.85 -
84764at50557_441921_0:00052c|STRG.17920.2:213-1091|+  -            293 84764at50557         -            287   2.6e-51  173.4   0.0   1   1   1.9e-52   3.2e-51  173.0   0.0     1   216     6   222     6   250 0.89 -
84764at50557_441921_0:00052c|STRG.17920.4:27-905|+    -            293 84764at50557         -            287   2.6e-51  173.4   0.0   1   1   1.9e-52   3.2e-51  173.0   0.0     1   216     6   222     6   250 0.89 -
84764at50557_441921_0:00052c|STRG.17920.3:213-875|+   -            221 84764at50557         -            287   3.3e-51  173.0   0.0   1   1   2.3e-52   3.9e-51  172.8   0.0     1   215     6   221     6   221 0.90 -
63395at50557_219809_0:002247|STRG.15274.1:0-1361|+    -            454 84764at50557         -            287     1e-48  164.9   0.0   1   1   1.7e-49   2.9e-48  163.4   0.0     8   226    28   281    23   286 0.80 -
84764at50557_30019_0:002ccd|STRG.17959.1:3-884|+      -            294 84764at50557         -            287   2.2e-48  163.8   0.0   1   1   1.5e-49   2.5e-48  163.5   0.0     1   254     2   259     2   285 0.84 -
84764at50557_30019_0:002ccd|STRG.17959.2:142-1023|+   -            294 84764at50557         -            287   2.2e-48  163.8   0.0   1   1   1.5e-49   2.5e-48  163.5   0.0     1   254     2   259     2   285 0.84 -
84764at50557_91411_0:001d03|STRG.8287.3:304-1182|+    -            293 84764at50557         -            287   3.9e-48  162.9   0.0   1   1   2.7e-49   4.6e-48  162.7   0.0     1   257     1   265     1   285 0.83 -
84764at50557_319348_0:00198b|STRG.8287.1:301-1185|+   -            295 84764at50557         -            287   2.9e-47  160.1   0.0   1   1     2e-48   3.4e-47  159.9   0.0     1   257     2   266     2   287 0.82 -
84764at50557_29031_0:002a8c|STRG.14465.5:1912-2877|+  -            322 84764at50557         -            287   1.4e-46  157.8   0.0   1   1   1.1e-47   1.8e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_29031_0:002a8c|STRG.14465.6:1933-2898|+  -            322 84764at50557         -            287   1.4e-46  157.8   0.0   1   1   1.1e-47   1.8e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_29031_0:002a8c|STRG.14465.7:261-1226|+   -            322 84764at50557         -            287   1.4e-46  157.8   0.0   1   1   1.1e-47   1.8e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_535359_0:000b99|STRG.6153.1:87-830|+     -            248 84764at50557         -            287     7e-44  149.0   0.0   1   1   4.5e-45   7.7e-44  148.8   0.0    46   222     4   187     1   230 0.91 -
84764at50557_535359_0:000b99|STRG.6153.2:75-818|+     -            248 84764at50557         -            287     7e-44  149.0   0.0   1   1   4.5e-45   7.7e-44  148.8   0.0    46   222     4   187     1   230 0.91 -
84764at50557_535359_0:000b99|STRG.6153.3:75-818|+     -            248 84764at50557         -            287     7e-44  149.0   0.0   1   1   4.5e-45   7.7e-44  148.8   0.0    46   222     4   187     1   230 0.91 -
84764at50557_29029_0:001026|STRG.12829.1:370-1311|+   -            314 84764at50557         -            287   3.4e-42  143.4   0.0   1   1   2.5e-43   4.2e-42  143.1   0.0     1   244     1   251     1   255 0.84 -
84764at50557_108931_0:001940|STRG.4952.2:6-743|+      -            246 84764at50557         -            287   2.2e-41  140.8   0.0   1   1   1.6e-42   2.8e-41  140.4   0.0    55   229     4   190     1   228 0.84 -
84764at50557_29029_0:001026|STRG.12829.2:613-1557|+   -            315 84764at50557         -            287   3.2e-41  140.2   0.0   1   1   2.3e-42     4e-41  139.9   0.0    11   244    12   252     2   256 0.79 -
84764at50557_104688_0:0005e9|STRG.14465.1:350-931|+   -            194 84764at50557         -            287     2e-40  137.7   0.0   1   1   1.3e-41   2.2e-40  137.5   0.0   101   255     1   160     1   177 0.89 -
84764at50557_319348_0:00198b|STRG.8287.4:301-912|+    -            204 84764at50557         -            287   3.3e-39  133.6   0.0   1   1   2.1e-40   3.6e-39  133.5   0.0     1   200     2   204     2   204 0.84 -
63395at50557_56086_0:0004be|STRG.8287.2:325-1180|+    -            275 84764at50557         -            287   8.9e-37  125.7   0.1   1   1   1.1e-37   1.8e-36  124.6   0.1     9   257     2   247     1   267 0.80 -
