#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135254at50557_103372_0:002a85|STRG.656.1:9-383|+       -            125 135254at50557        -            104   1.2e-58  194.6   1.6   1   1   7.6e-61   1.4e-58  194.4   1.6     1   104     7   120     7   120 0.92 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 135254at50557        -            104   4.9e-08   32.0   0.6   1   4      0.22        41    3.3   0.0    27    70    19    62     2    90 0.76 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 135254at50557        -            104   4.9e-08   32.0   0.6   2   4    0.0042      0.77    8.8   0.1    16    72    90   151    78   177 0.83 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 135254at50557        -            104   4.9e-08   32.0   0.6   3   4   0.00012     0.023   13.8   0.0    16   102   183   271   168   274 0.75 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 135254at50557        -            104   4.9e-08   32.0   0.6   4   4       0.7   1.3e+02    1.7   0.0    14    68   285   343   274   347 0.71 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 135254at50557        -            104   8.4e-08   31.2   1.2   1   4     0.085        16    4.6   0.0    17    69     3    61     1    84 0.68 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 135254at50557        -            104   8.4e-08   31.2   1.2   2   4      0.01       1.9    7.6   0.1    16    72    90   151    76   179 0.80 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 135254at50557        -            104   8.4e-08   31.2   1.2   3   4   0.00014     0.025   13.6   0.1    17   102   184   271   166   273 0.74 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 135254at50557        -            104   8.4e-08   31.2   1.2   4   4      0.66   1.2e+02    1.8   0.0    14    68   285   343   273   347 0.71 -
83433at50557_108931_0:0027fa|STRG.7379.2:1287-2126|+   -            280 135254at50557        -            104   1.5e-07   30.4   0.7   1   3    0.0031      0.57    9.3   0.1    16    73    11    73     5   100 0.81 -
83433at50557_108931_0:0027fa|STRG.7379.2:1287-2126|+   -            280 135254at50557        -            104   1.5e-07   30.4   0.7   2   3   7.5e-05     0.014   14.5   0.0    16   102   104   192    87   197 0.75 -
83433at50557_108931_0:0027fa|STRG.7379.2:1287-2126|+   -            280 135254at50557        -            104   1.5e-07   30.4   0.7   3   3      0.13        24    4.1   0.0    14    77   206   273   194   279 0.76 -
117816at50557_29058_0:000b65|STRG.19865.10:520-993|+   -            158 135254at50557        -            104   3.6e-07   29.2   0.1   1   2   7.9e-05     0.015   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.19865.10:520-993|+   -            158 135254at50557        -            104   3.6e-07   29.2   0.1   2   2   0.00019     0.035   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.19865.1:1542-2015|+  -            158 135254at50557        -            104   3.6e-07   29.2   0.1   1   2   7.9e-05     0.015   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.19865.1:1542-2015|+  -            158 135254at50557        -            104   3.6e-07   29.2   0.1   2   2   0.00019     0.035   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.19865.2:1666-2139|+  -            158 135254at50557        -            104   3.6e-07   29.2   0.1   1   2   7.9e-05     0.015   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.19865.2:1666-2139|+  -            158 135254at50557        -            104   3.6e-07   29.2   0.1   2   2   0.00019     0.035   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.19865.4:1531-2004|+  -            158 135254at50557        -            104   3.6e-07   29.2   0.1   1   2   7.9e-05     0.015   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.19865.4:1531-2004|+  -            158 135254at50557        -            104   3.6e-07   29.2   0.1   2   2   0.00019     0.035   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.19865.5:395-868|+    -            158 135254at50557        -            104   3.6e-07   29.2   0.1   1   2   7.9e-05     0.015   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.19865.5:395-868|+    -            158 135254at50557        -            104   3.6e-07   29.2   0.1   2   2   0.00019     0.035   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.19865.6:875-1348|+   -            158 135254at50557        -            104   3.6e-07   29.2   0.1   1   2   7.9e-05     0.015   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.19865.6:875-1348|+   -            158 135254at50557        -            104   3.6e-07   29.2   0.1   2   2   0.00019     0.035   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.19865.7:347-820|+    -            158 135254at50557        -            104   3.6e-07   29.2   0.1   1   2   7.9e-05     0.015   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.19865.7:347-820|+    -            158 135254at50557        -            104   3.6e-07   29.2   0.1   2   2   0.00019     0.035   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.19865.8:520-993|+    -            158 135254at50557        -            104   3.6e-07   29.2   0.1   1   2   7.9e-05     0.015   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.19865.8:520-993|+    -            158 135254at50557        -            104   3.6e-07   29.2   0.1   2   2   0.00019     0.035   13.2   0.0    15    71    81   143    72   145 0.78 -
83433at50557_166361_0:0030d8|STRG.19865.9:529-1089|+   -            187 135254at50557        -            104   8.5e-07   28.0   0.1   1   2   0.00012     0.022   13.8   0.1    26    84     6    67     1    78 0.77 -
83433at50557_166361_0:0030d8|STRG.19865.9:529-1089|+   -            187 135254at50557        -            104   8.5e-07   28.0   0.1   2   2   0.00028     0.051   12.6   0.0    15    71    78   140    69   142 0.78 -
101501at50557_34720_0:0002e2|STRG.1408.3:373-2223|+    -            617 135254at50557        -            104   3.9e-06   25.9   1.6   1   3         5   9.2e+02   -1.0   0.0    11    65    44   102    31   112 0.69 -
101501at50557_34720_0:0002e2|STRG.1408.3:373-2223|+    -            617 135254at50557        -            104   3.9e-06   25.9   1.6   2   3   4.2e-05    0.0078   15.3   0.1    15   100   191   281   176   285 0.81 -
101501at50557_34720_0:0002e2|STRG.1408.3:373-2223|+    -            617 135254at50557        -            104   3.9e-06   25.9   1.6   3   3    0.0076       1.4    8.0   0.0    10    66   383   447   375   477 0.69 -
117816at50557_7200_0:0014c2|STRG.19231.4:812-1744|+    -            311 135254at50557        -            104   4.2e-06   25.7   0.0   1   2    0.0053      0.99    8.5   0.0    28    86    10    68     4    78 0.86 -
117816at50557_7200_0:0014c2|STRG.19231.4:812-1744|+    -            311 135254at50557        -            104   4.2e-06   25.7   0.0   2   2   8.1e-05     0.015   14.4   0.0    28    83   245   303   220   310 0.78 -
108346at50557_113334_0:0032e8|STRG.6926.2:13-1428|+    -            434 135254at50557        -            104   0.00011   21.2   0.1   1   2       6.3   1.2e+03   -1.4   0.0    63    85    50    72    18    88 0.76 -
108346at50557_113334_0:0032e8|STRG.6926.2:13-1428|+    -            434 135254at50557        -            104   0.00011   21.2   0.1   2   2   3.1e-06   0.00056   18.9   0.1     9    82   357   431   353   434 0.87 -
101501at50557_34720_0:0002e2|STRG.1408.2:11-2182|+     -            724 135254at50557        -            104   0.00013   21.0   5.5   1   2   5.4e-05    0.0099   14.9   0.1    15   100   134   224   119   228 0.81 -
101501at50557_34720_0:0002e2|STRG.1408.2:11-2182|+     -            724 135254at50557        -            104   0.00013   21.0   5.5   2   2    0.0095       1.8    7.7   0.0    10    66   326   390   318   420 0.69 -
129956at50557_13686_0:0011f5|STRG.15542.1:763-990|+    -             76 135254at50557        -            104   0.00015   20.8   0.0   1   1   8.6e-07   0.00016   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_13686_0:0011f5|STRG.15542.2:650-877|+    -             76 135254at50557        -            104   0.00015   20.8   0.0   1   1   8.6e-07   0.00016   20.7   0.0    27    78    18    69     1    73 0.72 -
