#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35897at50557_456900_0:001f92|STRG.4764.1:146-1321|+   -            392 35897at50557         -            554  2.1e-142  474.1   8.8   1   1  3.8e-145  3.1e-142  473.6   8.8   212   554     3   386     1   386 0.89 -
35897at50557_136037_0:00227d|STRG.14724.1:739-2409|+  -            557 35897at50557         -            554   3.7e-15   54.1  16.6   1   5   1.4e-05     0.011   12.9   0.3   281   346    25    94     1    99 0.70 -
35897at50557_136037_0:00227d|STRG.14724.1:739-2409|+  -            557 35897at50557         -            554   3.7e-15   54.1  16.6   2   5   1.9e-06    0.0015   15.7   0.5   250   359   118   235   113   242 0.77 -
35897at50557_136037_0:00227d|STRG.14724.1:739-2409|+  -            557 35897at50557         -            554   3.7e-15   54.1  16.6   3   5   0.00046      0.37    7.9   0.8   291   343   242   298   237   304 0.84 -
35897at50557_136037_0:00227d|STRG.14724.1:739-2409|+  -            557 35897at50557         -            554   3.7e-15   54.1  16.6   4   5   5.3e-05     0.043   11.0   0.0   246   308   326   390   319   404 0.74 -
35897at50557_136037_0:00227d|STRG.14724.1:739-2409|+  -            557 35897at50557         -            554   3.7e-15   54.1  16.6   5   5     6e-06    0.0048   14.1   0.1   272   346   421   500   392   520 0.82 -
35897at50557_136037_0:00227d|STRG.14724.2:739-2235|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   1   5   1.1e-05    0.0087   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.14724.2:739-2235|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   2   5   1.5e-06    0.0013   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.14724.2:739-2235|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   3   5   0.00043      0.35    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.14724.2:739-2235|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   4   5   5.1e-05     0.041   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.14724.2:739-2235|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   5   5   1.6e-05     0.013   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_136037_0:00227d|STRG.14724.3:739-2235|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   1   5   1.1e-05    0.0087   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.14724.3:739-2235|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   2   5   1.5e-06    0.0013   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.14724.3:739-2235|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   3   5   0.00043      0.35    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.14724.3:739-2235|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   4   5   5.1e-05     0.041   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.14724.3:739-2235|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   5   5   1.6e-05     0.013   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_136037_0:00227d|STRG.14724.4:973-2469|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   1   5   1.1e-05    0.0087   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.14724.4:973-2469|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   2   5   1.5e-06    0.0013   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.14724.4:973-2469|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   3   5   0.00043      0.35    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.14724.4:973-2469|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   4   5   5.1e-05     0.041   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.14724.4:973-2469|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   5   5   1.6e-05     0.013   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_136037_0:00227d|STRG.14724.5:1392-2888|+ -            499 35897at50557         -            554   9.5e-15   52.7  17.2   1   5   1.1e-05    0.0087   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.14724.5:1392-2888|+ -            499 35897at50557         -            554   9.5e-15   52.7  17.2   2   5   1.5e-06    0.0013   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.14724.5:1392-2888|+ -            499 35897at50557         -            554   9.5e-15   52.7  17.2   3   5   0.00043      0.35    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.14724.5:1392-2888|+ -            499 35897at50557         -            554   9.5e-15   52.7  17.2   4   5   5.1e-05     0.041   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.14724.5:1392-2888|+ -            499 35897at50557         -            554   9.5e-15   52.7  17.2   5   5   1.6e-05     0.013   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_136037_0:00227d|STRG.14724.6:483-1979|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   1   5   1.1e-05    0.0087   13.2   0.4   281   346    25    94     1   105 0.69 -
