#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.14406.1:0-1172|+    -            391 75144at50557         -            307  5.9e-148  490.7   1.1   1   1  8.2e-149  2.8e-146  485.2   1.1     1   307     7   381     7   381 0.87 -
75144at50557_28612_0:003734|STRG.4222.1:111-1238|+   -            376 75144at50557         -            307   7.5e-61  204.6   0.0   1   1   2.2e-61   7.3e-59  198.1   0.0     1   307    10   367    10   367 0.81 -
75144at50557_28612_0:003734|STRG.4222.2:0-1127|+     -            376 75144at50557         -            307   7.5e-61  204.6   0.0   1   1   2.2e-61   7.3e-59  198.1   0.0     1   307    10   367    10   367 0.81 -
75144at50557_28612_0:003734|STRG.3394.1:171-1298|+   -            376 75144at50557         -            307   1.1e-60  204.1   0.0   1   2   6.7e-56   2.3e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.3394.1:171-1298|+   -            376 75144at50557         -            307   1.1e-60  204.1   0.0   2   2     1e-07   3.5e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.3394.2:198-1325|+   -            376 75144at50557         -            307   1.1e-60  204.1   0.0   1   2   6.7e-56   2.3e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.3394.2:198-1325|+   -            376 75144at50557         -            307   1.1e-60  204.1   0.0   2   2     1e-07   3.5e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.3394.3:0-1127|+     -            376 75144at50557         -            307   1.1e-60  204.1   0.0   1   2   6.7e-56   2.3e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.3394.3:0-1127|+     -            376 75144at50557         -            307   1.1e-60  204.1   0.0   2   2     1e-07   3.5e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.4217.1:73-1200|+    -            376 75144at50557         -            307   4.9e-60  202.0   0.0   1   1   1.1e-60   3.6e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
75144at50557_28612_0:003734|STRG.4217.2:0-1127|+     -            376 75144at50557         -            307   4.9e-60  202.0   0.0   1   1   1.1e-60   3.6e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
