#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
60092at50557_103372_0:00284b|STRG.22910.1:842-2152|+    -            437 60092at50557         -            372    7e-202  668.9   0.0   1   1  1.7e-203  9.9e-202  668.4   0.0     7   371    32   434    24   435 0.94 -
60092at50557_7070_0:001992|STRG.4327.1:139-1389|+       -            382 60092at50557         -            372   2.2e-70  236.1   0.1   1   1   9.2e-72   5.2e-70  234.9   0.1     2   352    19   382    18   382 0.84 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   1  11   0.00011    0.0061   14.2   0.0     7    70    83   147    77   151 0.90 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   2  11   3.3e-08   1.9e-06   25.8   0.0     9    70   152   213   146   218 0.94 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   3  11     0.094       5.3    4.5   0.0    15    65   225   275   218   282 0.85 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   4  11   0.00013    0.0076   13.9   0.0    18    83   294   359   284   394 0.81 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   5  11     7e-05     0.004   14.8   0.0     6    80   412   486   406   491 0.90 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   6  11     0.034       1.9    6.0   0.0    14    70   487   543   480   548 0.85 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   7  11   2.8e-05    0.0016   16.2   0.0    18    71   552   605   546   609 0.91 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   8  11   1.2e-06   6.8e-05   20.6   0.0    12    71   613   672   608   681 0.91 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   9  11      0.75        43    1.6   0.0    14    44   683   713   675   717 0.86 -
