#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111718at50557_520822_0:002278|STRG.9785.3:209-1767|+ -            395 111718at50557        -            236   6.3e-73  243.9   1.9   1   1   2.3e-73   5.6e-71  237.5   1.9     2   166    13   205    12   209 0.86 -
36185at50557_56086_0:003183|STRG.1019.1:499-1443|+   -            315 111718at50557        -            236   6.6e-23   80.2   2.9   1   2   1.2e-07   2.9e-05   22.4   0.1    21    70     2    56     1    98 0.78 -
36185at50557_56086_0:003183|STRG.1019.1:499-1443|+   -            315 111718at50557        -            236   6.6e-23   80.2   2.9   2   2   1.3e-18   3.1e-16   58.4   0.5    90   173   112   189    96   248 0.70 -
36185at50557_34720_0:000ec6|STRG.6189.1:59-2239|+    -            727 111718at50557        -            236     4e-17   61.3   0.1   1   1   6.7e-19   1.6e-16   59.3   0.1    20   178   215   386   204   421 0.68 -
36185at50557_34720_0:000ec6|STRG.6189.2:215-2395|+   -            727 111718at50557        -            236     4e-17   61.3   0.1   1   1   6.7e-19   1.6e-16   59.3   0.1    20   178   215   386   204   421 0.68 -
36185at50557_34720_0:000ec6|STRG.6189.3:203-2383|+   -            727 111718at50557        -            236     4e-17   61.3   0.1   1   1   6.7e-19   1.6e-16   59.3   0.1    20   178   215   386   204   421 0.68 -
36185at50557_34720_0:000ec6|STRG.6189.4:101-2281|+   -            727 111718at50557        -            236     4e-17   61.3   0.1   1   1   6.7e-19   1.6e-16   59.3   0.1    20   178   215   386   204   421 0.68 -
36185at50557_77166_0:001a90|STRG.5107.1:1450-2493|+  -            348 111718at50557        -            236   3.4e-12   45.2   0.0   1   2    0.0022      0.54    8.5   0.0    21    72     2    58     1    93 0.75 -
36185at50557_77166_0:001a90|STRG.5107.1:1450-2493|+  -            348 111718at50557        -            236   3.4e-12   45.2   0.0   2   2   1.9e-11   4.7e-09   34.9   0.0   102   169   165   232   118   252 0.81 -
36185at50557_77166_0:001a90|STRG.5107.2:1103-2146|+  -            348 111718at50557        -            236   3.4e-12   45.2   0.0   1   2    0.0022      0.54    8.5   0.0    21    72     2    58     1    93 0.75 -
36185at50557_77166_0:001a90|STRG.5107.2:1103-2146|+  -            348 111718at50557        -            236   3.4e-12   45.2   0.0   2   2   1.9e-11   4.7e-09   34.9   0.0   102   169   165   232   118   252 0.81 -
36185at50557_77166_0:001a90|STRG.5107.3:1352-2395|+  -            348 111718at50557        -            236   3.4e-12   45.2   0.0   1   2    0.0022      0.54    8.5   0.0    21    72     2    58     1    93 0.75 -
36185at50557_77166_0:001a90|STRG.5107.3:1352-2395|+  -            348 111718at50557        -            236   3.4e-12   45.2   0.0   2   2   1.9e-11   4.7e-09   34.9   0.0   102   169   165   232   118   252 0.81 -
36185at50557_77166_0:001a90|STRG.5107.4:763-1806|+   -            348 111718at50557        -            236   3.4e-12   45.2   0.0   1   2    0.0022      0.54    8.5   0.0    21    72     2    58     1    93 0.75 -
36185at50557_77166_0:001a90|STRG.5107.4:763-1806|+   -            348 111718at50557        -            236   3.4e-12   45.2   0.0   2   2   1.9e-11   4.7e-09   34.9   0.0   102   169   165   232   118   252 0.81 -
36185at50557_77166_0:001a90|STRG.5107.5:1029-2072|+  -            348 111718at50557        -            236   3.4e-12   45.2   0.0   1   2    0.0022      0.54    8.5   0.0    21    72     2    58     1    93 0.75 -
36185at50557_77166_0:001a90|STRG.5107.5:1029-2072|+  -            348 111718at50557        -            236   3.4e-12   45.2   0.0   2   2   1.9e-11   4.7e-09   34.9   0.0   102   169   165   232   118   252 0.81 -
35377at50557_568069_0:0005b1|STRG.1938.1:98-2017|+   -            640 111718at50557        -            236   5.2e-11   41.3   0.1   1   2    0.0032      0.77    8.0   0.0    21    68   161   214   158   228 0.75 -
35377at50557_568069_0:0005b1|STRG.1938.1:98-2017|+   -            640 111718at50557        -            236   5.2e-11   41.3   0.1   2   2   4.9e-10   1.2e-07   30.3   0.0   110   170   365   423   345   464 0.81 -
89456at50557_30025_0:000362|STRG.9108.1:655-1173|+   -            173 111718at50557        -            236     1e-10   40.3   0.5   1   1     8e-13   1.9e-10   39.4   0.4   109   209     8   112     4   141 0.73 -
89456at50557_30025_0:000362|STRG.9108.2:826-1344|+   -            173 111718at50557        -            236     1e-10   40.3   0.5   1   1     8e-13   1.9e-10   39.4   0.4   109   209     8   112     4   141 0.73 -
