#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48331at50557_103372_0:001fed|STRG.4212.1:425-1855|+ -            477 48331at50557         -            377  6.3e-189  626.8   1.0   1   1  1.3e-188  6.4e-186  616.9   1.0     1   377    40   474    40   474 0.90 -
69102at50557_103372_0:001d18|STRG.1352.2:62-1975|+  -            638 48331at50557         -            377   5.2e-19   67.5   0.0   1   2    0.0048       2.5    6.0   0.0    47    73    15    41    10    75 0.92 -
69102at50557_103372_0:001d18|STRG.1352.2:62-1975|+  -            638 48331at50557         -            377   5.2e-19   67.5   0.0   2   2   1.2e-18   6.2e-16   57.4   0.0   131   283   409   545   389   554 0.86 -
69102at50557_103372_0:001d18|STRG.1352.1:2-1912|+   -            637 48331at50557         -            377   5.2e-19   67.5   0.0   1   2     0.005       2.6    6.0   0.0    47    73    14    40    10    74 0.92 -
69102at50557_103372_0:001d18|STRG.1352.1:2-1912|+   -            637 48331at50557         -            377   5.2e-19   67.5   0.0   2   2   1.2e-18   6.2e-16   57.4   0.0   131   283   408   544   388   553 0.86 -
69102at50557_41427_0:0029ce|STRG.6146.1:245-1096|+  -            284 48331at50557         -            377   3.9e-16   58.1   0.0   1   2     0.023        12    3.8   0.1    48    73    55    80    48    84 0.86 -
69102at50557_41427_0:0029ce|STRG.6146.1:245-1096|+  -            284 48331at50557         -            377   3.9e-16   58.1   0.0   2   2   8.1e-16   4.2e-13   48.1   0.0   105   279    90   247    80   261 0.82 -
69102at50557_41427_0:0029ce|STRG.6146.2:477-1328|+  -            284 48331at50557         -            377   3.9e-16   58.1   0.0   1   2     0.023        12    3.8   0.1    48    73    55    80    48    84 0.86 -
69102at50557_41427_0:0029ce|STRG.6146.2:477-1328|+  -            284 48331at50557         -            377   3.9e-16   58.1   0.0   2   2   8.1e-16   4.2e-13   48.1   0.0   105   279    90   247    80   261 0.82 -
69102at50557_41427_0:0029ce|STRG.6146.3:476-1327|+  -            284 48331at50557         -            377   3.9e-16   58.1   0.0   1   2     0.023        12    3.8   0.1    48    73    55    80    48    84 0.86 -
69102at50557_41427_0:0029ce|STRG.6146.3:476-1327|+  -            284 48331at50557         -            377   3.9e-16   58.1   0.0   2   2   8.1e-16   4.2e-13   48.1   0.0   105   279    90   247    80   261 0.82 -
69102at50557_41427_0:0029ce|STRG.4878.1:191-982|+   -            264 48331at50557         -            377   1.2e-13   49.8   0.0   1   2   0.00015     0.078   11.0   0.0    45    72    32    59    21    89 0.86 -
69102at50557_41427_0:0029ce|STRG.4878.1:191-982|+   -            264 48331at50557         -            377   1.2e-13   49.8   0.0   2   2   1.9e-11   9.9e-09   33.7   0.0   132   279   105   263    97   264 0.83 -
69102at50557_41427_0:0029ce|STRG.4878.2:191-982|+   -            264 48331at50557         -            377   1.2e-13   49.8   0.0   1   2   0.00015     0.078   11.0   0.0    45    72    32    59    21    89 0.86 -
69102at50557_41427_0:0029ce|STRG.4878.2:191-982|+   -            264 48331at50557         -            377   1.2e-13   49.8   0.0   2   2   1.9e-11   9.9e-09   33.7   0.0   132   279   105   263    97   264 0.83 -
69102at50557_62324_0:00228b|STRG.15248.1:827-1567|+ -            247 48331at50557         -            377   5.2e-13   47.8   0.2   1   3   0.00083      0.43    8.6   0.2    48    75    28    55    20    58 0.87 -
69102at50557_62324_0:00228b|STRG.15248.1:827-1567|+ -            247 48331at50557         -            377   5.2e-13   47.8   0.2   2   3   4.2e-06    0.0022   16.1   0.0   107   215    64   170    58   170 0.75 -
69102at50557_62324_0:00228b|STRG.15248.1:827-1567|+ -            247 48331at50557         -            377   5.2e-13   47.8   0.2   3   3   1.9e-07    0.0001   20.5   0.0   238   273   170   205   162   233 0.88 -
69102at50557_69004_0:0020c7|STRG.9625.1:269-958|+   -            230 48331at50557         -            377   1.3e-12   46.5   0.4   1   2   2.6e-05     0.013   13.5   0.2    47    73    53    79    36    82 0.90 -
69102at50557_69004_0:0020c7|STRG.9625.1:269-958|+   -            230 48331at50557         -            377   1.3e-12   46.5   0.4   2   2   7.6e-10   3.9e-07   28.4   0.0   107   221    91   199    82   230 0.77 -
69102at50557_69004_0:0020c7|STRG.9625.2:311-1000|+  -            230 48331at50557         -            377   1.3e-12   46.5   0.4   1   2   2.6e-05     0.013   13.5   0.2    47    73    53    79    36    82 0.90 -
69102at50557_69004_0:0020c7|STRG.9625.2:311-1000|+  -            230 48331at50557         -            377   1.3e-12   46.5   0.4   2   2   7.6e-10   3.9e-07   28.4   0.0   107   221    91   199    82   230 0.77 -
48331at50557_28612_0:003af4|STRG.4878.3:201-863|+   -            221 48331at50557         -            377   2.3e-10   39.0   0.0   1   1   6.7e-12   3.4e-09   35.2   0.0   133   281     1   160     1   195 0.80 -
69102at50557_7029_0:00259a|STRG.20879.1:889-1794|+  -            302 48331at50557         -            377   2.2e-08   32.6   0.0   1   1   6.6e-10   3.4e-07   28.6   0.0    32   270    28   279    13   292 0.71 -
69102at50557_7029_0:00259a|STRG.20879.3:600-1505|+  -            302 48331at50557         -            377   2.2e-08   32.6   0.0   1   1   6.6e-10   3.4e-07   28.6   0.0    32   270    28   279    13   292 0.71 -
69102at50557_7029_0:00259a|STRG.20879.4:394-1299|+  -            302 48331at50557         -            377   2.2e-08   32.6   0.0   1   1   6.6e-10   3.4e-07   28.6   0.0    32   270    28   279    13   292 0.71 -
