#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_103372_0:000a01|STRG.9979.1:0-1832|+      -            611 27737at50557         -            506  7.2e-264  874.8  10.1   1   1  2.8e-265  2.6e-263  872.9  10.1     6   506    27   605    22   605 0.91 -
27737at50557_67767_0:00339d|STRG.13027.1:228-680|+     -            151 27737at50557         -            506     3e-42  143.7   0.3   1   1   3.6e-44   3.3e-42  143.5   0.3   376   506     2   145     1   145 0.93 -
120478at50557_103372_0:000c5c|STRG.7021.2:218-700|+    -            161 27737at50557         -            506   3.9e-42  143.3   0.0   1   1   4.9e-44   4.5e-42  143.1   0.0   374   487     3   119     1   138 0.94 -
27737at50557_67767_0:00339d|STRG.13027.2:313-750|+     -            146 27737at50557         -            506   1.2e-40  138.4   0.1   1   1   1.5e-42   1.3e-40  138.2   0.1   380   506     1   140     1   140 0.93 -
42193at50557_103372_0:0016db|STRG.14604.1:0-1565|+     -            522 27737at50557         -            506   4.3e-38  129.9   0.2   1   1   8.2e-40   7.6e-38  129.1   0.2   374   488   285   402   267   430 0.87 -
27737at50557_67767_0:00339d|STRG.16639.1:132-623|+     -            164 27737at50557         -            506   2.1e-36  124.3   0.2   1   1   2.6e-38   2.4e-36  124.2   0.2   366   497     8   149     5   164 0.86 -
27737at50557_67767_0:00339d|STRG.16639.2:46-501|+      -            152 27737at50557         -            506   6.5e-36  122.7   0.2   1   1   7.1e-38   6.5e-36  122.7   0.2   380   497    10   137     1   152 0.86 -
27737at50557_67767_0:00339d|STRG.8300.1:546-998|+      -            151 27737at50557         -            506   2.3e-35  120.9   0.2   1   1     3e-37   2.8e-35  120.6   0.2   380   496    16   142     6   147 0.88 -
27737at50557_67767_0:00339d|STRG.8300.2:243-695|+      -            151 27737at50557         -            506   2.3e-35  120.9   0.2   1   1     3e-37   2.8e-35  120.6   0.2   380   496    16   142     6   147 0.88 -
27737at50557_67767_0:00339d|STRG.8300.3:3-455|+        -            151 27737at50557         -            506   2.3e-35  120.9   0.2   1   1     3e-37   2.8e-35  120.6   0.2   380   496    16   142     6   147 0.88 -
120478at50557_103372_0:000c5c|STRG.7021.3:0-425|+      -            142 27737at50557         -            506   3.6e-35  120.3   0.0   1   1   4.3e-37     4e-35  120.1   0.0   392   487     2   100     1   122 0.93 -
42193at50557_123851_0:000a5d|STRG.4880.1:183-626|+     -            148 27737at50557         -            506   8.7e-33  112.4   0.2   1   1   1.1e-34     1e-32  112.2   0.2   381   496     2   127     1   132 0.87 -
27737at50557_121845_0:000a82|STRG.18021.1:18-512|+     -            165 27737at50557         -            506   2.4e-32  111.0   0.2   1   1   3.4e-34   3.1e-32  110.6   0.2   380   495    13   142     3   152 0.82 -
27737at50557_67767_0:00339d|STRG.11059.1:416-862|+     -            149 27737at50557         -            506   4.6e-32  110.0   0.1   1   1   5.7e-34   5.3e-32  109.8   0.1   370   487     5   128     1   143 0.87 -
27737at50557_67767_0:00339d|STRG.11059.2:416-862|+     -            149 27737at50557         -            506   4.6e-32  110.0   0.1   1   1   5.7e-34   5.3e-32  109.8   0.1   370   487     5   128     1   143 0.87 -
120478at50557_103372_0:000c5c|STRG.7021.1:89-496|+     -            136 27737at50557         -            506   9.2e-32  109.0   0.1   1   1   1.1e-33     1e-31  108.9   0.1   398   487     2    94     1   116 0.93 -
120478at50557_121845_0:00199d|STRG.6979.1:470-925|+    -            152 27737at50557         -            506   2.6e-27   94.4   0.1   1   1   3.2e-29   2.9e-27   94.2   0.1   378   487     1   122     1   138 0.85 -
92898at50557_62324_0:001787|STRG.17877.1:259-753|+     -            165 27737at50557         -            506   3.2e-26   90.8   0.0   1   1   3.9e-28   3.6e-26   90.6   0.0   374   506     3   156     1   156 0.82 -
42193at50557_123851_0:000a5d|STRG.5573.1:251-691|+     -            147 27737at50557         -            506   2.4e-22   78.0   0.2   1   1   2.9e-24   2.7e-22   77.8   0.2   381   491     1   129     1   144 0.81 -
42193at50557_197043_0:007f2e|STRG.3122.1:12-209|+      -             66 27737at50557         -            506   2.4e-21   74.7   0.0   1   1   2.8e-23   2.5e-21   74.6   0.0   378   443     1    66     1    66 0.98 -
42193at50557_7539_0:00337e|STRG.10714.1:5-304|+        -            100 27737at50557         -            506   2.6e-20   71.3   0.1   1   1   2.9e-22   2.7e-20   71.2   0.1   428   500     3    81     1    88 0.83 -
42193at50557_7539_0:00337e|STRG.18021.2:8-365|+        -             85 27737at50557         -            506   1.4e-15   55.7   0.0   1   1   1.6e-17   1.5e-15   55.6   0.0   431   495     1    67     1    77 0.87 -
42193at50557_7539_0:00337e|STRG.5573.2:387-680|+       -             98 27737at50557         -            506   9.1e-14   49.7   0.1   1   1   1.1e-15   9.7e-14   49.6   0.1   420   492     1    81     1    95 0.84 -
42193at50557_123851_0:000a5d|STRG.11614.1:424-888|+    -            155 27737at50557         -            506     1e-11   42.9   0.3   1   1   1.2e-13   1.1e-11   42.8   0.3   381   486     2   113     1   140 0.83 -
42193at50557_7539_0:00337e|STRG.3123.1:405-665|-       -             87 27737at50557         -            506   5.7e-09   33.9   0.0   1   1   6.2e-11   5.7e-09   33.9   0.0   447   488     7    48     1    66 0.82 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+     -            156 27737at50557         -            506   8.4e-08   30.0   0.0   1   3    0.0024      0.22    8.8   0.0   184   219     5    40     1    49 0.90 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+     -            156 27737at50557         -            506   8.4e-08   30.0   0.0   2   3      0.05       4.6    4.5   0.0    42    60    54    72    42    78 0.78 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+     -            156 27737at50557         -            506   8.4e-08   30.0   0.0   3   3   7.5e-05    0.0069   13.8   0.0   184   225    89   130    70   144 0.83 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 27737at50557         -            506   6.4e-07   27.1   2.3   1   4     0.012       1.1    6.5   0.1    46   105     3    66     2    86 0.77 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 27737at50557         -            506   6.4e-07   27.1   2.3   2   4    0.0065       0.6    7.4   0.1    44    99    41   100    33   109 0.69 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 27737at50557         -            506   6.4e-07   27.1   2.3   3   4   2.6e-05    0.0024   15.3   0.0    32    96   113   180   107   190 0.82 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 27737at50557         -            506   6.4e-07   27.1   2.3   4   4      0.46        42    1.3   0.0    38    59   198   219   187   225 0.79 -
