#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31374at50557_103372_0:0017b9|STRG.4407.1:91-2046|+    -            652 31374at50557         -            569  2.2e-289  959.7  17.0   1   1  1.3e-289  3.8e-288  955.5  17.0     1   569     4   647     4   647 0.93 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 31374at50557         -            569   3.1e-70  236.1  21.9   1   4   1.8e-26   5.3e-25   86.8   1.7   343   476     1   135     1   139 0.96 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 31374at50557         -            569   3.1e-70  236.1  21.9   2   4   2.7e-26     8e-25   86.2   2.1   341   466    41   167    35   180 0.92 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 31374at50557         -            569   3.1e-70  236.1  21.9   3   4   1.9e-08   5.5e-07   27.3   0.1   342   400   127   185   124   198 0.93 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 31374at50557         -            569   3.1e-70  236.1  21.9   4   4   3.1e-21   9.1e-20   69.5   0.6   361   459   207   305   201   305 0.97 -
31374at50557_133901_0:001035|STRG.10131.1:394-1938|+  -            515 31374at50557         -            569   1.3e-68  230.7  11.5   1   2   6.8e-12     2e-10   38.6   2.9    51   163     1   127     1   151 0.87 -
31374at50557_133901_0:001035|STRG.10131.1:394-1938|+  -            515 31374at50557         -            569   1.3e-68  230.7  11.5   2   2   3.5e-58     1e-56  191.4   2.0   254   531   168   466   164   466 0.84 -
31374at50557_133901_0:001035|STRG.10131.2:394-1938|+  -            515 31374at50557         -            569   1.3e-68  230.7  11.5   1   2   6.8e-12     2e-10   38.6   2.9    51   163     1   127     1   151 0.87 -
31374at50557_133901_0:001035|STRG.10131.2:394-1938|+  -            515 31374at50557         -            569   1.3e-68  230.7  11.5   2   2   3.5e-58     1e-56  191.4   2.0   254   531   168   466   164   466 0.84 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 31374at50557         -            569   2.1e-55  187.2  24.2   1   6   4.3e-13   1.3e-11   42.6   1.4   350   476     6   137     2   155 0.80 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 31374at50557         -            569   2.1e-55  187.2  24.2   2   6     0.061       1.8    5.8   0.0   345   375   132   162   130   170 0.84 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 31374at50557         -            569   2.1e-55  187.2  24.2   3   6   3.4e-14   9.9e-13   46.3   1.2   362   461   214   326   206   331 0.78 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 31374at50557         -            569   2.1e-55  187.2  24.2   4   6   2.2e-10   6.4e-09   33.7   0.0   340   420   372   464   354   473 0.79 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 31374at50557         -            569   2.1e-55  187.2  24.2   5   6   1.4e-15   4.3e-14   50.8   0.2   324   462   410   549   407   568 0.89 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 31374at50557         -            569   2.1e-55  187.2  24.2   6   6   2.8e-12   8.4e-11   39.9   1.3   286   416   593   713   570   713 0.76 -
33043at50557_103372_0:000263|STRG.17910.1:73-2469|+   -            799 31374at50557         -            569   2.4e-49  167.2  10.0   1   3   1.9e-19   5.5e-18   63.6   0.6   334   474    93   237    76   271 0.82 -
33043at50557_103372_0:000263|STRG.17910.1:73-2469|+   -            799 31374at50557         -            569   2.4e-49  167.2  10.0   2   3   7.7e-13   2.3e-11   41.7   0.1   337   459   373   511   352   518 0.78 -
33043at50557_103372_0:000263|STRG.17910.1:73-2469|+   -            799 31374at50557         -            569   2.4e-49  167.2  10.0   3   3   4.2e-20   1.2e-18   65.7   0.2   343   474   521   652   516   666 0.93 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 31374at50557         -            569   1.2e-47  161.6   6.4   1   3   8.4e-23   2.5e-21   74.6   1.5   344   475     3   133     1   138 0.96 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 31374at50557         -            569   1.2e-47  161.6   6.4   2   3   1.6e-19   4.6e-18   63.9   0.1   343   475   127   257   125   259 0.91 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 31374at50557         -            569   1.2e-47  161.6   6.4   3   3   7.6e-12   2.3e-10   38.5   0.0   330   419   196   285   187   286 0.95 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 31374at50557         -            569   1.2e-47  161.6   6.4   1   3   8.4e-23   2.5e-21   74.6   1.5   344   475     3   133     1   138 0.96 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 31374at50557         -            569   1.2e-47  161.6   6.4   2   3   1.6e-19   4.6e-18   63.9   0.1   343   475   127   257   125   259 0.91 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 31374at50557         -            569   1.2e-47  161.6   6.4   3   3   7.6e-12   2.3e-10   38.5   0.0   330   419   196   285   187   286 0.95 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 31374at50557         -            569   1.8e-46  157.7   8.4   1   4   4.1e-13   1.2e-11   42.7   1.0   340   435   114   210   107   220 0.71 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 31374at50557         -            569   1.8e-46  157.7   8.4   2   4   1.6e-14   4.7e-13   47.3   0.4   399   538   221   360   203   364 0.88 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 31374at50557         -            569   1.8e-46  157.7   8.4   3   4   1.8e-07   5.3e-06   24.0   0.0   362   419   341   399   335   404 0.77 -
40115at50557_103372_0:0021d6|STRG.11081.1:216-1661|+  -            482 31374at50557         -            569   1.8e-46  157.7   8.4   4   4   1.7e-15     5e-14   50.5   0.1   342   417   406   481   398   482 0.96 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 31374at50557         -            569   2.3e-45  154.0   1.1   1   2   8.3e-21   2.5e-19   68.1   0.2   338   476    16   155     3   157 0.87 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 31374at50557         -            569   2.3e-45  154.0   1.1   2   2   6.7e-28     2e-26   91.5   0.3   342   485   147   295   144   297 0.91 -
49370at50557_456900_0:00265d|STRG.20700.1:113-1681|+  -            523 31374at50557         -            569   6.9e-44  149.1   4.0   1   3   1.5e-07   4.4e-06   24.3   0.0   376   446   208   281   188   293 0.78 -
49370at50557_456900_0:00265d|STRG.20700.1:113-1681|+  -            523 31374at50557         -            569   6.9e-44  149.1   4.0   2   3   9.6e-16   2.8e-14   51.3   0.1   361   476   294   411   289   412 0.93 -
49370at50557_456900_0:00265d|STRG.20700.1:113-1681|+  -            523 31374at50557         -            569   6.9e-44  149.1   4.0   3   3   2.9e-24   8.8e-23   79.5   0.3   343   458   404   520   402   522 0.97 -
49370at50557_456900_0:00265d|STRG.20700.2:142-1710|+  -            523 31374at50557         -            569   6.9e-44  149.1   4.0   1   3   1.5e-07   4.4e-06   24.3   0.0   376   446   208   281   188   293 0.78 -
49370at50557_456900_0:00265d|STRG.20700.2:142-1710|+  -            523 31374at50557         -            569   6.9e-44  149.1   4.0   2   3   9.6e-16   2.8e-14   51.3   0.1   361   476   294   411   289   412 0.93 -
49370at50557_456900_0:00265d|STRG.20700.2:142-1710|+  -            523 31374at50557         -            569   6.9e-44  149.1   4.0   3   3   2.9e-24   8.8e-23   79.5   0.3   343   458   404   520   402   522 0.97 -
49370at50557_456900_0:00265d|STRG.20700.3:215-1783|+  -            523 31374at50557         -            569   6.9e-44  149.1   4.0   1   3   1.5e-07   4.4e-06   24.3   0.0   376   446   208   281   188   293 0.78 -
49370at50557_456900_0:00265d|STRG.20700.3:215-1783|+  -            523 31374at50557         -            569   6.9e-44  149.1   4.0   2   3   9.6e-16   2.8e-14   51.3   0.1   361   476   294   411   289   412 0.93 -
49370at50557_456900_0:00265d|STRG.20700.3:215-1783|+  -            523 31374at50557         -            569   6.9e-44  149.1   4.0   3   3   2.9e-24   8.8e-23   79.5   0.3   343   458   404   520   402   522 0.97 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 31374at50557         -            569   2.3e-42  144.1   5.6   1   2   8.7e-13   2.6e-11   41.6   0.3   387   472     3    88     1    88 0.98 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 31374at50557         -            569   2.3e-42  144.1   5.6   2   2   3.3e-32   9.8e-31  105.7   0.9   343   531    85   290    82   290 0.90 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 31374at50557         -            569   5.5e-39  132.9  11.6   1   3   9.7e-09   2.9e-07   28.2   0.2   339   420     4    98     2   104 0.78 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 31374at50557         -            569   5.5e-39  132.9  11.6   2   3   2.2e-18   6.7e-17   60.0   1.6   343   475   104   235    98   241 0.94 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 31374at50557         -            569   5.5e-39  132.9  11.6   3   3   6.2e-15   1.8e-13   48.7   0.2   356   429   250   324   247   334 0.90 -
14512at50557_103372_0:0005b9|STRG.3349.1:363-2942|+   -            860 31374at50557         -            569   1.4e-38  131.6   0.0   1   3   1.2e-18   3.5e-17   60.9   0.0   341   460    12   132     5   136 0.92 -
