#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76908at50557_144034_0:001185|STRG.4763.1:196-7793|+  -            337 76908at50557         -            265  1.4e-140  465.6  10.9   1   1  5.4e-142  3.8e-139  460.9  10.9     1   258     8   305     8   311 0.95 -
76908at50557_103372_0:001521|STRG.4763.2:341-904|+   -            188 76908at50557         -            265   4.5e-71  237.8  15.8   1   1   3.4e-72   2.3e-69  232.2  15.8   116   258     1   178     1   182 0.93 -
76908at50557_76194_0:002112|STRG.4763.3:196-573|+    -            126 76908at50557         -            265   9.9e-62  207.2   0.0   1   1   1.6e-64   1.1e-61  207.0   0.0     1   116     8   126     8   126 0.97 -
76908at50557_7176_0:001c06|STRG.1442.1:117-626|+     -            170 76908at50557         -            265   1.9e-28   98.0   0.7   1   1   2.9e-31     2e-28   98.0   0.7     8   178     2   169     1   170 0.82 -
76908at50557_7176_0:001c06|STRG.1442.2:21-530|+      -            170 76908at50557         -            265   1.9e-28   98.0   0.7   1   1   2.9e-31     2e-28   98.0   0.7     8   178     2   169     1   170 0.82 -
87181at50557_103372_0:000c65|STRG.11309.3:560-1975|+ -            472 76908at50557         -            265   8.4e-22   76.3   0.0   1   1   1.6e-24   1.1e-21   75.9   0.0    58   189    52   179    16   198 0.80 -
87181at50557_103372_0:000c65|STRG.11309.1:36-1573|+  -            501 76908at50557         -            265   9.4e-22   76.1   0.0   1   1   1.8e-24   1.2e-21   75.7   0.0    58   189    81   208    45   227 0.80 -
87181at50557_103372_0:000c65|STRG.11309.2:220-1997|+ -            570 76908at50557         -            265   1.1e-21   75.9   0.0   1   1   2.5e-24   1.7e-21   75.2   0.0    58   189   150   277   114   295 0.80 -
6416at50557_113334_0:00380e|STRG.17007.1:339-1427|+  -            363 76908at50557         -            265    0.0059   14.5   6.4   1   4     0.039        27    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.17007.1:339-1427|+  -            363 76908at50557         -            265    0.0059   14.5   6.4   2   4   0.00034      0.24    9.2   0.0    81   126    92   137    87   153 0.86 -
6416at50557_113334_0:00380e|STRG.17007.1:339-1427|+  -            363 76908at50557         -            265    0.0059   14.5   6.4   3   4       1.2   8.6e+02   -2.4   0.1    81   105   196   220   192   225 0.86 -
6416at50557_113334_0:00380e|STRG.17007.1:339-1427|+  -            363 76908at50557         -            265    0.0059   14.5   6.4   4   4    0.0099       6.9    4.4   0.1    81   125   313   357   294   363 0.80 -
6416at50557_113334_0:00380e|STRG.3575.1:571-1401|+   -            277 76908at50557         -            265     0.024   12.5   3.8   1   3   0.00039      0.27    9.0   0.1    77   116    64   103     3   118 0.70 -
6416at50557_113334_0:00380e|STRG.3575.1:571-1401|+   -            277 76908at50557         -            265     0.024   12.5   3.8   2   3      0.15     1e+02    0.6   0.0   203   228   119   144   112   153 0.80 -
6416at50557_113334_0:00380e|STRG.3575.1:571-1401|+   -            277 76908at50557         -            265     0.024   12.5   3.8   3   3     0.033        23    2.7   0.6    25   107   163   246   140   260 0.80 -
6416at50557_7536_0:0038e0|STRG.3575.2:848-1483|+     -            212 76908at50557         -            265     0.026   12.4   0.5   1   2   0.00042      0.29    8.9   0.0    81   116    46    81    15    95 0.75 -
6416at50557_7536_0:0038e0|STRG.3575.2:848-1483|+     -            212 76908at50557         -            265     0.026   12.4   0.5   2   2      0.11        74    1.0   0.0   203   228    97   122    91   131 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76908at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/76908at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76908at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:33 2024
# [ok]
