#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
61705at50557_103372_0:00198f|STRG.6558.1:224-1487|+   -            402 61705at50557         -            355  9.5e-173  573.1   7.7   1   1  2.6e-175  1.4e-172  572.5   7.7     1   355     1   397     1   397 0.93 -
61705at50557_74869_0:001302|STRG.6558.1:1092-1478|+   -            129 61705at50557         -            355   9.6e-61  204.6   6.9   1   1   2.1e-63   1.1e-60  204.5   6.9   238   355     2   127     1   127 0.95 -
61705at50557_7536_0:003065|STRG.990.1:2274-2732|+     -            153 61705at50557         -            355   3.1e-08   31.9   0.7   1   1   6.5e-11   3.4e-08   31.8   0.7   265   352    55   153    14   153 0.68 -
61705at50557_7536_0:003065|STRG.990.2:1786-2244|+     -            153 61705at50557         -            355   3.1e-08   31.9   0.7   1   1   6.5e-11   3.4e-08   31.8   0.7   265   352    55   153    14   153 0.68 -
61705at50557_7536_0:003065|STRG.990.3:1852-2310|+     -            153 61705at50557         -            355   3.1e-08   31.9   0.7   1   1   6.5e-11   3.4e-08   31.8   0.7   265   352    55   153    14   153 0.68 -
67311at50557_13686_0:002311|STRG.1698.1:2-2569|+      -            856 61705at50557         -            355   6.6e-05   21.0   0.8   1   2       5.5   2.9e+03   -4.1   0.0   190   242   128   180   113   193 0.76 -
67311at50557_13686_0:002311|STRG.1698.1:2-2569|+      -            856 61705at50557         -            355   6.6e-05   21.0   0.8   2   2   1.9e-07   9.9e-05   20.4   0.1   262   354   750   848   741   850 0.80 -
67311at50557_13686_0:002311|STRG.1698.7:405-2984|+    -            860 61705at50557         -            355   6.6e-05   21.0   0.8   1   2       5.5   2.9e+03   -4.2   0.0   190   242   132   184   117   197 0.76 -
67311at50557_13686_0:002311|STRG.1698.7:405-2984|+    -            860 61705at50557         -            355   6.6e-05   21.0   0.8   2   2   1.9e-07   9.9e-05   20.4   0.1   262   354   754   852   745   854 0.80 -
67311at50557_13686_0:002311|STRG.1698.3:268-2850|+    -            861 61705at50557         -            355   6.6e-05   21.0   0.8   1   2       5.5   2.9e+03   -4.2   0.0   190   242   129   181   114   194 0.76 -
67311at50557_13686_0:002311|STRG.1698.3:268-2850|+    -            861 61705at50557         -            355   6.6e-05   21.0   0.8   2   2   1.9e-07   9.9e-05   20.4   0.1   262   354   755   853   746   855 0.80 -
67311at50557_13686_0:002311|STRG.1698.5:72-2654|+     -            861 61705at50557         -            355   6.6e-05   21.0   0.8   1   2       5.5   2.9e+03   -4.2   0.0   190   242   129   181   114   194 0.76 -
67311at50557_13686_0:002311|STRG.1698.5:72-2654|+     -            861 61705at50557         -            355   6.6e-05   21.0   0.8   2   2   1.9e-07   9.9e-05   20.4   0.1   262   354   755   853   746   855 0.80 -
67311at50557_13686_0:002311|STRG.1698.2:0-2591|+      -            864 61705at50557         -            355   7.9e-05   20.7   1.0   1   2       5.7     3e+03   -4.2   0.1   190   242   132   184   118   197 0.76 -
67311at50557_13686_0:002311|STRG.1698.2:0-2591|+      -            864 61705at50557         -            355   7.9e-05   20.7   1.0   2   2   1.9e-07    0.0001   20.4   0.1   262   354   758   856   749   858 0.80 -
67311at50557_13686_0:002311|STRG.1698.4:402-2993|+    -            864 61705at50557         -            355   7.9e-05   20.7   1.0   1   2       5.7     3e+03   -4.2   0.1   190   242   132   184   118   197 0.76 -
67311at50557_13686_0:002311|STRG.1698.4:402-2993|+    -            864 61705at50557         -            355   7.9e-05   20.7   1.0   2   2   1.9e-07    0.0001   20.4   0.1   262   354   758   856   749   858 0.80 -
67311at50557_13686_0:002311|STRG.1698.6:389-2980|+    -            864 61705at50557         -            355   7.9e-05   20.7   1.0   1   2       5.7     3e+03   -4.2   0.1   190   242   132   184   118   197 0.76 -
67311at50557_13686_0:002311|STRG.1698.6:389-2980|+    -            864 61705at50557         -            355   7.9e-05   20.7   1.0   2   2   1.9e-07    0.0001   20.4   0.1   262   354   758   856   749   858 0.80 -
61705at50557_51655_0:001f8f|STRG.5887.1:2204-2620|+   -            139 61705at50557         -            355   8.1e-05   20.7   0.3   1   1   1.9e-07   9.7e-05   20.4   0.3   258   353    25   132    13   135 0.75 -
61705at50557_51655_0:001f8f|STRG.5887.2:2606-3022|+   -            139 61705at50557         -            355   8.1e-05   20.7   0.3   1   1   1.9e-07   9.7e-05   20.4   0.3   258   353    25   132    13   135 0.75 -
61705at50557_51655_0:001f8f|STRG.5887.3:1763-2179|+   -            139 61705at50557         -            355   8.1e-05   20.7   0.3   1   1   1.9e-07   9.7e-05   20.4   0.3   258   353    25   132    13   135 0.75 -
61705at50557_51655_0:001f8f|STRG.5887.4:839-1255|+    -            139 61705at50557         -            355   8.1e-05   20.7   0.3   1   1   1.9e-07   9.7e-05   20.4   0.3   258   353    25   132    13   135 0.75 -
4137at50557_378494_0:00213c|STRG.11042.12:1173-1925|+ -            251 61705at50557         -            355   0.00024   19.1   1.4   1   2   9.6e-05      0.05   11.5   0.7   276   332    71   125    14   141 0.68 -
4137at50557_378494_0:00213c|STRG.11042.12:1173-1925|+ -            251 61705at50557         -            355   0.00024   19.1   1.4   2   2    0.0033       1.7    6.4   0.0   286   330   184   228   126   246 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/61705at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/61705at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/61705at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:29:04 2024
# [ok]
