#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
140938at50557_103372_0:002606|STRG.2959.1:0-413|+   -            138 140938at50557        -            113   8.2e-55  182.4   4.1   1   1     3e-57   1.4e-54  181.6   4.1     1   105    10   116    10   136 0.94 -
152308at50557_103372_0:0026d9|STRG.9979.1:258-455|+ -             66 140938at50557        -            113   1.3e-08   33.5   0.7   1   1     3e-11   1.5e-08   33.4   0.7     8    74     2    65     1    66 0.92 -
147726at50557_7038_0:0007d8|STRG.12137.1:0-230|+    -             77 140938at50557        -            113   2.1e-07   29.7   0.3   1   1   6.8e-10   3.2e-07   29.0   0.3     4    47     8    51     5    77 0.74 -
147726at50557_7038_0:0007d8|STRG.12137.2:51-248|+   -             66 140938at50557        -            113   2.7e-06   26.0   0.2   1   1     9e-09   4.3e-06   25.4   0.2     9    47     2    40     1    66 0.70 -
150643at50557_69004_0:0019de|STRG.14131.1:33-221|+  -             63 140938at50557        -            113     2e-05   23.3   0.0   1   1   4.6e-08   2.2e-05   23.1   0.0    11    67     8    61     2    63 0.84 -
140706at50557_307658_0:00219e|STRG.3611.2:268-591|+ -            108 140938at50557        -            113   0.00075   18.2   0.2   1   2       1.4   6.9e+02   -1.0   0.1    93   110     4    22     2    25 0.51 -
140706at50557_307658_0:00219e|STRG.3611.2:268-591|+ -            108 140938at50557        -            113   0.00075   18.2   0.2   2   2   3.5e-06    0.0017   17.1   0.0     5    74    21    95    17   105 0.81 -
149193at50557_13686_0:001c78|STRG.1541.2:503-655|+  -             51 140938at50557        -            113   0.00075   18.2   0.1   1   1   1.7e-06   0.00082   18.1   0.1     8    39    18    49    12    51 0.91 -
140706at50557_307658_0:00219e|STRG.3611.3:172-510|+ -            113 140938at50557        -            113   0.00079   18.1   0.2   1   2       1.3     6e+02   -0.8   0.1    92   110     8    27     5    29 0.53 -
140706at50557_307658_0:00219e|STRG.3611.3:172-510|+ -            113 140938at50557        -            113   0.00079   18.1   0.2   2   2   3.8e-06    0.0018   16.9   0.0     5    74    26   100    20   110 0.81 -
150643at50557_326594_0:001b62|STRG.5057.1:99-296|+  -             66 140938at50557        -            113    0.0008   18.1   0.0   1   1   1.7e-06   0.00082   18.1   0.0    11    53    17    61     6    66 0.81 -
140706at50557_307658_0:00219e|STRG.3611.1:264-578|+ -            105 140938at50557        -            113   0.00083   18.0   0.0   1   1   3.2e-06    0.0015   17.2   0.0     5    74    18    92    14   102 0.81 -
140706at50557_307658_0:00219e|STRG.3611.4:6-320|+   -            105 140938at50557        -            113   0.00083   18.0   0.0   1   1   3.2e-06    0.0015   17.2   0.0     5    74    18    92    14   102 0.81 -
149193at50557_13686_0:001c78|STRG.1541.1:413-580|+  -             56 140938at50557        -            113   0.00086   18.0   0.1   1   1   1.9e-06   0.00092   17.9   0.1     8    39    23    54    13    56 0.91 -
147931at50557_103372_0:000dcb|STRG.589.1:0-272|+    -             91 140938at50557        -            113    0.0038   15.9   0.0   1   1     9e-06    0.0043   15.8   0.0     9    44    22    57    13    87 0.82 -
147931at50557_103372_0:000dcb|STRG.589.2:0-248|+    -             83 140938at50557        -            113    0.0042   15.8   0.1   1   1   9.1e-06    0.0043   15.7   0.1     9    43    22    56    13    82 0.85 -
147640at50557_610380_0:0028d8|STRG.3617.1:147-500|+ -            118 140938at50557        -            113     0.015   14.0   0.1   1   1   4.6e-05     0.022   13.5   0.1    10    43    38    71    29   109 0.86 -
147640at50557_610380_0:0028d8|STRG.3617.2:111-467|+ -            119 140938at50557        -            113     0.015   14.0   0.1   1   1   4.7e-05     0.022   13.4   0.1    10    43    39    72    30   110 0.86 -
140706at50557_307658_0:00219e|STRG.3611.5:345-551|+ -             69 140938at50557        -            113     0.036   12.8   0.0   1   1   0.00012     0.057   12.1   0.0     5    44    18    57    14    62 0.91 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/140938at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/140938at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/140938at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:15:14 2024
# [ok]
