#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132051at50557_520822_0:001d22|STRG.16921.1:438-1304|+ -            289 132051at50557        -            197   1.4e-76  255.4   1.3   1   1   4.5e-79     2e-76  254.9   1.3    18   196    83   279    62   280 0.90 -
96662at50557_103372_0:0000f8|STRG.17400.1:0-767|+     -            256 132051at50557        -            197     2e-06   26.4   0.0   1   1     6e-09   2.7e-06   26.0   0.0    32   155    66   197    56   217 0.82 -
96805at50557_520822_0:00258e|STRG.17667.3:0-854|+     -            285 132051at50557        -            197   3.2e-06   25.8   0.6   1   1   1.3e-08   5.6e-06   25.0   0.6    37   149    80   206    75   250 0.73 -
28428at50557_7237_0:000277|STRG.2416.1:168-1127|+     -            320 132051at50557        -            197   3.7e-06   25.6   0.0   1   1   1.6e-08   7.2e-06   24.6   0.0    53    83    38    68     5   118 0.74 -
96805at50557_103372_0:000294|STRG.17667.1:313-1254|+  -            314 132051at50557        -            197   3.8e-06   25.5   0.6   1   1   1.6e-08   7.2e-06   24.6   0.6    37   149   109   235   104   279 0.73 -
96805at50557_91411_0:001c67|STRG.7990.3:435-944|+     -            170 132051at50557        -            197   1.2e-05   23.9   1.3   1   2   7.7e-08   3.5e-05   22.4   1.3    40   118     4    89     1   137 0.69 -
96805at50557_91411_0:001c67|STRG.7990.3:435-944|+     -            170 132051at50557        -            197   1.2e-05   23.9   1.3   2   2       0.4   1.8e+02    0.5   0.0    99   145    92   144    83   156 0.61 -
96805at50557_91411_0:001c67|STRG.7990.2:786-1346|+    -            187 132051at50557        -            197   1.5e-05   23.6   1.4   1   1   7.7e-08   3.5e-05   22.4   1.4    40   121     4    92     1   172 0.70 -
96805at50557_37001_0:003325|STRG.7990.1:531-1190|+    -            220 132051at50557        -            197   2.1e-05   23.1   0.4   1   1   6.6e-08     3e-05   22.6   0.4    37   107    86   161    63   187 0.73 -
96805at50557_64793_0:0006ba|STRG.17667.2:207-1287|+   -            290 132051at50557        -            197   0.00012   20.6   0.6   1   1   6.5e-07   0.00029   19.4   0.6    37   149    82   211    79   251 0.69 -
28428at50557_69004_0:000830|STRG.1912.1:928-1833|+    -            302 132051at50557        -            197   0.00029   19.4   0.1   1   1     1e-06   0.00045   18.8   0.1    53   111    34    92    29   115 0.75 -
28428at50557_69004_0:000830|STRG.1912.2:1395-2300|+   -            302 132051at50557        -            197   0.00029   19.4   0.1   1   1     1e-06   0.00045   18.8   0.1    53   111    34    92    29   115 0.75 -
28428at50557_69004_0:000830|STRG.1912.3:1499-2404|+   -            302 132051at50557        -            197   0.00029   19.4   0.1   1   1     1e-06   0.00045   18.8   0.1    53   111    34    92    29   115 0.75 -
28428at50557_69004_0:000830|STRG.1912.4:920-1825|+    -            302 132051at50557        -            197   0.00029   19.4   0.1   1   1     1e-06   0.00045   18.8   0.1    53   111    34    92    29   115 0.75 -
28428at50557_103372_0:00058c|STRG.3739.1:438-1979|+   -            514 132051at50557        -            197   0.00048   18.7   0.4   1   2         4   1.8e+03   -2.8   0.1   156   174   120   138    92   147 0.69 -
28428at50557_103372_0:00058c|STRG.3739.1:438-1979|+   -            514 132051at50557        -            197   0.00048   18.7   0.4   2   2     3e-06    0.0013   17.2   0.0    53   132   154   234   149   253 0.64 -
28428at50557_286306_0:004195|STRG.3739.2:432-2222|+   -            597 132051at50557        -            197   0.00074   18.1   0.5   1   2       5.5   2.5e+03   -3.2   0.1   156   174   122   140    99   148 0.68 -
28428at50557_286306_0:004195|STRG.3739.2:432-2222|+   -            597 132051at50557        -            197   0.00074   18.1   0.5   2   2   3.7e-06    0.0017   16.9   0.0    53   130   156   234   151   255 0.64 -
30407at50557_143948_0:00063f|STRG.16126.1:254-1435|+  -            394 132051at50557        -            197     0.011   14.2   1.3   1   2    0.0017      0.78    8.2   0.0    59    80    25    46    18    77 0.81 -
30407at50557_143948_0:00063f|STRG.16126.1:254-1435|+  -            394 132051at50557        -            197     0.011   14.2   1.3   2   2      0.02       9.2    4.7   0.2    80   175   142   242   117   257 0.68 -
30407at50557_143948_0:00063f|STRG.16126.2:277-1458|+  -            394 132051at50557        -            197     0.011   14.2   1.3   1   2    0.0017      0.78    8.2   0.0    59    80    25    46    18    77 0.81 -
30407at50557_143948_0:00063f|STRG.16126.2:277-1458|+  -            394 132051at50557        -            197     0.011   14.2   1.3   2   2      0.02       9.2    4.7   0.2    80   175   142   242   117   257 0.68 -
30407at50557_143948_0:00063f|STRG.16126.3:277-1458|+  -            394 132051at50557        -            197     0.011   14.2   1.3   1   2    0.0017      0.78    8.2   0.0    59    80    25    46    18    77 0.81 -
30407at50557_143948_0:00063f|STRG.16126.3:277-1458|+  -            394 132051at50557        -            197     0.011   14.2   1.3   2   2      0.02       9.2    4.7   0.2    80   175   142   242   117   257 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132051at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/132051at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132051at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:57 2024
# [ok]
