#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53388at50557_34720_0:0017bc|STRG.1725.1:140-1393|+  -            418 53388at50557         -            354  1.1e-173  576.1   0.0   1   1  1.8e-176  1.6e-173  575.5   0.0     1   349     7   404     7   409 0.92 -
33009at50557_91411_0:0001b1|STRG.6102.2:759-2213|+  -            485 53388at50557         -            354     0.058   11.3   0.0   1   1   9.8e-05      0.09   10.6   0.0    80   131   310   365   306   379 0.88 -
33009at50557_91411_0:0001b1|STRG.6102.8:759-2365|+  -            529 53388at50557         -            354     0.065   11.1   0.0   1   1   0.00011       0.1   10.5   0.0    80   131   298   353   294   367 0.88 -
33009at50557_91411_0:0001b1|STRG.6102.9:1186-2856|+ -            541 53388at50557         -            354     0.068   11.0   0.0   1   1   0.00011      0.11   10.4   0.0    80   131   310   365   306   379 0.88 -
33009at50557_64793_0:002b9a|STRG.6102.1:747-2378|+  -            544 53388at50557         -            354     0.068   11.0   0.0   1   1   0.00011      0.11   10.4   0.0    80   131   313   368   309   382 0.88 -
33009at50557_64793_0:002b9a|STRG.6102.3:1004-2635|+ -            544 53388at50557         -            354     0.068   11.0   0.0   1   1   0.00011      0.11   10.4   0.0    80   131   313   368   309   382 0.88 -
33009at50557_64793_0:002b9a|STRG.6102.4:548-2179|+  -            544 53388at50557         -            354     0.068   11.0   0.0   1   1   0.00011      0.11   10.4   0.0    80   131   313   368   309   382 0.88 -
33009at50557_64793_0:002b9a|STRG.6102.5:833-2464|+  -            544 53388at50557         -            354     0.068   11.0   0.0   1   1   0.00011      0.11   10.4   0.0    80   131   313   368   309   382 0.88 -
33009at50557_64793_0:002b9a|STRG.6102.6:1008-2639|+ -            544 53388at50557         -            354     0.068   11.0   0.0   1   1   0.00011      0.11   10.4   0.0    80   131   313   368   309   382 0.88 -
33009at50557_64793_0:002b9a|STRG.6102.7:464-2095|+  -            544 53388at50557         -            354     0.068   11.0   0.0   1   1   0.00011      0.11   10.4   0.0    80   131   313   368   309   382 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53388at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/53388at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53388at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:08:09 2024
# [ok]
