#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135926at50557_454923_0:001d0a|STRG.17048.1:1-345|+    -            115 135926at50557        -             72     5e-38  128.1   9.0   1   1   1.4e-39   1.8e-36  123.0   9.0     1    72    21   112    21   112 0.93 -
135926at50557_286306_0:00291e|STRG.17048.2:0-269|+    -             90 135926at50557        -             72     1e-31  107.8  10.3   1   1   3.9e-33   5.3e-30  102.4  10.3    10    72     1    83     1    83 0.93 -
135926at50557_1629725_0:0000fc|STRG.20701.1:133-426|+ -             98 135926at50557        -             72   1.4e-05   24.1   0.2   1   2   5.2e-07   0.00071   18.6   0.0     3    35    15    48    13    66 0.84 -
135926at50557_1629725_0:0000fc|STRG.20701.1:133-426|+ -             98 135926at50557        -             72   1.4e-05   24.1   0.2   2   2      0.02        27    4.0   0.1    39    57    78    96    70    98 0.84 -
135926at50557_1629725_0:0000fc|STRG.20701.2:96-389|+  -             98 135926at50557        -             72   1.4e-05   24.1   0.2   1   2   5.2e-07   0.00071   18.6   0.0     3    35    15    48    13    66 0.84 -
135926at50557_1629725_0:0000fc|STRG.20701.2:96-389|+  -             98 135926at50557        -             72   1.4e-05   24.1   0.2   2   2      0.02        27    4.0   0.1    39    57    78    96    70    98 0.84 -
135926at50557_1629725_0:0000fc|STRG.20701.3:96-389|+  -             98 135926at50557        -             72   1.4e-05   24.1   0.2   1   2   5.2e-07   0.00071   18.6   0.0     3    35    15    48    13    66 0.84 -
135926at50557_1629725_0:0000fc|STRG.20701.3:96-389|+  -             98 135926at50557        -             72   1.4e-05   24.1   0.2   2   2      0.02        27    4.0   0.1    39    57    78    96    70    98 0.84 -
135926at50557_13164_0:002776|STRG.20701.4:12-305|+    -             98 135926at50557        -             72   5.7e-05   22.2   0.1   1   2   3.7e-06    0.0051   15.9   0.0     6    35     1    31     1    49 0.84 -
135926at50557_13164_0:002776|STRG.20701.4:12-305|+    -             98 135926at50557        -             72   5.7e-05   22.2   0.1   2   2     0.013        17    4.6   0.0    39    59    61    81    53    94 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/135926at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/135926at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/135926at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:15:05 2024
# [ok]
