#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+     -            349 80377at50557         -            287  3.2e-159  527.4   0.0   1   1  1.8e-160  5.5e-159  526.7   0.0     8   287    42   348    36   348 0.95 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 80377at50557         -            287   2.4e-44  150.5   4.7   1   2   7.5e-05    0.0024   16.0   0.0    57    89     2    34     1    43 0.84 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 80377at50557         -            287   2.4e-44  150.5   4.7   2   2   1.3e-38     4e-37  126.8   2.7    56   278    43   282    36   288 0.85 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 80377at50557         -            287   1.2e-43  148.2   9.4   1   3   1.2e-09   3.7e-08   31.7   0.2   163   282     2   114     1   119 0.84 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 80377at50557         -            287   1.2e-43  148.2   9.4   2   3   5.7e-20   1.8e-18   65.6   0.4    56   195    85   245    79   249 0.82 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 80377at50557         -            287   1.2e-43  148.2   9.4   3   3   2.6e-21     8e-20   70.0   0.4    55   194   126   286   121   288 0.82 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 80377at50557         -            287   1.2e-43  148.2   9.4   1   3   1.2e-09   3.7e-08   31.7   0.2   163   282     2   114     1   119 0.84 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 80377at50557         -            287   1.2e-43  148.2   9.4   2   3   5.7e-20   1.8e-18   65.6   0.4    56   195    85   245    79   249 0.82 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 80377at50557         -            287   1.2e-43  148.2   9.4   3   3   2.6e-21     8e-20   70.0   0.4    55   194   126   286   121   288 0.82 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 80377at50557         -            287     4e-42  143.2  14.4   1   4   5.1e-17   1.6e-15   55.9   0.6   128   246     8   120     1   121 0.90 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 80377at50557         -            287     4e-42  143.2  14.4   2   4   4.8e-13   1.5e-11   42.9   0.4   159   270    83   186    81   199 0.86 -
