#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42193at50557_103372_0:0016db|STRG.14604.1:0-1565|+  -            522 42193at50557         -            414  4.6e-216  716.3  11.7   1   1  4.3e-218  1.2e-215  715.0  11.7     1   406     1   454     1   462 0.92 -
120478at50557_103372_0:000c5c|STRG.7021.2:218-700|+ -            161 42193at50557         -            414   8.1e-50  168.7   0.0   1   1   3.6e-52     1e-49  168.4   0.0   249   386     3   148     2   159 0.92 -
120478at50557_103372_0:000c5c|STRG.7021.3:0-425|+   -            142 42193at50557         -            414   6.8e-46  155.8   0.0   1   1   2.7e-48   7.7e-46  155.6   0.0   266   386     2   129     1   140 0.91 -
27737at50557_67767_0:00339d|STRG.13027.1:228-680|+  -            151 42193at50557         -            414   4.7e-45  153.1   0.0   1   1     2e-47   5.5e-45  152.8   0.0   252   388     3   146     1   150 0.93 -
27737at50557_67767_0:00339d|STRG.13027.2:313-750|+  -            146 42193at50557         -            414   3.8e-44  150.1   0.0   1   1   1.6e-46   4.5e-44  149.8   0.0   256   388     2   141     1   145 0.92 -
120478at50557_103372_0:000c5c|STRG.7021.1:89-496|+  -            136 42193at50557         -            414   4.1e-42  143.4   0.0   1   1   1.6e-44   4.6e-42  143.2   0.0   271   386     1   123     1   134 0.90 -
27737at50557_103372_0:000a01|STRG.9979.1:0-1832|+   -            611 42193at50557         -            414   1.7e-41  141.3   0.6   1   2       1.5   4.3e+02   -1.6   0.0   277   330    46   107    37   114 0.52 -
27737at50557_103372_0:000a01|STRG.9979.1:0-1832|+   -            611 42193at50557         -            414   1.7e-41  141.3   0.6   2   2   1.5e-43   4.2e-41  140.0   0.1   251   388   461   606   440   610 0.90 -
27737at50557_67767_0:00339d|STRG.16639.2:46-501|+   -            152 42193at50557         -            414   3.6e-36  123.8   0.1   1   1   1.4e-38     4e-36  123.6   0.1   264   386    20   151     8   152 0.88 -
27737at50557_67767_0:00339d|STRG.16639.1:132-623|+  -            164 42193at50557         -            414   3.7e-36  123.7   0.1   1   1   1.4e-38     4e-36  123.6   0.1   263   386    31   163     6   164 0.87 -
42193at50557_123851_0:000a5d|STRG.4880.1:183-626|+  -            148 42193at50557         -            414   5.9e-34  116.5   0.2   1   1   2.3e-36   6.6e-34  116.3   0.2   256   375     2   131     1   142 0.87 -
27737at50557_67767_0:00339d|STRG.8300.1:546-998|+   -            151 42193at50557         -            414   9.5e-33  112.5   0.2   1   1   3.7e-35   1.1e-32  112.4   0.2   263   376    25   147     9   151 0.87 -
27737at50557_67767_0:00339d|STRG.8300.2:243-695|+   -            151 42193at50557         -            414   9.5e-33  112.5   0.2   1   1   3.7e-35   1.1e-32  112.4   0.2   263   376    25   147     9   151 0.87 -
27737at50557_67767_0:00339d|STRG.8300.3:3-455|+     -            151 42193at50557         -            414   9.5e-33  112.5   0.2   1   1   3.7e-35   1.1e-32  112.4   0.2   263   376    25   147     9   151 0.87 -
27737at50557_67767_0:00339d|STRG.11059.1:416-862|+  -            149 42193at50557         -            414   2.8e-31  107.7   0.1   1   1   1.2e-33   3.3e-31  107.4   0.1   262   374    23   144     9   148 0.88 -
27737at50557_67767_0:00339d|STRG.11059.2:416-862|+  -            149 42193at50557         -            414   2.8e-31  107.7   0.1   1   1   1.2e-33   3.3e-31  107.4   0.1   262   374    23   144     9   148 0.88 -
27737at50557_121845_0:000a82|STRG.18021.1:18-512|+  -            165 42193at50557         -            414   3.1e-30  104.2   0.2   1   1   1.9e-32   5.4e-30  103.5   0.2   256   388    14   164    10   165 0.84 -
120478at50557_121845_0:00199d|STRG.6979.1:470-925|+ -            152 42193at50557         -            414   3.2e-29  100.9   0.0   1   1   1.3e-31   3.8e-29  100.7   0.0   253   381     1   145     1   151 0.84 -
42193at50557_123851_0:000a5d|STRG.5573.1:251-691|+  -            147 42193at50557         -            414     3e-27   94.4   0.1   1   1   1.3e-29   3.7e-27   94.1   0.1   260   383     5   145     1   147 0.84 -
92898at50557_62324_0:001787|STRG.17877.1:259-753|+  -            165 42193at50557         -            414   1.4e-24   85.6   0.1   1   1   6.3e-27   1.8e-24   85.3   0.1   251   387     5   156     2   163 0.88 -
42193at50557_7539_0:00337e|STRG.5573.2:387-680|+    -             98 42193at50557         -            414     3e-21   74.7   0.1   1   1   1.1e-23   3.2e-21   74.6   0.1   292   383     1    96     1    98 0.92 -
42193at50557_7539_0:00337e|STRG.10714.1:5-304|+     -            100 42193at50557         -            414   6.8e-20   70.2   0.0   1   1   2.7e-22   7.5e-20   70.0   0.0   299   387     5    93     1    97 0.93 -
42193at50557_123851_0:000a5d|STRG.11614.1:424-888|+ -            155 42193at50557         -            414   4.8e-19   67.4   0.1   1   1     2e-21   5.5e-19   67.2   0.1   255   375     1   131     1   145 0.86 -
42193at50557_7539_0:00337e|STRG.18021.2:8-365|+     -             85 42193at50557         -            414   1.4e-18   65.9   0.0   1   1   5.2e-21   1.5e-18   65.8   0.0   300   384     1    85     1    85 0.93 -
42193at50557_7539_0:00337e|STRG.3123.1:405-665|-    -             87 42193at50557         -            414   4.6e-16   57.6   0.0   1   1   1.6e-18   4.6e-16   57.6   0.0   312   386     1    76     1    87 0.89 -
42193at50557_197043_0:007f2e|STRG.3122.1:12-209|+   -             66 42193at50557         -            414   2.2e-12   45.4   0.0   1   1   9.1e-15   2.6e-12   45.2   0.0   253   309     1    63     1    65 0.91 -
96808at50557_13686_0:002dfc|STRG.13545.1:165-1025|+ -            287 42193at50557         -            414   2.9e-11   41.8   0.4   1   2   1.3e-06   0.00035   18.4   0.1    30    67    41    80    19   111 0.87 -
96808at50557_13686_0:002dfc|STRG.13545.1:165-1025|+ -            287 42193at50557         -            414   2.9e-11   41.8   0.4   2   2   1.5e-07   4.3e-05   21.4   0.0    67   149   171   264   162   272 0.77 -
48053at50557_7536_0:0009dd|STRG.4090.1:36-437|+     -            134 42193at50557         -            414    0.0087   13.8   0.0   1   1   3.7e-05      0.01   13.6   0.0    42    83     8    50     4    81 0.86 -
#
# Program:         hmmsearch
