#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42026at50557_34720_0:001298|STRG.7787.1:631-2202|+    -            524 42026at50557         -            429  1.4e-204  678.8   6.3   1   1  1.3e-205  3.9e-203  674.0   6.3     5   416    28   473    24   504 0.91 -
26645at50557_34720_0:000db2|STRG.5947.1:264-2091|+    -            604 42026at50557         -            429   1.8e-28   98.5   0.7   1   1   9.9e-31     3e-28   97.8   0.7    44   307   237   504   224   527 0.90 -
26645at50557_34720_0:000db2|STRG.5947.2:56-2075|+     -            668 42026at50557         -            429   1.9e-28   98.5   0.8   1   1   1.4e-30   4.1e-28   97.3   0.8    44   307   301   568   289   590 0.90 -
42026at50557_7394_0:001075|STRG.12989.1:617-1594|+    -            326 42026at50557         -            429   6.3e-27   93.4   0.0   1   3   2.8e-07   8.5e-05   20.5   0.0    59   136     1    79     1    91 0.93 -
42026at50557_7394_0:001075|STRG.12989.1:617-1594|+    -            326 42026at50557         -            429   6.3e-27   93.4   0.0   2   3   8.7e-22   2.6e-19   68.3   0.0   135   286   110   265    91   271 0.85 -
42026at50557_7394_0:001075|STRG.12989.1:617-1594|+    -            326 42026at50557         -            429   6.3e-27   93.4   0.0   3   3       0.3        89    0.7   0.0   284   318   288   322   285   326 0.87 -
58206at50557_69820_0:001fb5|STRG.12847.2:27-854|+     -            276 42026at50557         -            429     3e-07   28.6   0.0   1   2    0.0028      0.83    7.4   0.0    95   143     4    51     2    74 0.81 -
58206at50557_69820_0:001fb5|STRG.12847.2:27-854|+     -            276 42026at50557         -            429     3e-07   28.6   0.0   2   2     7e-07   0.00021   19.2   0.0   225   301    91   171    84   184 0.85 -
57980at50557_69004_0:0023c9|STRG.7555.1:15-1085|+     -            357 42026at50557         -            429   4.9e-06   24.6   1.4   1   3      0.37   1.1e+02    0.4   0.1   119   149    10    41     7    65 0.75 -
57980at50557_69004_0:0023c9|STRG.7555.1:15-1085|+     -            357 42026at50557         -            429   4.9e-06   24.6   1.4   2   3   1.2e-07   3.5e-05   21.8   0.2   219   299    72   155    53   163 0.83 -
57980at50557_69004_0:0023c9|STRG.7555.1:15-1085|+     -            357 42026at50557         -            429   4.9e-06   24.6   1.4   3   3       1.3   3.8e+02   -1.4   0.0    33    63   297   327   284   330 0.87 -
58206at50557_1629725_0:0005e4|STRG.12847.1:278-1057|+ -            260 42026at50557         -            429   9.6e-05   20.3   0.1   1   2       3.8   1.1e+03   -3.0   0.0   121   143     7    30     6    51 0.69 -
58206at50557_1629725_0:0005e4|STRG.12847.1:278-1057|+ -            260 42026at50557         -            429   9.6e-05   20.3   0.1   2   2   5.6e-07   0.00017   19.6   0.0   225   301    70   150    55   163 0.86 -
58206at50557_1629725_0:0005e4|STRG.12847.3:278-1057|+ -            260 42026at50557         -            429   9.6e-05   20.3   0.1   1   2       3.8   1.1e+03   -3.0   0.0   121   143     7    30     6    51 0.69 -
58206at50557_1629725_0:0005e4|STRG.12847.3:278-1057|+ -            260 42026at50557         -            429   9.6e-05   20.3   0.1   2   2   5.6e-07   0.00017   19.6   0.0   225   301    70   150    55   163 0.86 -
57980at50557_1629725_0:000be4|STRG.6371.1:2236-3048|+ -            271 42026at50557         -            429   0.00036   18.4   0.7   1   1     2e-06    0.0006   17.7   0.7   262   303   108   150    45   163 0.84 -
63962at50557_568069_0:00441d|STRG.5100.1:2485-3507|+  -            341 42026at50557         -            429   0.00077   17.4   0.1   1   1   3.5e-06     0.001   16.9   0.1   225   304    83   165    48   171 0.80 -
63962at50557_568069_0:00441d|STRG.5100.2:1026-2048|+  -            341 42026at50557         -            429   0.00077   17.4   0.1   1   1   3.5e-06     0.001   16.9   0.1   225   304    83   165    48   171 0.80 -
63962at50557_568069_0:00441d|STRG.5100.3:786-1808|+   -            341 42026at50557         -            429   0.00077   17.4   0.1   1   1   3.5e-06     0.001   16.9   0.1   225   304    83   165    48   171 0.80 -
63962at50557_568069_0:00441d|STRG.5100.4:746-1768|+   -            341 42026at50557         -            429   0.00077   17.4   0.1   1   1   3.5e-06     0.001   16.9   0.1   225   304    83   165    48   171 0.80 -
63962at50557_568069_0:00441d|STRG.5100.5:624-1646|+   -            341 42026at50557         -            429   0.00077   17.4   0.1   1   1   3.5e-06     0.001   16.9   0.1   225   304    83   165    48   171 0.80 -
63962at50557_568069_0:00441d|STRG.5100.6:671-1693|+   -            341 42026at50557         -            429   0.00077   17.4   0.1   1   1   3.5e-06     0.001   16.9   0.1   225   304    83   165    48   171 0.80 -
57980at50557_7536_0:003723|STRG.5342.1:805-1617|+     -            271 42026at50557         -            429    0.0012   16.8   0.1   1   1   5.3e-06    0.0016   16.3   0.1   218   283    71   137    26   140 0.71 -
57980at50557_7536_0:003723|STRG.5342.2:685-1497|+     -            271 42026at50557         -            429    0.0012   16.8   0.1   1   1   5.3e-06    0.0016   16.3   0.1   218   283    71   137    26   140 0.71 -
17813at50557_378494_0:006207|STRG.16409.1:1251-1844|+ -            198 42026at50557         -            429    0.0021   15.9   0.0   1   1   8.2e-06    0.0025   15.7   0.0   226   301    83   160    36   173 0.84 -
17813at50557_378494_0:006207|STRG.16409.2:1254-1847|+ -            198 42026at50557         -            429    0.0021   15.9   0.0   1   1   8.2e-06    0.0025   15.7   0.0   226   301    83   160    36   173 0.84 -
63962at50557_45779_0:000a34|STRG.2299.1:2789-3733|+   -            315 42026at50557         -            429    0.0025   15.7   0.1   1   1   1.1e-05    0.0033   15.3   0.1   226   297    72   146    36   157 0.78 -
63962at50557_45779_0:000a34|STRG.2299.2:2229-3173|+   -            315 42026at50557         -            429    0.0025   15.7   0.1   1   1   1.1e-05    0.0033   15.3   0.1   226   297    72   146    36   157 0.78 -
63962at50557_45779_0:000a34|STRG.2299.3:1874-2818|+   -            315 42026at50557         -            429    0.0025   15.7   0.1   1   1   1.1e-05    0.0033   15.3   0.1   226   297    72   146    36   157 0.78 -
65033at50557_13686_0:0008e0|STRG.12053.1:297-1589|+   -            431 42026at50557         -            429    0.0047   14.8   0.0   1   1   2.4e-05    0.0071   14.2   0.0   216   283   135   204   100   225 0.83 -
65033at50557_13686_0:0008e0|STRG.12053.2:0-1292|+     -            431 42026at50557         -            429    0.0047   14.8   0.0   1   1   2.4e-05    0.0071   14.2   0.0   216   283   135   204   100   225 0.83 -
125117at50557_54969_0:0029cc|STRG.16549.1:2158-3081|+ -            308 42026at50557         -            429     0.019   12.8   0.1   1   1     8e-05     0.024   12.5   0.1   223   293    74   147    32   178 0.75 -
125117at50557_54969_0:0029cc|STRG.16549.2:2158-3081|+ -            308 42026at50557         -            429     0.019   12.8   0.1   1   1     8e-05     0.024   12.5   0.1   223   293    74   147    32   178 0.75 -
125117at50557_54969_0:0029cc|STRG.16549.3:2158-3081|+ -            308 42026at50557         -            429     0.019   12.8   0.1   1   1     8e-05     0.024   12.5   0.1   223   293    74   147    32   178 0.75 -
58206at50557_103372_0:002486|STRG.4927.4:398-1147|+   -            250 42026at50557         -            429     0.026   12.4   0.0   1   1   0.00012     0.035   11.9   0.0   225   303   157   239   124   247 0.85 -
8547at50557_74869_0:0028a5|STRG.4637.1:1130-1825|+    -            232 42026at50557         -            429     0.028   12.3   0.1   1   1   0.00012     0.036   11.9   0.1   226   293    35   107    31   134 0.87 -
84764at50557_91411_0:001d03|STRG.7080.2:291-1169|+    -            293 42026at50557         -            429     0.036   11.9   0.7   1   2       1.8   5.3e+02   -1.9   0.0   119   144     6    32     5    56 0.79 -
84764at50557_91411_0:001d03|STRG.7080.2:291-1169|+    -            293 42026at50557         -            429     0.036   11.9   0.7   2   2   0.00019     0.058   11.2   0.1   262   310   117   167    73   209 0.67 -
