#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.11550.1:2-490|+      -            136 129956at50557        -            110     1e-60  201.4   0.3   1   1   2.3e-62   1.2e-60  201.2   0.3     5   108     2   109     1   114 0.94 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 129956at50557        -            110   2.1e-28   97.3   0.2   1   4   7.7e-07     4e-05   22.4   0.0    32   104     2    74     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 129956at50557        -            110   2.1e-28   97.3   0.2   2   4   8.9e-08   4.6e-06   25.4   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 129956at50557        -            110   2.1e-28   97.3   0.2   3   4   1.5e-09   7.7e-08   31.1   0.0    30    98   181   248   164   261 0.87 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 129956at50557        -            110   2.1e-28   97.3   0.2   4   4   0.00036     0.018   13.8   0.0    44    93   299   346   265   348 0.77 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 129956at50557        -            110   2.8e-27   93.7   0.4   1   4     1e-06   5.1e-05   22.0   0.0    32   103     2    73     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 129956at50557        -            110   2.8e-27   93.7   0.4   2   4   3.1e-07   1.6e-05   23.7   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 129956at50557        -            110   2.8e-27   93.7   0.4   3   4   3.8e-09     2e-07   29.8   0.0    30    98   181   248   164   261 0.86 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 129956at50557        -            110   2.8e-27   93.7   0.4   4   4   0.00036     0.018   13.8   0.0    44    93   299   346   265   348 0.77 -
117816at50557_7200_0:0014c2|STRG.19231.4:812-1744|+    -            311 129956at50557        -            110   1.9e-24   84.6   0.0   1   3   5.9e-11     3e-09   35.7   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.19231.4:812-1744|+    -            311 129956at50557        -            110   1.9e-24   84.6   0.0   2   3   0.00095     0.049   12.4   0.0    30    93    76   152    71   159 0.72 -
