#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80377at50557_456900_0:000374|STRG.1093.1:114-1160|+    -            349 80377at50557         -            287  2.5e-159  528.0   0.1   1   1  1.5e-160  4.3e-159  527.2   0.1     8   287    42   348    36   348 0.95 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+    -            309 80377at50557         -            287   5.9e-56  188.7   9.7   1   3   7.2e-23   2.1e-21   75.4   0.5    57   208    16   184     6   186 0.83 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+    -            309 80377at50557         -            287   5.9e-56  188.7   9.7   2   3   4.2e-21   1.2e-19   69.6   0.1    59   195   102   259    99   265 0.82 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+    -            309 80377at50557         -            287   5.9e-56  188.7   9.7   3   3     4e-19   1.1e-17   63.1   0.5    55   194   140   300   135   306 0.84 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+    -            309 80377at50557         -            287   5.9e-56  188.7   9.7   1   3   7.2e-23   2.1e-21   75.4   0.5    57   208    16   184     6   186 0.83 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+    -            309 80377at50557         -            287   5.9e-56  188.7   9.7   2   3   4.2e-21   1.2e-19   69.6   0.1    59   195   102   259    99   265 0.82 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+    -            309 80377at50557         -            287   5.9e-56  188.7   9.7   3   3     4e-19   1.1e-17   63.1   0.5    55   194   140   300   135   306 0.84 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+    -            309 80377at50557         -            287   5.9e-56  188.7   9.7   1   3   7.2e-23   2.1e-21   75.4   0.5    57   208    16   184     6   186 0.83 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+    -            309 80377at50557         -            287   5.9e-56  188.7   9.7   2   3   4.2e-21   1.2e-19   69.6   0.1    59   195   102   259    99   265 0.82 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+    -            309 80377at50557         -            287   5.9e-56  188.7   9.7   3   3     4e-19   1.1e-17   63.1   0.5    55   194   140   300   135   306 0.84 -
40115at50557_156304_0:001c45|STRG.7719.2:286-1236|+    -            317 80377at50557         -            287   7.2e-56  188.5  10.0   1   3   6.5e-23   1.8e-21   75.6   0.5    56   208    23   192    10   195 0.83 -
40115at50557_156304_0:001c45|STRG.7719.2:286-1236|+    -            317 80377at50557         -            287   7.2e-56  188.5  10.0   2   3   4.1e-21   1.2e-19   69.6   0.1    59   195   110   267   106   274 0.82 -
40115at50557_156304_0:001c45|STRG.7719.2:286-1236|+    -            317 80377at50557         -            287   7.2e-56  188.5  10.0   3   3   4.4e-19   1.3e-17   63.0   0.6    55   194   148   308   143   314 0.84 -
40115at50557_156304_0:001c45|STRG.7719.6:286-1236|+    -            317 80377at50557         -            287   7.2e-56  188.5  10.0   1   3   6.5e-23   1.8e-21   75.6   0.5    56   208    23   192    10   195 0.83 -
40115at50557_156304_0:001c45|STRG.7719.6:286-1236|+    -            317 80377at50557         -            287   7.2e-56  188.5  10.0   2   3   4.1e-21   1.2e-19   69.6   0.1    59   195   110   267   106   274 0.82 -
40115at50557_156304_0:001c45|STRG.7719.6:286-1236|+    -            317 80377at50557         -            287   7.2e-56  188.5  10.0   3   3   4.4e-19   1.3e-17   63.0   0.6    55   194   148   308   143   314 0.84 -
40115at50557_7370_0:002473|STRG.5214.2:613-1482|+      -            290 80377at50557         -            287     4e-44  149.9   4.6   1   2   0.00015    0.0044   15.3   0.0    57    89     1    33     1    42 0.84 -
40115at50557_7370_0:002473|STRG.5214.2:613-1482|+      -            290 80377at50557         -            287     4e-44  149.9   4.6   2   2   1.4e-38     4e-37  127.0   2.6    56   278    42   281    35   287 0.85 -
