#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
70072at50557_456900_0:00138d|STRG.7987.1:0-1457|+     -            486 70072at50557         -            398  1.3e-204  678.2   2.4   1   1  2.6e-207  1.8e-204  677.7   2.4    19   394    78   463    66   467 0.95 -
57156at50557_77166_0:0029c4|STRG.17324.4:508-1713|+   -            402 70072at50557         -            398     2e-16   58.6   3.7   1   4    0.0013      0.94    7.0   0.0    55   122    56   122     8   132 0.54 -
57156at50557_77166_0:0029c4|STRG.17324.4:508-1713|+   -            402 70072at50557         -            398     2e-16   58.6   3.7   2   4   0.00021      0.15    9.6   0.0    63   122   132   190   121   198 0.84 -
57156at50557_77166_0:0029c4|STRG.17324.4:508-1713|+   -            402 70072at50557         -            398     2e-16   58.6   3.7   3   4   1.5e-07    0.0001   20.0   0.0    57   145   194   284   188   289 0.84 -
57156at50557_77166_0:0029c4|STRG.17324.4:508-1713|+   -            402 70072at50557         -            398     2e-16   58.6   3.7   4   4   8.1e-08   5.7e-05   20.8   0.2    57   127   296   365   288   390 0.90 -
57156at50557_77166_0:0029c4|STRG.17324.5:336-1541|+   -            402 70072at50557         -            398     2e-16   58.6   3.7   1   4    0.0013      0.94    7.0   0.0    55   122    56   122     8   132 0.54 -
57156at50557_77166_0:0029c4|STRG.17324.5:336-1541|+   -            402 70072at50557         -            398     2e-16   58.6   3.7   2   4   0.00021      0.15    9.6   0.0    63   122   132   190   121   198 0.84 -
57156at50557_77166_0:0029c4|STRG.17324.5:336-1541|+   -            402 70072at50557         -            398     2e-16   58.6   3.7   3   4   1.5e-07    0.0001   20.0   0.0    57   145   194   284   188   289 0.84 -
57156at50557_77166_0:0029c4|STRG.17324.5:336-1541|+   -            402 70072at50557         -            398     2e-16   58.6   3.7   4   4   8.1e-08   5.7e-05   20.8   0.2    57   127   296   365   288   390 0.90 -
57156at50557_28612_0:002d5e|STRG.17324.1:743-1366|+   -            208 70072at50557         -            398   1.4e-10   39.3   1.1   1   3   2.6e-06    0.0018   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.17324.1:743-1366|+   -            208 70072at50557         -            398   1.4e-10   39.3   1.1   2   3   3.9e-08   2.8e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.17324.1:743-1366|+   -            208 70072at50557         -            398   1.4e-10   39.3   1.1   3   3      0.15     1e+02    0.2   0.0   102   135   147   180   140   201 0.76 -
57156at50557_28612_0:002d5e|STRG.17324.2:1476-2099|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   1   3   2.6e-06    0.0018   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.17324.2:1476-2099|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   2   3   3.9e-08   2.8e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.17324.2:1476-2099|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   3   3      0.15     1e+02    0.2   0.0   102   135   147   180   140   201 0.76 -
57156at50557_28612_0:002d5e|STRG.17324.3:1651-2274|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   1   3   2.6e-06    0.0018   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.17324.3:1651-2274|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   2   3   3.9e-08   2.8e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.17324.3:1651-2274|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   3   3      0.15     1e+02    0.2   0.0   102   135   147   180   140   201 0.76 -
89121at50557_454923_0:000612|STRG.18069.1:1359-2384|+ -            342 70072at50557         -            398   1.4e-06   26.1   3.1   1   3    0.0012      0.86    7.1   0.1    79   127    69   117    60   121 0.93 -
89121at50557_454923_0:000612|STRG.18069.1:1359-2384|+ -            342 70072at50557         -            398   1.4e-06   26.1   3.1   2   3   9.2e-07   0.00065   17.4   0.1    65   159   124   214   119   230 0.83 -
