#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+      -            652 31374at50557         -            569  2.2e-291  966.2  18.7   1   1  6.7e-291    2e-289  959.7  18.7     1   569     4   646     4   646 0.94 -
31374at50557_133901_0:001035|STRG.14278.1:1137-2681|+   -            515 31374at50557         -            569   1.3e-68  230.7  10.2   1   2   1.7e-12   5.2e-11   40.5   2.2    51   163     1   127     1   152 0.88 -
31374at50557_133901_0:001035|STRG.14278.1:1137-2681|+   -            515 31374at50557         -            569   1.3e-68  230.7  10.2   2   2   1.6e-57   4.8e-56  189.2   1.6   254   531   168   466   156   466 0.84 -
31374at50557_133901_0:001035|STRG.14278.3:356-1900|+    -            515 31374at50557         -            569   1.3e-68  230.7  10.2   1   2   1.7e-12   5.2e-11   40.5   2.2    51   163     1   127     1   152 0.88 -
31374at50557_133901_0:001035|STRG.14278.3:356-1900|+    -            515 31374at50557         -            569   1.3e-68  230.7  10.2   2   2   1.6e-57   4.8e-56  189.2   1.6   254   531   168   466   156   466 0.84 -
31374at50557_133901_0:001035|STRG.14278.2:1079-2605|+   -            509 31374at50557         -            569   7.3e-67  224.9   9.8   1   2   9.9e-11     3e-09   34.7   1.7    68   163    13   121     1   146 0.86 -
31374at50557_133901_0:001035|STRG.14278.2:1079-2605|+   -            509 31374at50557         -            569   7.3e-67  224.9   9.8   2   2   4.4e-58   1.3e-56  191.0   1.4   254   532   162   461   156   468 0.83 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+     -            712 31374at50557         -            569   2.4e-57  193.5  24.7   1   6   3.6e-13   1.1e-11   42.8   1.9   351   479     7   143     2   177 0.78 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+     -            712 31374at50557         -            569   2.4e-57  193.5  24.7   2   6     0.056       1.7    5.8   0.4   345   375   132   162   129   232 0.91 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+     -            712 31374at50557         -            569   2.4e-57  193.5  24.7   3   6   1.1e-15   3.3e-14   51.1   1.1   362   461   214   326   204   331 0.79 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+     -            712 31374at50557         -            569   2.4e-57  193.5  24.7   4   6   6.2e-11   1.9e-09   35.4   0.0   340   421   372   464   351   476 0.78 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+     -            712 31374at50557         -            569   2.4e-57  193.5  24.7   5   6   1.7e-15   5.2e-14   50.4   0.2   338   462   423   548   410   561 0.90 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+     -            712 31374at50557         -            569   2.4e-57  193.5  24.7   6   6   2.2e-12   6.5e-11   40.2   1.6   282   416   588   712   569   712 0.80 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+     -            697 31374at50557         -            569   1.4e-56  190.9  24.7   1   6   1.7e-12   5.2e-11   40.5   1.1   365   476     5   122     2   140 0.76 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+     -            697 31374at50557         -            569   1.4e-56  190.9  24.7   2   6     0.033      0.98    6.6   0.1   344   375   116   147   108   156 0.83 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+     -            697 31374at50557         -            569   1.4e-56  190.9  24.7   3   6   1.2e-15   3.6e-14   50.9   1.3   362   461   199   311   189   316 0.79 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+     -            697 31374at50557         -            569   1.4e-56  190.9  24.7   4   6   6.4e-11   1.9e-09   35.3   0.0   340   421   357   449   336   459 0.78 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+     -            697 31374at50557         -            569   1.4e-56  190.9  24.7   5   6   3.3e-15     1e-13   49.5   0.5   343   462   413   533   406   554 0.90 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+     -            697 31374at50557         -            569   1.4e-56  190.9  24.7   6   6   2.3e-12   6.8e-11   40.1   1.7   282   416   573   697   554   697 0.80 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+     -            799 31374at50557         -            569   1.4e-51  174.5   7.9   1   3   3.8e-20   1.1e-18   65.8   0.5   345   473   106   236    80   265 0.82 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+     -            799 31374at50557         -            569   1.4e-51  174.5   7.9   2   3   2.7e-14   7.9e-13   46.5   0.2   336   474   372   526   352   527 0.79 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+     -            799 31374at50557         -            569   1.4e-51  174.5   7.9   3   3     5e-21   1.5e-19   68.7   0.1   343   481   521   659   511   667 0.94 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+     -            305 31374at50557         -            569   1.5e-51  174.3  11.0   1   3   3.9e-27   1.2e-25   88.9   1.9   343   476     1   135     1   139 0.96 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+     -            305 31374at50557         -            569   1.5e-51  174.3  11.0   2   3   6.2e-08   1.8e-06   25.5   0.1   343   400   128   185   128   199 0.93 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+     -            305 31374at50557         -            569   1.5e-51  174.3  11.0   3   3   2.9e-21   8.7e-20   69.5   0.6   361   459   207   305   201   305 0.97 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+     -            305 31374at50557         -            569   1.5e-51  174.3  11.0   1   3   3.9e-27   1.2e-25   88.9   1.9   343   476     1   135     1   139 0.96 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+     -            305 31374at50557         -            569   1.5e-51  174.3  11.0   2   3   6.2e-08   1.8e-06   25.5   0.1   343   400   128   185   128   199 0.93 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+     -            305 31374at50557         -            569   1.5e-51  174.3  11.0   3   3   2.9e-21   8.7e-20   69.5   0.6   361   459   207   305   201   305 0.97 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+   -            288 31374at50557         -            569   5.4e-51  172.5   2.9   1   3   3.5e-19     1e-17   62.6   0.1   343   476     1   135     1   137 0.90 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+   -            288 31374at50557         -            569   5.4e-51  172.5   2.9   2   3     2e-25   5.8e-24   83.3   0.1   340   475   125   260   123   262 0.96 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+   -            288 31374at50557         -            569   5.4e-51  172.5   2.9   3   3   2.7e-12   7.9e-11   39.9   0.0   346   417   215   286   215   288 0.97 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+   -            288 31374at50557         -            569   5.4e-51  172.5   2.9   1   3   3.5e-19     1e-17   62.6   0.1   343   476     1   135     1   137 0.90 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+   -            288 31374at50557         -            569   5.4e-51  172.5   2.9   2   3     2e-25   5.8e-24   83.3   0.1   340   475   125   260   123   262 0.96 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+   -            288 31374at50557         -            569   5.4e-51  172.5   2.9   3   3   2.7e-12   7.9e-11   39.9   0.0   346   417   215   286   215   288 0.97 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+     -            481 31374at50557         -            569   1.8e-47  160.9   8.3   1   4   2.4e-13   7.1e-12   43.4   1.2   340   439   113   213   106   219 0.79 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+     -            481 31374at50557         -            569   1.8e-47  160.9   8.3   2   4   1.8e-15   5.3e-14   50.4   0.2   399   538   220   359   200   363 0.87 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+     -            481 31374at50557         -            569   1.8e-47  160.9   8.3   3   4   1.5e-07   4.6e-06   24.2   0.0   362   419   340   398   333   405 0.77 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+     -            481 31374at50557         -            569   1.8e-47  160.9   8.3   4   4     1e-15     3e-14   51.2   0.2   341   417   404   480   399   481 0.96 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+      -            286 31374at50557         -            569   2.2e-47  160.6   2.8   1   3   1.1e-23   3.2e-22   77.5   0.1   343   472     3   132     2   134 0.97 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+      -            286 31374at50557         -            569   2.2e-47  160.6   2.8   2   3     1e-24     3e-23   80.9   0.3   341   487   127   278   119   279 0.90 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+      -            286 31374at50557         -            569   2.2e-47  160.6   2.8   3   3    0.0033     0.099    9.9   0.0   387   416   257   286   254   286 0.53 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+       -            281 31374at50557         -            569   2.2e-45  154.0   3.2   1   3   2.4e-13     7e-12   43.4   0.3   346   434     1    89     1    89 0.92 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+       -            281 31374at50557         -            569   2.2e-45  154.0   3.2   2   3   8.2e-21   2.4e-19   68.0   0.1   384   474    81   171    77   177 0.96 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+       -            281 31374at50557         -            569   2.2e-45  154.0   3.2   3   3   1.3e-15   3.9e-14   50.8   0.0   353   458   176   281   172   281 0.98 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+     -            523 31374at50557         -            569   1.3e-43  148.1   5.2   1   3   1.3e-07   3.9e-06   24.4   0.0   376   446   208   281   188   293 0.78 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+     -            523 31374at50557         -            569   1.3e-43  148.1   5.2   2   3   8.9e-16   2.6e-14   51.4   0.2   361   476   294   411   289   412 0.93 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+     -            523 31374at50557         -            569   1.3e-43  148.1   5.2   3   3   2.8e-24   8.4e-23   79.4   0.3   343   458   404   520   402   522 0.97 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+        -            291 31374at50557         -            569   1.3e-42  144.8   5.1   1   2   2.7e-13     8e-12   43.2   0.2   386   473     3    90     1    91 0.97 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+        -            291 31374at50557         -            569   1.3e-42  144.8   5.1   2   2   2.6e-32   7.8e-31  106.0   0.9   342   531    85   291    80   291 0.90 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+        -            265 31374at50557         -            569   4.4e-41  139.8   4.5   1   2   2.1e-23   6.3e-22   76.5   0.5   343   472     2   131     1   133 0.97 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+        -            265 31374at50557         -            569   4.4e-41  139.8   4.5   2   2   1.7e-20   5.1e-19   66.9   0.3   343   474   128   263   124   265 0.90 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+     -            346 31374at50557         -            569   5.3e-39  132.9  11.6   1   3   9.3e-09   2.8e-07   28.2   0.2   339   420     4    98     2   104 0.78 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+     -            346 31374at50557         -            569   5.3e-39  132.9  11.6   2   3   2.1e-18   6.4e-17   60.0   1.6   343   475   104   235    98   241 0.94 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+     -            346 31374at50557         -            569   5.3e-39  132.9  11.6   3   3   5.9e-15   1.8e-13   48.7   0.2   356   429   250   324   247   334 0.90 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+    -            859 31374at50557         -            569   1.4e-38  131.6   0.0   1   3   1.1e-18   3.4e-17   61.0   0.0   341   460    12   132     5   136 0.92 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+    -            859 31374at50557         -            569   1.4e-38  131.6   0.0   2   3   1.1e-23   3.3e-22   77.5   0.0   353   461   109   217   106   224 0.96 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+    -            859 31374at50557         -            569   1.4e-38  131.6   0.0   3   3      0.29       8.6    3.5   0.0   501   526   227   252   220   263 0.84 -
14512at50557_103372_0:0005b9|STRG.15079.2:353-2986|+    -            878 31374at50557         -            569   1.5e-38  131.5   0.0   1   3   1.2e-18   3.5e-17   60.9   0.0   341   460    12   132     5   136 0.92 -
14512at50557_103372_0:0005b9|STRG.15079.2:353-2986|+    -            878 31374at50557         -            569   1.5e-38  131.5   0.0   2   3   1.1e-23   3.4e-22   77.5   0.0   353   461   109   217   106   224 0.96 -
14512at50557_103372_0:0005b9|STRG.15079.2:353-2986|+    -            878 31374at50557         -            569   1.5e-38  131.5   0.0   3   3       0.3       8.8    3.4   0.0   501   526   227   252   220   263 0.84 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+     -            206 31374at50557         -            569   3.1e-38  130.4   5.1   1   2   1.7e-16     5e-15   53.8   0.6   343   458    15   130     1   130 0.93 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+     -            206 31374at50557         -            569   3.1e-38  130.4   5.1   2   2   3.8e-26   1.1e-24   85.6   0.3   345   474    59   188    54   193 0.96 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+      -            349 31374at50557         -            569   6.1e-36  122.8   0.4   1   2   1.5e-21   4.4e-20   70.5   0.1   381   538    49   218    25   221 0.86 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+      -            349 31374at50557         -            569   6.1e-36  122.8   0.4   2   2   6.8e-16     2e-14   51.8   0.0   340   457   219   344   215   349 0.90 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+     -            339 31374at50557         -            569   2.4e-35  120.8  17.2   1   4   3.5e-14   1.1e-12   46.1   0.2   341   420    13    95     8    99 0.91 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+     -            339 31374at50557         -            569   2.4e-35  120.8  17.2   2   4   2.2e-13   6.7e-12   43.5   0.2   380   459    99   180    96   187 0.85 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+     -            339 31374at50557         -            569   2.4e-35  120.8  17.2   3   4   4.3e-06   0.00013   19.4   0.8   379   418   188   227   183   231 0.95 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+     -            339 31374at50557         -            569   2.4e-35  120.8  17.2   4   4   4.8e-07   1.4e-05   22.6   0.5   378   458   244   335   242   338 0.86 -
