#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104832at50557_34720_0:0019e7|STRG.18733.1:0-812|+      -            271 104832at50557        -            207   6.7e-77  256.5  14.3   1   1   2.3e-77   4.2e-75  250.7  14.3     1   205     1   257     1   261 0.84 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 104832at50557        -            207   1.4e-12   46.4   3.0   1   4      0.51        92    1.3   0.0   145   164    44    63    25    87 0.78 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 104832at50557        -            207   1.4e-12   46.4   3.0   2   4   0.00057       0.1   10.9   0.1   125   166   106   152    98   178 0.78 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 104832at50557        -            207   1.4e-12   46.4   3.0   3   4   1.6e-05    0.0028   16.0   0.3   124   165   198   244   156   270 0.69 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 104832at50557        -            207   1.4e-12   46.4   3.0   4   4     2e-05    0.0036   15.7   0.2   121   166   295   348   256   348 0.70 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 104832at50557        -            207   1.9e-12   46.0   3.4   1   4      0.53        95    1.2   0.0   145   164    44    63    29    87 0.77 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 104832at50557        -            207   1.9e-12   46.0   3.4   2   4   0.00057       0.1   10.9   0.1   125   166   106   152    98   178 0.78 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 104832at50557        -            207   1.9e-12   46.0   3.4   3   4   1.6e-05    0.0028   16.0   0.3   124   165   198   244   156   270 0.69 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 104832at50557        -            207   1.9e-12   46.0   3.4   4   4     2e-05    0.0036   15.7   0.2   121   166   295   348   256   348 0.70 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   1   4      0.44        80    1.5   0.0   145   166    44    65    24    87 0.79 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   2   4    0.0003     0.054   11.9   0.1   125   166   106   152    97   179 0.78 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   3   4   0.00011      0.02   13.2   0.1   124   165   198   244   156   267 0.79 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   4   4     2e-05    0.0036   15.7   0.2   121   166   295   348   258   348 0.69 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   1   4      0.44        80    1.5   0.0   145   166    44    65    24    87 0.79 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   2   4    0.0003     0.054   11.9   0.1   125   166   106   152    97   179 0.78 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   3   4   0.00011      0.02   13.2   0.1   124   165   198   244   156   267 0.79 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   4   4     2e-05    0.0036   15.7   0.2   121   166   295   348   258   348 0.69 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   1   4      0.44        80    1.5   0.0   145   166    44    65    24    87 0.79 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   2   4    0.0003     0.054   11.9   0.1   125   166   106   152    97   179 0.78 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   3   4   0.00011      0.02   13.2   0.1   124   165   198   244   156   267 0.79 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 104832at50557        -            207   3.5e-12   45.1   2.6   4   4     2e-05    0.0036   15.7   0.2   121   166   295   348   258   348 0.69 -
83433at50557_166361_0:0030d8|STRG.15439.4:2552-3112|+  -            187 104832at50557        -            207   7.4e-07   27.7   0.1   1   2   0.00086      0.15   10.4   0.0   145   175    35    69    17    83 0.78 -
83433at50557_166361_0:0030d8|STRG.15439.4:2552-3112|+  -            187 104832at50557        -            207   7.4e-07   27.7   0.1   2   2     2e-05    0.0035   15.7   0.0   124   167    94   143    72   182 0.76 -
117816at50557_29058_0:000b65|STRG.15439.1:928-1401|+   -            158 104832at50557        -            207   7.7e-07   27.7   0.1   1   2   0.00059      0.11   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.15439.1:928-1401|+   -            158 104832at50557        -            207   7.7e-07   27.7   0.1   2   2   3.2e-05    0.0058   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_29058_0:000b65|STRG.15439.2:481-954|+    -            158 104832at50557        -            207   7.7e-07   27.7   0.1   1   2   0.00059      0.11   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.15439.2:481-954|+    -            158 104832at50557        -            207   7.7e-07   27.7   0.1   2   2   3.2e-05    0.0058   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_29058_0:000b65|STRG.15439.3:400-873|+    -            158 104832at50557        -            207   7.7e-07   27.7   0.1   1   2   0.00059      0.11   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.15439.3:400-873|+    -            158 104832at50557        -            207   7.7e-07   27.7   0.1   2   2   3.2e-05    0.0058   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_29058_0:000b65|STRG.15439.5:876-1349|+   -            158 104832at50557        -            207   7.7e-07   27.7   0.1   1   2   0.00059      0.11   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.15439.5:876-1349|+   -            158 104832at50557        -            207   7.7e-07   27.7   0.1   2   2   3.2e-05    0.0058   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_29058_0:000b65|STRG.15439.6:518-991|+    -            158 104832at50557        -            207   7.7e-07   27.7   0.1   1   2   0.00059      0.11   10.9   0.0   145   174    38    71    15    85 0.78 -
117816at50557_29058_0:000b65|STRG.15439.6:518-991|+    -            158 104832at50557        -            207   7.7e-07   27.7   0.1   2   2   3.2e-05    0.0058   15.0   0.0   124   166    97   145    75   148 0.81 -
117816at50557_7200_0:0014c2|STRG.24179.2:1392-2324|+   -            311 104832at50557        -            207   2.1e-06   26.3   0.0   1   3    0.0013      0.23    9.8   0.0   144   176    33    69    18    92 0.79 -
117816at50557_7200_0:0014c2|STRG.24179.2:1392-2324|+   -            311 104832at50557        -            207   2.1e-06   26.3   0.0   2   3    0.0022       0.4    9.0   0.0   142   167   130   155   126   176 0.87 -
