#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
120478at50557_103372_0:000c5c|STRG.9955.1:206-688|+  -            161 120478at50557        -            136   2.1e-70  234.2   0.1   1   1   6.6e-73   2.4e-70  234.0   0.1     1   136     3   160     3   160 0.94 -
42193at50557_103372_0:0016db|STRG.7783.10:191-1762|+ -            524 120478at50557        -            136   3.9e-35  120.0   0.6   1   2       1.3   4.7e+02   -0.1   0.1    72   126    95   151    87   158 0.70 -
42193at50557_103372_0:0016db|STRG.7783.10:191-1762|+ -            524 120478at50557        -            136   3.9e-35  120.0   0.6   2   2   5.6e-37     2e-34  117.6   0.1     3   120   287   422   285   439 0.86 -
42193at50557_103372_0:0016db|STRG.7783.9:191-1762|+  -            524 120478at50557        -            136   3.9e-35  120.0   0.6   1   2       1.3   4.7e+02   -0.1   0.1    72   126    95   151    87   158 0.70 -
42193at50557_103372_0:0016db|STRG.7783.9:191-1762|+  -            524 120478at50557        -            136   3.9e-35  120.0   0.6   2   2   5.6e-37     2e-34  117.6   0.1     3   120   287   422   285   439 0.86 -
27737at50557_13686_0:00042a|STRG.14684.1:111-1943|+  -            611 120478at50557        -            136   9.6e-34  115.5   0.1   1   2       2.9   1.1e+03   -1.3   0.0    28    61    48    84    33   118 0.64 -
27737at50557_13686_0:00042a|STRG.14684.1:111-1943|+  -            611 120478at50557        -            136   9.6e-34  115.5   0.1   2   2   1.1e-35   4.1e-33  113.4   0.0     3   129   461   609   459   611 0.87 -
42193at50557_1629725_0:001f1e|STRG.13131.1:129-707|+ -            193 120478at50557        -            136   3.8e-27   94.1   0.0   1   1   1.3e-29   4.8e-27   93.8   0.0     1   104    18   136    18   174 0.84 -
42193at50557_123851_0:000a5d|STRG.14914.1:239-673|+  -            145 120478at50557        -            136   5.9e-26   90.2   0.0   1   1   1.9e-28     7e-26   90.0   0.0     2   115     3   131     2   143 0.88 -
27737at50557_67767_0:00339d|STRG.16544.1:154-624|+   -            157 120478at50557        -            136     3e-23   81.5   0.1   1   1   1.1e-25   3.9e-23   81.1   0.1     7   115    16   142    10   156 0.81 -
27737at50557_67767_0:00339d|STRG.16544.3:445-915|+   -            157 120478at50557        -            136     3e-23   81.5   0.1   1   1   1.1e-25   3.9e-23   81.1   0.1     7   115    16   142    10   156 0.81 -
42193at50557_123851_0:000a5d|STRG.970.1:315-758|+    -            148 120478at50557        -            136   5.5e-21   74.1   0.0   1   1   1.9e-23   6.9e-21   73.8   0.0     7   116     1   128     1   143 0.81 -
27737at50557_67767_0:00339d|STRG.15877.1:433-891|+   -            153 120478at50557        -            136     7e-20   70.6   0.0   1   1   2.6e-22   9.5e-20   70.1   0.0     5   115    13   141    10   151 0.81 -
27737at50557_67767_0:00339d|STRG.15878.1:614-1072|+  -            153 120478at50557        -            136     7e-20   70.6   0.0   1   1   2.6e-22   9.5e-20   70.1   0.0     5   115    13   141    10   151 0.81 -
27737at50557_67767_0:00339d|STRG.4093.1:132-623|+    -            164 120478at50557        -            136   2.6e-19   68.7   0.1   1   1   8.8e-22   3.2e-19   68.4   0.1     8   122    23   155    16   164 0.78 -
27737at50557_121845_0:000a82|STRG.2320.1:313-910|+   -            165 120478at50557        -            136     5e-19   67.8   0.3   1   1   2.7e-20     1e-17   63.6   0.3     7   117    13   152    10   160 0.76 -
