#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
92311at50557_520822_0:001f52|STRG.8719.1:0-1070|+  -            357 92311at50557         -            231  2.1e-100  333.8   0.3   1   1  1.5e-103  3.1e-100  333.3   0.3     1   231    51   306    51   306 0.92 -
37156at50557_7091_0:002db3|STRG.11282.1:206-1840|+ -            521 92311at50557         -            231    0.0057   15.0   0.5   1   3     0.058   1.2e+02    0.9   0.0   156   181     8    33     4    39 0.90 -
37156at50557_7091_0:002db3|STRG.11282.1:206-1840|+ -            521 92311at50557         -            231    0.0057   15.0   0.5   2   3   6.9e-05      0.14   10.4   0.0    83   139   238   296   222   306 0.77 -
37156at50557_7091_0:002db3|STRG.11282.1:206-1840|+ -            521 92311at50557         -            231    0.0057   15.0   0.5   3   3      0.26   5.3e+02   -1.3   0.0    47    86   379   418   376   433 0.83 -
37156at50557_7159_0:003028|STRG.11282.2:21-1598|+  -            526 92311at50557         -            231    0.0059   14.9   0.5   1   3     0.059   1.2e+02    0.8   0.0   156   181     8    33     4    39 0.90 -
37156at50557_7159_0:003028|STRG.11282.2:21-1598|+  -            526 92311at50557         -            231    0.0059   14.9   0.5   2   3     7e-05      0.14   10.4   0.0    83   139   238   296   222   306 0.77 -
37156at50557_7159_0:003028|STRG.11282.2:21-1598|+  -            526 92311at50557         -            231    0.0059   14.9   0.5   3   3      0.26   5.3e+02   -1.3   0.0    47    86   381   420   378   435 0.83 -
73786at50557_34720_0:000d9d|STRG.15641.1:0-1664|+  -            555 92311at50557         -            231       1.4    7.2   5.5   1   2    0.0011       2.2    6.5   0.7    74   123   257   306   253   314 0.94 -
73786at50557_34720_0:000d9d|STRG.15641.1:0-1664|+  -            555 92311at50557         -            231       1.4    7.2   5.5   2   2     0.023        46    2.2   0.3    74   117   466   509   434   515 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/92311at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/92311at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/92311at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:20:38 2024
# [ok]
