#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30983at50557_103372_0:001d08|STRG.1537.1:101-2116|+ -            672 30983at50557         -            589         0 1094.0  37.9   1   1         0         0 1093.7  37.9     1   589     7   663     7   663 0.93 -
15852at50557_103372_0:0023aa|STRG.3289.1:0-2792|+   -            931 30983at50557         -            589   1.6e-26   91.8   5.2   1   4    0.0075       6.7    3.9   0.0    71    99   299   327   272   352 0.49 -
15852at50557_103372_0:0023aa|STRG.3289.1:0-2792|+   -            931 30983at50557         -            589   1.6e-26   91.8   5.2   2   4   9.4e-15   8.5e-12   43.2   2.2    60   293   352   585   343   588 0.80 -
15852at50557_103372_0:0023aa|STRG.3289.1:0-2792|+   -            931 30983at50557         -            589   1.6e-26   91.8   5.2   3   4   1.8e-12   1.6e-09   35.6   0.0    72   272   531   731   530   733 0.93 -
15852at50557_103372_0:0023aa|STRG.3289.1:0-2792|+   -            931 30983at50557         -            589   1.6e-26   91.8   5.2   4   4   4.5e-11   4.1e-08   31.1   0.1    46   229   708   892   698   902 0.87 -
15589at50557_456900_0:000a2c|STRG.19873.1:0-2492|+  -            831 30983at50557         -            589   2.2e-26   91.4  35.5   1   5   8.3e-08   7.5e-05   20.3   8.6    59   203     7   162     3   207 0.74 -
15589at50557_456900_0:000a2c|STRG.19873.1:0-2492|+  -            831 30983at50557         -            589   2.2e-26   91.4  35.5   2   5     0.003       2.7    5.2   0.2   211   355   248   288   218   300 0.56 -
15589at50557_456900_0:000a2c|STRG.19873.1:0-2492|+  -            831 30983at50557         -            589   2.2e-26   91.4  35.5   3   5   5.1e-08   4.6e-05   21.0   4.7   304   419   332   456   238   495 0.60 -
15589at50557_456900_0:000a2c|STRG.19873.1:0-2492|+  -            831 30983at50557         -            589   2.2e-26   91.4  35.5   4   5     5e-10   4.5e-07   27.6   2.3    71   233   378   531   373   546 0.84 -
15589at50557_456900_0:000a2c|STRG.19873.1:0-2492|+  -            831 30983at50557         -            589   2.2e-26   91.4  35.5   5   5   2.3e-16     2e-13   48.6   6.3   310   537   505   740   504   755 0.69 -
15589at50557_456900_0:000a2c|STRG.19873.2:0-2444|+  -            778 30983at50557         -            589   1.9e-22   78.4  33.1   1   5   9.6e-08   8.6e-05   20.1   7.9    59   202     7   161     3   169 0.81 -
