#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
86747at50557_34720_0:00048d|STRG.1978.1:371-1504|+ -            378 86747at50557         -            246   1.6e-80  269.2   8.8   1   1   1.7e-82   1.9e-79  265.6   8.8     1   236    60   350    60   358 0.89 -
13778at50557_103372_0:00133a|STRG.913.1:91-2904|+  -            938 86747at50557         -            246   6.4e-05   21.6  14.2   1   4   1.4e-06    0.0015   17.1   0.6    55   144   153   243   135   260 0.79 -
13778at50557_103372_0:00133a|STRG.913.1:91-2904|+  -            938 86747at50557         -            246   6.4e-05   21.6  14.2   2   4     0.048        53    2.2   0.1    63   105   443   484   423   490 0.81 -
13778at50557_103372_0:00133a|STRG.913.1:91-2904|+  -            938 86747at50557         -            246   6.4e-05   21.6  14.2   3   4     0.011        12    4.3   0.1    80   150   752   821   718   827 0.83 -
13778at50557_103372_0:00133a|STRG.913.1:91-2904|+  -            938 86747at50557         -            246   6.4e-05   21.6  14.2   4   4      0.01        11    4.4   0.4    91   145   848   902   843   914 0.84 -
13778at50557_103372_0:00133a|STRG.913.2:91-2904|+  -            938 86747at50557         -            246   6.4e-05   21.6  14.2   1   4   1.4e-06    0.0015   17.1   0.6    55   144   153   243   135   260 0.79 -
13778at50557_103372_0:00133a|STRG.913.2:91-2904|+  -            938 86747at50557         -            246   6.4e-05   21.6  14.2   2   4     0.048        53    2.2   0.1    63   105   443   484   423   490 0.81 -
13778at50557_103372_0:00133a|STRG.913.2:91-2904|+  -            938 86747at50557         -            246   6.4e-05   21.6  14.2   3   4     0.011        12    4.3   0.1    80   150   752   821   718   827 0.83 -
13778at50557_103372_0:00133a|STRG.913.2:91-2904|+  -            938 86747at50557         -            246   6.4e-05   21.6  14.2   4   4      0.01        11    4.4   0.4    91   145   848   902   843   914 0.84 -
35897at50557_34720_0:0012e8|STRG.7850.1:125-2197|+ -            691 86747at50557         -            246    0.0009   17.8   9.0   1   5     0.026        28    3.1   0.7    81   143   126   186    88   200 0.71 -
35897at50557_34720_0:0012e8|STRG.7850.1:125-2197|+ -            691 86747at50557         -            246    0.0009   17.8   9.0   2   5     0.022        24    3.3   0.0    82   151   267   334   261   349 0.84 -
35897at50557_34720_0:0012e8|STRG.7850.1:125-2197|+ -            691 86747at50557         -            246    0.0009   17.8   9.0   3   5      0.15   1.7e+02    0.6   0.1    94   155   320   379   310   426 0.62 -
35897at50557_34720_0:0012e8|STRG.7850.1:125-2197|+ -            691 86747at50557         -            246    0.0009   17.8   9.0   4   5   2.3e-05     0.026   13.1   0.0    83   151   525   591   522   596 0.91 -
35897at50557_34720_0:0012e8|STRG.7850.1:125-2197|+ -            691 86747at50557         -            246    0.0009   17.8   9.0   5   5       2.6   2.8e+03   -3.5   0.0    91   147   615   669   603   673 0.60 -
35897at50557_34720_0:0012e8|STRG.7850.2:119-2200|+ -            694 86747at50557         -            246   0.00096   17.7   9.1   1   5     0.026        28    3.1   0.7    81   143   126   186    88   200 0.71 -
35897at50557_34720_0:0012e8|STRG.7850.2:119-2200|+ -            694 86747at50557         -            246   0.00096   17.7   9.1   2   5     0.022        24    3.3   0.0    82   151   267   334   261   350 0.84 -
35897at50557_34720_0:0012e8|STRG.7850.2:119-2200|+ -            694 86747at50557         -            246   0.00096   17.7   9.1   3   5      0.91     1e+03   -2.0   0.0   122   151   392   421   385   429 0.80 -
35897at50557_34720_0:0012e8|STRG.7850.2:119-2200|+ -            694 86747at50557         -            246   0.00096   17.7   9.1   4   5   1.8e-05      0.02   13.4   0.0    83   151   525   591   488   596 0.90 -
35897at50557_34720_0:0012e8|STRG.7850.2:119-2200|+ -            694 86747at50557         -            246   0.00096   17.7   9.1   5   5       2.6   2.9e+03   -3.5   0.0    91   147   615   669   603   673 0.60 -
34630at50557_34720_0:00024b|STRG.923.3:558-1883|+  -            442 86747at50557         -            246     0.047   12.2   0.0   1   1   6.6e-05     0.072   11.6   0.0   115   167   179   233   160   237 0.80 -
34630at50557_34720_0:00024b|STRG.923.1:3446-5287|+ -            614 86747at50557         -            246     0.069   11.7   0.0   1   1    0.0001      0.11   10.9   0.0   115   167   179   233   160   237 0.80 -
34630at50557_34720_0:00024b|STRG.923.2:9-1850|+    -            614 86747at50557         -            246     0.069   11.7   0.0   1   1    0.0001      0.11   10.9   0.0   115   167   179   233   160   237 0.80 -
10664at50557_103372_0:000ca5|STRG.9872.1:5-3325|+  -           1107 86747at50557         -            246      0.38    9.2   9.2   1   6       2.9   3.1e+03   -3.6   0.0   168   180    47    59    46    69 0.85 -
10664at50557_103372_0:000ca5|STRG.9872.1:5-3325|+  -           1107 86747at50557         -            246      0.38    9.2   9.2   2   6     0.049        54    2.2   0.1    88   114   101   127    99   150 0.92 -
10664at50557_103372_0:000ca5|STRG.9872.1:5-3325|+  -           1107 86747at50557         -            246      0.38    9.2   9.2   3   6       0.7   7.7e+02   -1.6   0.1   107   138   225   256   173   336 0.55 -
10664at50557_103372_0:000ca5|STRG.9872.1:5-3325|+  -           1107 86747at50557         -            246      0.38    9.2   9.2   4   6      0.55   6.1e+02   -1.3   0.0   127   155   369   396   362   406 0.79 -
10664at50557_103372_0:000ca5|STRG.9872.1:5-3325|+  -           1107 86747at50557         -            246      0.38    9.2   9.2   5   6   0.00036      0.39    9.2   0.0    89   152   414   477   411   560 0.76 -
10664at50557_103372_0:000ca5|STRG.9872.1:5-3325|+  -           1107 86747at50557         -            246      0.38    9.2   9.2   6   6         2   2.3e+03   -3.1   0.1   188   188   789   789   759   845 0.46 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/86747at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/86747at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/86747at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:13:01 2024
# [ok]
