#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
149245at50557_34720_0:0007e8|STRG.3406.1:347-763|+   -            139 149245at50557        -             62   9.9e-32  107.6   0.1   1   1   2.3e-34   1.6e-31  107.0   0.1     5    59    30    84    28    87 0.95 -
75748at50557_535359_0:0007e6|STRG.7854.1:182-349|+   -             56 149245at50557        -             62   6.4e-05   21.8   0.1   1   1     1e-07   7.1e-05   21.6   0.1    19    50    25    56     3    56 0.84 -
75748at50557_535359_0:0007e6|STRG.7854.2:592-759|+   -             56 149245at50557        -             62   6.4e-05   21.8   0.1   1   1     1e-07   7.1e-05   21.6   0.1    19    50    25    56     3    56 0.84 -
139832at50557_326594_0:00063f|STRG.2378.1:681-1016|+ -            112 149245at50557        -             62   8.9e-05   21.3   0.0   1   1   1.9e-07   0.00014   20.7   0.0    18    47    83   112    66   112 0.86 -
139832at50557_7038_0:002dbe|STRG.8992.1:280-648|+    -            123 149245at50557        -             62    0.0017   17.2   0.0   1   1   3.3e-06    0.0023   16.7   0.0    11    51    79   119    70   123 0.80 -
139832at50557_315563_0:0025cb|STRG.14416.1:682-909|+ -             76 149245at50557        -             62    0.0068   15.3   0.0   1   1   1.2e-05    0.0087   14.9   0.0     8    47    37    76    26    76 0.83 -
114148at50557_456900_0:001b0d|STRG.7517.8:68-760|+   -            231 149245at50557        -             62     0.013   14.4   0.0   1   1   3.8e-05     0.027   13.4   0.0    20    49    85   118    68   129 0.77 -
114148at50557_456900_0:001b0d|STRG.7517.3:259-990|+  -            244 149245at50557        -             62     0.014   14.3   0.1   1   1   4.3e-05      0.03   13.2   0.1    20    49    98   131    82   142 0.77 -
114148at50557_456900_0:001b0d|STRG.7517.4:233-964|+  -            244 149245at50557        -             62     0.014   14.3   0.1   1   1   4.3e-05      0.03   13.2   0.1    20    49    98   131    82   142 0.77 -
114148at50557_456900_0:001b0d|STRG.7517.2:259-993|+  -            245 149245at50557        -             62     0.014   14.2   0.1   1   1   4.3e-05      0.03   13.2   0.1    20    49    99   132    83   143 0.77 -
114148at50557_456900_0:001b0d|STRG.7517.1:259-990|+  -            244 149245at50557        -             62     0.014   14.2   0.1   1   1   4.3e-05      0.03   13.2   0.1    20    49    98   131    82   142 0.77 -
114148at50557_456900_0:001b0d|STRG.7517.7:233-964|+  -            244 149245at50557        -             62     0.014   14.2   0.1   1   1   4.3e-05      0.03   13.2   0.1    20    49    98   131    82   142 0.77 -
114148at50557_411798_0:002c13|STRG.7517.6:221-1468|+ -            245 149245at50557        -             62     0.014   14.2   0.1   1   1   4.3e-05      0.03   13.2   0.1    20    49    99   132    83   143 0.77 -
114148at50557_456900_0:001b0d|STRG.7517.5:233-1045|+ -            271 149245at50557        -             62     0.017   14.0   0.1   1   1     5e-05     0.035   13.0   0.1    20    49   125   158   109   169 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/149245at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/149245at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/149245at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:07:04 2024
# [ok]
