#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108301at50557_103372_0:000620|STRG.12178.1:263-1063|+ -            267 108301at50557        -            228  4.9e-109  362.2  11.8   1   1  2.9e-111  6.6e-109  361.8  11.8     1   227    13   266    13   267 0.97 -
35300at50557_34720_0:001070|STRG.6825.1:159-3353|+    -           1065 108301at50557        -            228   2.6e-64  215.9  36.8   1   8     2e-32   4.7e-30  103.8   2.5    39   152    19   132     3   163 0.90 -
35300at50557_34720_0:001070|STRG.6825.1:159-3353|+    -           1065 108301at50557        -            228   2.6e-64  215.9  36.8   2   8      0.54   1.2e+02    1.0   0.0   112   158   221   273   211   284 0.75 -
35300at50557_34720_0:001070|STRG.6825.1:159-3353|+    -           1065 108301at50557        -            228   2.6e-64  215.9  36.8   3   8    0.0004     0.091   11.3   0.0    99   162   286   349   276   359 0.92 -
35300at50557_34720_0:001070|STRG.6825.1:159-3353|+    -           1065 108301at50557        -            228   2.6e-64  215.9  36.8   4   8       9.1   2.1e+03   -3.0   0.1   104   127   403   426   376   430 0.70 -
35300at50557_34720_0:001070|STRG.6825.1:159-3353|+    -           1065 108301at50557        -            228   2.6e-64  215.9  36.8   5   8     1e-28   2.4e-26   91.7   5.3    24   155   535   664   514   671 0.85 -
35300at50557_34720_0:001070|STRG.6825.1:159-3353|+    -           1065 108301at50557        -            228   2.6e-64  215.9  36.8   6   8      0.38        87    1.5   0.0   123   164   764   805   737   813 0.78 -
35300at50557_34720_0:001070|STRG.6825.1:159-3353|+    -           1065 108301at50557        -            228   2.6e-64  215.9  36.8   7   8   1.1e-06   0.00025   19.7   0.0   112   162   826   876   818   895 0.88 -
35300at50557_34720_0:001070|STRG.6825.1:159-3353|+    -           1065 108301at50557        -            228   2.6e-64  215.9  36.8   8   8      0.21        48    2.4   1.4    67   153   932  1024   914  1046 0.68 -
57156at50557_103372_0:001116|STRG.4354.1:186-1814|+   -            543 108301at50557        -            228   3.2e-51  173.1  24.2   1   3   2.5e-22   5.8e-20   70.8   0.3    57   169     8   115     2   130 0.93 -
57156at50557_103372_0:001116|STRG.4354.1:186-1814|+   -            543 108301at50557        -            228   3.2e-51  173.1  24.2   2   3   3.2e-08   7.3e-06   24.7  11.0    41   178   214   352   185   356 0.78 -
57156at50557_103372_0:001116|STRG.4354.1:186-1814|+   -            543 108301at50557        -            228   3.2e-51  173.1  24.2   3   3   3.7e-26   8.6e-24   83.3   5.3    31   170   337   473   308   492 0.83 -
35300at50557_103372_0:002ae9|STRG.8353.1:420-2183|+   -            588 108301at50557        -            228     8e-39  132.5  17.1   1   5     2e-31   4.5e-29  100.6   5.9    45   155    81   191    39   224 0.89 -
35300at50557_103372_0:002ae9|STRG.8353.1:420-2183|+   -            588 108301at50557        -            228     8e-39  132.5  17.1   2   5       1.7   3.9e+02   -0.6   0.0   126   164   294   332   268   339 0.84 -
35300at50557_103372_0:002ae9|STRG.8353.1:420-2183|+   -            588 108301at50557        -            228     8e-39  132.5  17.1   3   5   1.2e-07   2.7e-05   22.8   0.0    99   160   339   400   326   410 0.93 -
35300at50557_103372_0:002ae9|STRG.8353.1:420-2183|+   -            588 108301at50557        -            228     8e-39  132.5  17.1   4   5   0.00099      0.23   10.0   0.2   109   162   424   480   415   487 0.86 -
35300at50557_103372_0:002ae9|STRG.8353.1:420-2183|+   -            588 108301at50557        -            228     8e-39  132.5  17.1   5   5      0.16        38    2.7   0.1    62   111   522   569   496   576 0.79 -
41065at50557_133901_0:001440|STRG.9215.1:368-1702|+   -            445 108301at50557        -            228   3.3e-32  110.9  30.5   1   3   4.6e-12   1.1e-09   37.2   0.8    68   168     2    97     1   108 0.91 -
41065at50557_133901_0:001440|STRG.9215.1:368-1702|+   -            445 108301at50557        -            228   3.3e-32  110.9  30.5   2   3   0.00037     0.086   11.4   1.0    83   171   128   214   104   217 0.81 -
41065at50557_133901_0:001440|STRG.9215.1:368-1702|+   -            445 108301at50557        -            228   3.3e-32  110.9  30.5   3   3   2.1e-23   4.7e-21   74.4  13.2    53   176   215   337   209   349 0.90 -
108301at50557_7493_0:0013fe|STRG.12335.1:588-1013|+   -            142 108301at50557        -            228   5.6e-28   97.0   5.3   1   1   2.8e-30   6.6e-28   96.8   5.3    41   170     2   126     1   134 0.94 -
108301at50557_7493_0:0013fe|STRG.12335.2:563-988|+    -            142 108301at50557        -            228   5.6e-28   97.0   5.3   1   1   2.8e-30   6.6e-28   96.8   5.3    41   170     2   126     1   134 0.94 -
13778at50557_103372_0:00133a|STRG.913.1:91-2904|+     -            938 108301at50557        -            228   6.4e-25   87.0   4.8   1   1   6.8e-27   1.6e-24   85.8   4.8    51   180     4   132     1   153 0.93 -
13778at50557_103372_0:00133a|STRG.913.2:91-2904|+     -            938 108301at50557        -            228   6.4e-25   87.0   4.8   1   1   6.8e-27   1.6e-24   85.8   4.8    51   180     4   132     1   153 0.93 -
138527at50557_315563_0:000b19|STRG.16474.1:152-991|+  -            280 108301at50557        -            228   1.1e-23   82.9   7.2   1   1   7.4e-26   1.7e-23   82.4   7.2    29   171    53   190    19   197 0.87 -
138527at50557_315563_0:000b19|STRG.16474.2:120-959|+  -            280 108301at50557        -            228   1.1e-23   82.9   7.2   1   1   7.4e-26   1.7e-23   82.4   7.2    29   171    53   190    19   197 0.87 -
138527at50557_315563_0:000b19|STRG.16474.3:129-968|+  -            280 108301at50557        -            228   1.1e-23   82.9   7.2   1   1   7.4e-26   1.7e-23   82.4   7.2    29   171    53   190    19   197 0.87 -
57156at50557_77166_0:0029c4|STRG.14671.1:492-1697|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   1   6    0.0011      0.26    9.8   0.0   118   160     9    51     2    55 0.91 -
57156at50557_77166_0:0029c4|STRG.14671.1:492-1697|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   2   6    0.0043      0.99    7.9   0.4    97   159    56   118    53   127 0.93 -
57156at50557_77166_0:0029c4|STRG.14671.1:492-1697|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   3   6   2.3e-05    0.0053   15.3   0.0   113   161   140   188   121   191 0.94 -
57156at50557_77166_0:0029c4|STRG.14671.1:492-1697|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   4   6   1.8e-06   0.00042   18.9   0.2    93   170   188   265   187   277 0.89 -
