#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
92898at50557_103372_0:00055a|STRG.9030.1:352-1155|+     -            268 92898at50557         -            222  2.9e-109  362.6   3.4   1   1  5.4e-111    2e-108  359.9   3.4     1   222     3   249     3   249 0.95 -
60961at50557_41427_0:00202e|STRG.6839.1:1567-2664|+     -            366 92898at50557         -            222   1.1e-11   43.5   2.9   1   3   5.4e-08   2.1e-05   23.0   0.0   116   176    48   108    38   121 0.91 -
60961at50557_41427_0:00202e|STRG.6839.1:1567-2664|+     -            366 92898at50557         -            222   1.1e-11   43.5   2.9   2   3     0.031        12    4.2   0.0   117   147   158   188   144   206 0.80 -
60961at50557_41427_0:00202e|STRG.6839.1:1567-2664|+     -            366 92898at50557         -            222   1.1e-11   43.5   2.9   3   3   1.5e-05    0.0056   15.1   0.2   109   196   262   347   250   363 0.71 -
60961at50557_34720_0:0017d0|STRG.10154.1:0-1331|+       -            444 92898at50557         -            222   5.7e-09   34.7   0.0   1   2   0.00011     0.041   12.2   0.0    80   173    13   109     5   117 0.74 -
60961at50557_34720_0:0017d0|STRG.10154.1:0-1331|+       -            444 92898at50557         -            222   5.7e-09   34.7   0.0   2   2   3.9e-07   0.00015   20.2   0.0   116   177   181   241   172   252 0.88 -
65618at50557_34720_0:0013ce|STRG.8240.3:238-1563|+      -            442 92898at50557         -            222   1.7e-07   29.8   0.0   1   1   9.5e-10   3.6e-07   28.8   0.0    85   183    15   110     5   137 0.78 -
60961at50557_41427_0:00202e|STRG.1316.1:766-1869|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   1   3    0.0093       3.5    5.9   0.0   119   160    31    74    14    94 0.79 -
60961at50557_41427_0:00202e|STRG.1316.1:766-1869|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   2   3   0.00011     0.042   12.2   0.0   119   195   155   226   130   239 0.80 -
60961at50557_41427_0:00202e|STRG.1316.1:766-1869|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   3   3     0.003       1.2    7.5   0.0   123   194   284   352   268   364 0.81 -
60961at50557_41427_0:00202e|STRG.1316.2:702-1805|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   1   3    0.0093       3.5    5.9   0.0   119   160    31    74    14    94 0.79 -
60961at50557_41427_0:00202e|STRG.1316.2:702-1805|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   2   3   0.00011     0.042   12.2   0.0   119   195   155   226   130   239 0.80 -
60961at50557_41427_0:00202e|STRG.1316.2:702-1805|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   3   3     0.003       1.2    7.5   0.0   123   194   284   352   268   364 0.81 -
60961at50557_41427_0:00202e|STRG.1316.3:586-1689|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   1   3    0.0093       3.5    5.9   0.0   119   160    31    74    14    94 0.79 -
60961at50557_41427_0:00202e|STRG.1316.3:586-1689|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   2   3   0.00011     0.042   12.2   0.0   119   195   155   226   130   239 0.80 -
60961at50557_41427_0:00202e|STRG.1316.3:586-1689|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   3   3     0.003       1.2    7.5   0.0   123   194   284   352   268   364 0.81 -
60961at50557_41427_0:00202e|STRG.1316.4:586-1689|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   1   3    0.0093       3.5    5.9   0.0   119   160    31    74    14    94 0.79 -
60961at50557_41427_0:00202e|STRG.1316.4:586-1689|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   2   3   0.00011     0.042   12.2   0.0   119   195   155   226   130   239 0.80 -
60961at50557_41427_0:00202e|STRG.1316.4:586-1689|+      -            368 92898at50557         -            222   2.4e-07   29.4   0.0   3   3     0.003       1.2    7.5   0.0   123   194   284   352   268   364 0.81 -
65618at50557_34720_0:0013ce|STRG.8240.1:201-1508|+      -            436 92898at50557         -            222   4.2e-07   28.6   0.0   1   1   2.3e-09   8.7e-07   27.5   0.0   115   183    42   104     8   131 0.84 -
65618at50557_34720_0:0013ce|STRG.8240.2:201-1517|+      -            439 92898at50557         -            222   4.6e-07   28.4   0.0   1   1   2.6e-09   9.7e-07   27.4   0.0   115   183    45   107    14   134 0.85 -
138527at50557_29053_0:0022e2|STRG.1342.1:137-436|+      -            100 92898at50557         -            222   0.00016   20.1   0.0   1   1   4.7e-07   0.00018   19.9   0.0   119   192    16    81     5    97 0.82 -
65618at50557_64459_0:000660|STRG.6613.1:284-1177|+      -            298 92898at50557         -            222   0.00095   17.6   0.1   1   2   6.2e-06    0.0024   16.3   0.1   111   196     7    91     2   121 0.79 -
65618at50557_64459_0:000660|STRG.6613.1:284-1177|+      -            298 92898at50557         -            222   0.00095   17.6   0.1   2   2       6.3   2.4e+03   -3.3   0.0   104   134   142   172   140   173 0.82 -
65618at50557_64459_0:000660|STRG.6613.2:282-1127|+      -            282 92898at50557         -            222    0.0011   17.4   0.1   1   1   5.5e-06    0.0021   16.5   0.1   111   196     7    91     2   121 0.79 -
