#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_456900_0:001092|STRG.307.1:117-1994|+    -            626 35385at50557         -            530  1.6e-303 1006.6   0.5   1   1  1.9e-305  2.3e-303 1006.0   0.5     6   530    32   626    29   626 0.94 -
35385at50557_35570_0:00290c|STRG.2844.1:1014-2258|+   -            415 35385at50557         -            530   1.3e-91  307.3   0.0   1   1   1.4e-93   1.6e-91  306.9   0.0   126   495     6   414     3   415 0.87 -
29312at50557_34720_0:0009c1|STRG.4125.1:133-2436|+    -            768 35385at50557         -            530   3.9e-83  279.3   0.0   1   1   4.6e-85   5.5e-83  278.8   0.0   115   490   236   637   222   650 0.89 -
35385at50557_37001_0:001231|STRG.12011.1:406-1740|+   -            445 35385at50557         -            530   7.6e-83  278.3   0.0   1   1   8.1e-85   9.7e-83  278.0   0.0   116   488    32   431    19   442 0.86 -
35385at50557_37001_0:001231|STRG.12011.2:242-1576|+   -            445 35385at50557         -            530   7.6e-83  278.3   0.0   1   1   8.1e-85   9.7e-83  278.0   0.0   116   488    32   431    19   442 0.86 -
35385at50557_37001_0:001231|STRG.12011.3:406-1740|+   -            445 35385at50557         -            530   7.6e-83  278.3   0.0   1   1   8.1e-85   9.7e-83  278.0   0.0   116   488    32   431    19   442 0.86 -
35385at50557_7375_0:0001af|STRG.12011.5:599-1954|+    -            452 35385at50557         -            530   8.8e-83  278.1   0.0   1   1   9.5e-85   1.1e-82  277.8   0.0   116   488    40   439    27   445 0.86 -
35385at50557_7375_0:0001af|STRG.9112.1:289-1623|+     -            445 35385at50557         -            530   1.4e-81  274.1   0.0   1   1   1.6e-83   1.8e-81  273.7   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7375_0:0001af|STRG.9112.3:289-1623|+     -            445 35385at50557         -            530   1.4e-81  274.1   0.0   1   1   1.6e-83   1.8e-81  273.7   0.0   106   496    30   437    17   443 0.85 -
35385at50557_37001_0:001231|STRG.12011.4:242-2355|+   -            430 35385at50557         -            530   1.6e-81  274.0   0.0   1   1   1.6e-83   1.9e-81  273.7   0.0   116   486    32   429    19   430 0.86 -
35385at50557_7375_0:0001af|STRG.9112.2:289-2117|+     -            445 35385at50557         -            530   8.3e-81  271.6   0.0   1   1   8.9e-83   1.1e-80  271.2   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7370_0:001aad|STRG.7999.1:679-2733|+     -            685 35385at50557         -            530   1.1e-79  267.8   0.0   1   1   1.3e-81   1.6e-79  267.4   0.0   125   497    85   480    53   493 0.86 -
35385at50557_7370_0:001aad|STRG.7999.2:375-2429|+     -            685 35385at50557         -            530   1.1e-79  267.8   0.0   1   1   1.3e-81   1.6e-79  267.4   0.0   125   497    85   480    53   493 0.86 -
35385at50557_7370_0:001aad|STRG.7999.3:375-2429|+     -            685 35385at50557         -            530   1.1e-79  267.8   0.0   1   1   1.3e-81   1.6e-79  267.4   0.0   125   497    85   480    53   493 0.86 -
35385at50557_37001_0:001231|STRG.12013.2:737-2065|+   -            443 35385at50557         -            530   1.4e-79  267.5   0.0   1   1   1.5e-81   1.8e-79  267.2   0.0   113   488    31   433    15   440 0.87 -
35385at50557_37001_0:001231|STRG.12013.3:858-2186|+   -            443 35385at50557         -            530   1.4e-79  267.5   0.0   1   1   1.5e-81   1.8e-79  267.2   0.0   113   488    31   433    15   440 0.87 -
35385at50557_37001_0:001231|STRG.1830.2:1026-2255|+   -            410 35385at50557         -            530   2.3e-77  260.2   0.1   1   2   1.3e-40   1.6e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.1830.2:1026-2255|+   -            410 35385at50557         -            530   2.3e-77  260.2   0.1   2   2   6.9e-39   8.2e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.1830.3:1023-2252|+   -            410 35385at50557         -            530   2.3e-77  260.2   0.1   1   2   1.3e-40   1.6e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.1830.3:1023-2252|+   -            410 35385at50557         -            530   2.3e-77  260.2   0.1   2   2   6.9e-39   8.2e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_7370_0:001aad|STRG.5763.1:1151-2458|+    -            436 35385at50557         -            530   1.1e-76  258.0   0.1   1   1     1e-78   1.2e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
35385at50557_7370_0:001aad|STRG.5763.2:1147-2454|+    -            436 35385at50557         -            530   1.1e-76  258.0   0.1   1   1     1e-78   1.2e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
35385at50557_7370_0:001aad|STRG.5763.3:909-2216|+     -            436 35385at50557         -            530   1.1e-76  258.0   0.1   1   1     1e-78   1.2e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
35385at50557_7370_0:001aad|STRG.5763.4:1002-2309|+    -            436 35385at50557         -            530   1.1e-76  258.0   0.1   1   1     1e-78   1.2e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
35385at50557_7370_0:001aad|STRG.5763.5:1114-2421|+    -            436 35385at50557         -            530   1.1e-76  258.0   0.1   1   1     1e-78   1.2e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
35385at50557_7370_0:001aad|STRG.5763.6:804-2111|+     -            436 35385at50557         -            530   1.1e-76  258.0   0.1   1   1     1e-78   1.2e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
35385at50557_7370_0:001aad|STRG.5763.7:1021-2328|+    -            436 35385at50557         -            530   1.1e-76  258.0   0.1   1   1     1e-78   1.2e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
35385at50557_7370_0:001aad|STRG.5763.8:986-2293|+     -            436 35385at50557         -            530   1.1e-76  258.0   0.1   1   1     1e-78   1.2e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
18450at50557_1155016_0:0026c2|STRG.6927.1:1125-2327|+ -            401 35385at50557         -            530   4.4e-73  246.1   0.0   1   1   4.4e-75   5.2e-73  245.9   0.0   126   483    10   400     2   401 0.85 -
18450at50557_1155016_0:0026c2|STRG.6927.2:1068-2270|+ -            401 35385at50557         -            530   4.4e-73  246.1   0.0   1   1   4.4e-75   5.2e-73  245.9   0.0   126   483    10   400     2   401 0.85 -
18450at50557_144034_0:001371|STRG.13693.1:169-3258|+  -           1030 35385at50557         -            530     1e-70  238.3   0.0   1   1   1.5e-72   1.8e-70  237.5   0.0   126   489   365   751   332   764 0.84 -
43304at50557_568069_0:003ee6|STRG.16896.1:184-1485|+  -            434 35385at50557         -            530   5.3e-58  196.3   1.0   1   1   5.7e-60   6.8e-58  196.0   1.0   130   472    18   375     9   418 0.86 -
29312at50557_116153_0:001f21|STRG.9559.1:754-1842|+   -            363 35385at50557         -            530   2.5e-57  194.1   0.3   1   1   2.5e-59     3e-57  193.9   0.3   130   455     1   345     1   361 0.87 -
46658at50557_28612_0:0048c7|STRG.6452.1:117-1265|+    -            383 35385at50557         -            530     5e-53  179.9   0.0   1   1   5.5e-55   6.5e-53  179.5   0.0   130   471     6   365     2   375 0.84 -
65449at50557_7274_0:002e60|STRG.7536.2:274-1776|+     -            501 35385at50557         -            530   7.3e-53  179.4   0.0   1   1     8e-55   9.5e-53  179.0   0.0   133   450    16   352     4   376 0.83 -
65449at50557_7237_0:000776|STRG.7536.1:178-1842|+     -            555 35385at50557         -            530   7.4e-53  179.3   0.0   1   1     8e-55   9.5e-53  179.0   0.0   132   450    69   406    21   430 0.83 -
46658at50557_211228_0:001f32|STRG.13341.1:224-1318|+  -            365 35385at50557         -            530   1.2e-51  175.4   1.6   1   1   1.2e-53   1.4e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
46658at50557_211228_0:001f32|STRG.13341.2:198-1292|+  -            365 35385at50557         -            530   1.2e-51  175.4   1.6   1   1   1.2e-53   1.4e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
68043at50557_34720_0:001307|STRG.7857.2:128-1804|+    -            559 35385at50557         -            530   3.9e-51  173.7   0.1   1   1   4.8e-53   5.7e-51  173.1   0.1   112   488   109   516    56   522 0.83 -
68043at50557_34720_0:001307|STRG.7857.1:128-1804|+    -            559 35385at50557         -            530   3.9e-51  173.7   0.1   1   1   4.8e-53   5.7e-51  173.1   0.1   112   488   109   516    56   522 0.83 -
18450at50557_121845_0:000f40|STRG.1830.1:1343-2287|+  -            315 35385at50557         -            530     3e-50  170.8   0.1   1   2   3.6e-41   4.3e-39  133.9   0.0   116   296    10   206     3   211 0.84 -
18450at50557_121845_0:000f40|STRG.1830.1:1343-2287|+  -            315 35385at50557         -            530     3e-50  170.8   0.1   2   2   3.4e-11   4.1e-09   35.0   0.0   293   378   228   314   215   315 0.86 -
