#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
72085at50557_520822_0:002380|STRG.12245.3:0-1535|+    -            512 72085at50557         -            399  3.7e-167  554.8   0.0   1   1  6.8e-169  6.1e-167  554.1   0.0     1   399    35   505    35   505 0.91 -
72085at50557_64793_0:002c2e|STRG.12245.2:148-1071|+   -            245 72085at50557         -            399     3e-82  275.2   0.0   1   1     6e-84   5.4e-82  274.4   0.0   204   399    13   238     2   238 0.91 -
72085at50557_64793_0:002c2e|STRG.12245.1:148-1093|+   -            245 72085at50557         -            399   3.4e-81  271.7   0.0   1   1   6.9e-83   6.2e-81  270.9   0.0   204   399    13   238     2   238 0.91 -
108140at50557_7070_0:0020e2|STRG.4125.1:160-1599|+    -            480 72085at50557         -            399   1.1e-65  220.6   0.0   1   1   1.1e-66   9.5e-65  217.6   0.0     1   387     1   455     1   461 0.81 -
108140at50557_7070_0:0020e2|STRG.16680.1:375-1805|+   -            477 72085at50557         -            399   7.5e-65  217.9   0.4   1   1   6.9e-65   6.2e-63  211.6   0.4     2   387     2   454     1   457 0.80 -
108140at50557_7070_0:0020e2|STRG.16680.2:147-1577|+   -            477 72085at50557         -            399   7.5e-65  217.9   0.4   1   1   6.9e-65   6.2e-63  211.6   0.4     2   387     2   454     1   457 0.80 -
72085at50557_166423_0:000770|STRG.12245.4:206-799|+   -            198 72085at50557         -            399   1.2e-57  194.3   0.0   1   1   1.5e-59   1.3e-57  194.0   0.0     1   141    35   198    35   198 0.88 -
72085at50557_29053_0:000718|STRG.13787.1:966-2372|+   -            469 72085at50557         -            399   1.6e-31  108.1   0.1   1   2   4.4e-06    0.0004   18.0   0.0     9   110    19   125    13   154 0.78 -
72085at50557_29053_0:000718|STRG.13787.1:966-2372|+   -            469 72085at50557         -            399   1.6e-31  108.1   0.1   2   2   1.9e-27   1.8e-25   88.3   0.0   182   385   227   441   161   445 0.80 -
94143at50557_121845_0:0041d2|STRG.11889.2:649-2016|+  -            456 72085at50557         -            399   3.1e-31  107.2   0.4   1   1   1.7e-30   1.5e-28   98.4   0.4     4   383    27   455    25   456 0.76 -
94143at50557_121845_0:0041d2|STRG.11889.3:42-1409|+   -            456 72085at50557         -            399   3.1e-31  107.2   0.4   1   1   1.7e-30   1.5e-28   98.4   0.4     4   383    27   455    25   456 0.76 -
126811at50557_39758_0:001e02|STRG.9919.1:249-1442|+   -            398 72085at50557         -            399   2.1e-28   97.9   0.2   1   2   1.1e-05     0.001   16.6   0.4    53   198     9   162     3   181 0.69 -
126811at50557_39758_0:001e02|STRG.9919.1:249-1442|+   -            398 72085at50557         -            399   2.1e-28   97.9   0.2   2   2   1.8e-24   1.6e-22   78.6   0.0   222   385   216   389   195   391 0.88 -
72085at50557_7130_0:001136|STRG.13787.2:1319-2401|+   -            361 72085at50557         -            399   1.5e-26   91.8   0.2   1   2      0.93        84    0.4   0.1    96   110     1    15     1    40 0.89 -
72085at50557_7130_0:001136|STRG.13787.2:1319-2401|+   -            361 72085at50557         -            399   1.5e-26   91.8   0.2   2   2   9.6e-28   8.6e-26   89.3   0.0   182   385   117   331    52   335 0.80 -
72085at50557_69820_0:000d51|STRG.10629.2:155-1615|+   -            487 72085at50557         -            399   1.6e-26   91.7   0.1   1   2   0.00063     0.056   10.9   0.0     4   111    14   118    11   198 0.68 -
72085at50557_69820_0:000d51|STRG.10629.2:155-1615|+   -            487 72085at50557         -            399   1.6e-26   91.7   0.1   2   2   1.7e-24   1.5e-22   78.6   0.0   212   384   274   460   248   466 0.85 -
72085at50557_132113_0:0003c8|STRG.10629.1:194-1648|+  -            485 72085at50557         -            399   1.7e-25   88.4   0.1   1   2    0.0017      0.16    9.4   0.0     6   107     3   101     1   169 0.77 -
72085at50557_132113_0:0003c8|STRG.10629.1:194-1648|+  -            485 72085at50557         -            399   1.7e-25   88.4   0.1   2   2     5e-24   4.5e-22   77.1   0.0   218   385   269   450   199   455 0.77 -
72085at50557_143995_0:0007fa|STRG.10629.4:21-1370|+   -            450 72085at50557         -            399   4.2e-25   87.0   0.0   1   2     0.019       1.7    6.0   0.0    51   109    19    75     5   155 0.68 -
72085at50557_143995_0:0007fa|STRG.10629.4:21-1370|+   -            450 72085at50557         -            399   4.2e-25   87.0   0.0   2   2   1.4e-24   1.2e-22   78.9   0.0   212   384   232   418   206   424 0.85 -
126811at50557_39758_0:001e02|STRG.6338.1:234-1616|+   -            461 72085at50557         -            399   1.1e-24   85.6   0.6   1   3     0.031       2.8    5.3   0.0    38   106     1    65     1    80 0.84 -
126811at50557_39758_0:001e02|STRG.6338.1:234-1616|+   -            461 72085at50557         -            399   1.1e-24   85.6   0.6   2   3       1.4   1.3e+02   -0.2   0.2   244   278   155   189    98   203 0.69 -
126811at50557_39758_0:001e02|STRG.6338.1:234-1616|+   -            461 72085at50557         -            399   1.1e-24   85.6   0.6   3   3   6.2e-24   5.6e-22   76.7   0.1   215   384   258   443   194   451 0.77 -
94143at50557_93721_0:002ec0|STRG.11889.1:1584-2186|+  -            201 72085at50557         -            399   2.5e-24   84.5   0.0   1   1   3.5e-26   3.1e-24   84.2   0.0   223   385    12   185     2   188 0.90 -
138762at50557_13249_0:0030f7|STRG.1113.1:27-1445|+    -            473 72085at50557         -            399   7.4e-24   82.9   0.1   1   2      0.35        32    1.8   0.0    54   156    60   175    52   205 0.57 -
138762at50557_13249_0:0030f7|STRG.1113.1:27-1445|+    -            473 72085at50557         -            399   7.4e-24   82.9   0.1   2   2   1.5e-24   1.4e-22   78.8   0.0   219   392   259   451   213   455 0.83 -
72085at50557_64793_0:002c2e|STRG.3105.1:770-1351|+    -            194 72085at50557         -            399   1.3e-23   82.2   0.0   1   1   1.5e-25   1.4e-23   82.1   0.0   217   382    14   193     1   194 0.84 -
72085at50557_76194_0:001f31|STRG.10629.3:157-1380|+   -            408 72085at50557         -            399     2e-23   81.5   0.0   1   2       1.7   1.5e+02   -0.4   0.0    89   109    16    36     6   113 0.58 -
72085at50557_76194_0:001f31|STRG.10629.3:157-1380|+   -            408 72085at50557         -            399     2e-23   81.5   0.0   2   2   1.1e-24   9.8e-23   79.2   0.0   212   384   193   379   167   385 0.85 -
138762at50557_13249_0:0030f7|STRG.1100.1:340-1683|+   -            448 72085at50557         -            399   6.1e-23   79.9   0.1   1   1     5e-24   4.5e-22   77.1   0.1   219   391   234   425    69   431 0.86 -
