#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
86747at50557_34720_0:00048d|STRG.2271.1:0-1133|+    -            378 86747at50557         -            246   1.3e-80  269.2   8.8   1   1   1.2e-82   1.6e-79  265.6   8.8     1   236    60   350    60   358 0.89 -
13778at50557_103372_0:00133a|STRG.1057.2:0-2798|+   -            933 86747at50557         -            246   5.3e-05   21.6  14.2   1   4     9e-07    0.0013   17.1   0.6    55   144   148   238   130   255 0.79 -
13778at50557_103372_0:00133a|STRG.1057.2:0-2798|+   -            933 86747at50557         -            246   5.3e-05   21.6  14.2   2   4     0.032        45    2.2   0.1    63   105   438   479   418   485 0.81 -
13778at50557_103372_0:00133a|STRG.1057.2:0-2798|+   -            933 86747at50557         -            246   5.3e-05   21.6  14.2   3   4    0.0074        11    4.3   0.1    80   150   747   816   713   822 0.83 -
13778at50557_103372_0:00133a|STRG.1057.2:0-2798|+   -            933 86747at50557         -            246   5.3e-05   21.6  14.2   4   4    0.0068       9.6    4.4   0.4    91   145   843   897   838   909 0.84 -
13778at50557_103372_0:00133a|STRG.1057.1:909-3722|+ -            938 86747at50557         -            246   5.5e-05   21.6  14.2   1   4   9.1e-07    0.0013   17.1   0.6    55   144   153   243   135   260 0.79 -
13778at50557_103372_0:00133a|STRG.1057.1:909-3722|+ -            938 86747at50557         -            246   5.5e-05   21.6  14.2   2   4     0.032        45    2.2   0.1    63   105   443   484   423   490 0.81 -
13778at50557_103372_0:00133a|STRG.1057.1:909-3722|+ -            938 86747at50557         -            246   5.5e-05   21.6  14.2   3   4    0.0075        11    4.3   0.1    80   150   752   821   718   827 0.83 -
13778at50557_103372_0:00133a|STRG.1057.1:909-3722|+ -            938 86747at50557         -            246   5.5e-05   21.6  14.2   4   4    0.0068       9.7    4.4   0.4    91   145   848   902   843   914 0.84 -
35897at50557_34720_0:0012e8|STRG.9199.1:0-2072|+    -            691 86747at50557         -            246   0.00077   17.8   9.0   1   5     0.017        24    3.1   0.7    81   143   126   186    88   200 0.71 -
35897at50557_34720_0:0012e8|STRG.9199.1:0-2072|+    -            691 86747at50557         -            246   0.00077   17.8   9.0   2   5     0.015        21    3.3   0.0    82   151   267   334   261   349 0.84 -
35897at50557_34720_0:0012e8|STRG.9199.1:0-2072|+    -            691 86747at50557         -            246   0.00077   17.8   9.0   3   5       0.1   1.4e+02    0.6   0.1    94   155   320   379   310   426 0.62 -
35897at50557_34720_0:0012e8|STRG.9199.1:0-2072|+    -            691 86747at50557         -            246   0.00077   17.8   9.0   4   5   1.6e-05     0.022   13.1   0.0    83   151   525   591   522   596 0.91 -
35897at50557_34720_0:0012e8|STRG.9199.1:0-2072|+    -            691 86747at50557         -            246   0.00077   17.8   9.0   5   5       1.7   2.4e+03   -3.5   0.0    91   147   615   669   603   673 0.60 -
34630at50557_34720_0:00024b|STRG.1068.1:319-2160|+  -            614 86747at50557         -            246     0.059   11.7   0.0   1   1   6.9e-05     0.098   10.9   0.0   115   167   179   233   160   237 0.80 -
10664at50557_103372_0:000ca5|STRG.11615.1:0-3338|+  -           1113 86747at50557         -            246      0.34    9.2   9.2   1   6       1.9   2.7e+03   -3.6   0.0   168   180    53    65    52    75 0.85 -
10664at50557_103372_0:000ca5|STRG.11615.1:0-3338|+  -           1113 86747at50557         -            246      0.34    9.2   9.2   2   6     0.033        46    2.2   0.1    88   114   107   133   105   156 0.92 -
10664at50557_103372_0:000ca5|STRG.11615.1:0-3338|+  -           1113 86747at50557         -            246      0.34    9.2   9.2   3   6      0.47   6.6e+02   -1.6   0.1   107   138   231   262   179   342 0.55 -
10664at50557_103372_0:000ca5|STRG.11615.1:0-3338|+  -           1113 86747at50557         -            246      0.34    9.2   9.2   4   6      0.37   5.2e+02   -1.3   0.0   127   155   375   402   368   412 0.79 -
10664at50557_103372_0:000ca5|STRG.11615.1:0-3338|+  -           1113 86747at50557         -            246      0.34    9.2   9.2   5   6   0.00024      0.34    9.2   0.0    89   152   420   483   417   566 0.76 -
10664at50557_103372_0:000ca5|STRG.11615.1:0-3338|+  -           1113 86747at50557         -            246      0.34    9.2   9.2   6   6       1.4   1.9e+03   -3.1   0.1   188   188   795   795   765   851 0.46 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/86747at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/86747at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/86747at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:57:06 2024
# [ok]
