#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
90505at50557_307658_0:00256e|STRG.11234.1:298-1650|+  -            451 90505at50557         -            359  4.5e-207  686.4   4.2   1   1  1.8e-209  1.3e-206  684.9   4.2     1   359    53   441    53   441 0.95 -
90505at50557_286706_0:002222|STRG.14078.1:2661-3482|+ -            274 90505at50557         -            359   8.6e-35  119.7   4.1   1   1   5.1e-37   3.9e-34  117.5   4.1   116   356    16   274     9   274 0.87 -
90505at50557_286706_0:002222|STRG.14078.2:2661-3482|+ -            274 90505at50557         -            359   8.6e-35  119.7   4.1   1   1   5.1e-37   3.9e-34  117.5   4.1   116   356    16   274     9   274 0.87 -
119324at50557_609295_0:001eaf|STRG.11700.1:275-784|+  -            170 90505at50557         -            359   4.2e-07   28.6   0.6   1   1   5.7e-10   4.3e-07   28.6   0.6   196   332    17   155     3   170 0.80 -
119324at50557_516756_0:001c87|STRG.2815.1:3084-3446|+ -            121 90505at50557         -            359    0.0007   18.0   0.2   1   1   9.4e-07   0.00071   18.0   0.2   217   308     2    94     1   120 0.84 -
119324at50557_516756_0:001c87|STRG.2815.2:2426-2788|+ -            121 90505at50557         -            359    0.0007   18.0   0.2   1   1   9.4e-07   0.00071   18.0   0.2   217   308     2    94     1   120 0.84 -
119324at50557_28612_0:006210|STRG.3080.1:272-754|+    -            161 90505at50557         -            359    0.0029   16.0   0.1   1   1   3.9e-06     0.003   15.9   0.1   188   302     6   123     1   161 0.70 -
119324at50557_28612_0:006210|STRG.12115.1:469-921|+   -            151 90505at50557         -            359    0.0029   16.0   0.1   1   1     7e-06    0.0053   15.1   0.1   261   312    77   128     6   133 0.68 -
119324at50557_28612_0:006210|STRG.12115.2:440-892|+   -            151 90505at50557         -            359    0.0029   16.0   0.1   1   1     7e-06    0.0053   15.1   0.1   261   312    77   128     6   133 0.68 -
119324at50557_28612_0:006210|STRG.12115.3:545-997|+   -            151 90505at50557         -            359    0.0029   16.0   0.1   1   1     7e-06    0.0053   15.1   0.1   261   312    77   128     6   133 0.68 -
119324at50557_28612_0:006210|STRG.12115.4:668-1120|+  -            151 90505at50557         -            359    0.0029   16.0   0.1   1   1     7e-06    0.0053   15.1   0.1   261   312    77   128     6   133 0.68 -
119324at50557_54969_0:002fed|STRG.11450.1:22-276|+    -             85 90505at50557         -            359     0.015   13.6   0.1   1   1   2.1e-05     0.016   13.5   0.1   270   332     3    69     1    81 0.77 -
119324at50557_29053_0:0019d1|STRG.16589.4:975-1238|+  -             88 90505at50557         -            359     0.053   11.8   0.1   1   1   7.4e-05     0.057   11.7   0.1   260   316    13    71     2    80 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/90505at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/90505at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/90505at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:13:14 2024
# [ok]
