#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106025at50557_103372_0:001869|STRG.14319.1:0-647|+   -            216 106025at50557        -            190    2e-114  378.5   0.3   1   1  5.8e-117  2.3e-114  378.3   0.3     1   190    21   216    21   216 0.96 -
125000at50557_103372_0:000d42|STRG.17511.1:0-626|+   -            209 106025at50557        -            190   1.3e-16   59.5   0.3   1   1   7.6e-19   3.1e-16   58.3   0.3     2   189    22   207    21   208 0.89 -
106854at50557_7375_0:001ea6|STRG.7929.1:450-1046|+   -            199 106025at50557        -            190   3.2e-13   48.5   0.0   1   1     1e-15   4.1e-13   48.1   0.0    58   187    65   198    10   199 0.78 -
106854at50557_7375_0:001ea6|STRG.7929.3:384-980|+    -            199 106025at50557        -            190   3.2e-13   48.5   0.0   1   1     1e-15   4.1e-13   48.1   0.0    58   187    65   198    10   199 0.78 -
106854at50557_7375_0:001ea6|STRG.7929.4:373-969|+    -            199 106025at50557        -            190   3.2e-13   48.5   0.0   1   1     1e-15   4.1e-13   48.1   0.0    58   187    65   198    10   199 0.78 -
106854at50557_103372_0:00027f|STRG.7703.4:239-865|+  -            209 106025at50557        -            190   3.1e-12   45.3   1.4   1   1   2.5e-14   9.9e-12   43.6   1.4     2   186    26   202    25   205 0.83 -
106854at50557_103372_0:00027f|STRG.7703.5:239-1211|+ -            209 106025at50557        -            190   3.9e-12   44.9   1.6   1   1     4e-14   1.6e-11   42.9   1.6     2   186    26   202    25   205 0.81 -
106854at50557_103372_0:00027f|STRG.7703.2:78-548|+   -            157 106025at50557        -            190   1.2e-11   43.3   0.1   1   1   3.8e-14   1.5e-11   43.0   0.1    54   186    20   150     9   153 0.88 -
115402at50557_143995_0:0000ed|STRG.7929.2:555-1151|+ -            199 106025at50557        -            190   8.7e-09   34.0   1.2   1   2   0.00016     0.065   11.6   0.0    60   143    32   118    11   130 0.71 -
115402at50557_143995_0:0000ed|STRG.7929.2:555-1151|+ -            199 106025at50557        -            190   8.7e-09   34.0   1.2   2   2   1.6e-07   6.4e-05   21.4   0.3   143   189   151   198   140   199 0.86 -
102079at50557_103372_0:0002b6|STRG.8858.1:0-689|+    -            230 106025at50557        -            190   0.00015   20.2   1.2   1   2       3.4   1.4e+03   -2.5   0.0     4    28    42    66    34    84 0.57 -
102079at50557_103372_0:0002b6|STRG.8858.1:0-689|+    -            230 106025at50557        -            190   0.00015   20.2   1.2   2   2   6.7e-07   0.00027   19.4   0.8   118   185   151   219   102   222 0.78 -
149673at50557_103372_0:000993|STRG.402.1:70-438|+    -            123 106025at50557        -            190     0.049   12.0   1.5   1   1   0.00015      0.06   11.7   1.5   114   188     3    77     1    79 0.87 -
149673at50557_103372_0:000993|STRG.402.2:0-365|+     -            122 106025at50557        -            190     0.053   11.9   1.3   1   1   0.00016     0.065   11.6   1.3   114   188     2    76     1    78 0.87 -
11128at50557_67767_0:0028e3|STRG.12868.7:61-804|+    -            248 106025at50557        -            190      0.11   10.8   1.1   1   2       4.7   1.9e+03   -3.0   0.0   117   138    24    45    16    52 0.77 -
11128at50557_67767_0:0028e3|STRG.12868.7:61-804|+    -            248 106025at50557        -            190      0.11   10.8   1.1   2   2   0.00044      0.18   10.2   0.3   103   145   113   155   101   161 0.89 -
11128at50557_411798_0:002d1b|STRG.12868.5:186-3572|+ -           1129 106025at50557        -            190      0.54    8.6   5.6   1   2     0.087        35    2.7   0.8   109   137   545   573   527   582 0.86 -
11128at50557_411798_0:002d1b|STRG.12868.5:186-3572|+ -           1129 106025at50557        -            190      0.54    8.6   5.6   2   2    0.0035       1.4    7.3   0.3   103   145   905   947   895   953 0.89 -
11128at50557_411798_0:002d1b|STRG.12868.2:436-3678|+ -           1081 106025at50557        -            190      0.81    8.0   6.3   1   2      0.11        43    2.4   1.2   109   137   524   552   501   561 0.87 -
11128at50557_411798_0:002d1b|STRG.12868.2:436-3678|+ -           1081 106025at50557        -            190      0.81    8.0   6.3   2   2    0.0033       1.3    7.3   0.3   103   145   884   926   874   932 0.89 -
11128at50557_411798_0:002d1b|STRG.12868.1:436-3759|+ -           1108 106025at50557        -            190      0.87    7.9   6.3   1   2      0.11        44    2.4   1.2   109   137   524   552   501   561 0.87 -
11128at50557_411798_0:002d1b|STRG.12868.1:436-3759|+ -           1108 106025at50557        -            190      0.87    7.9   6.3   2   2    0.0034       1.4    7.3   0.3   103   145   884   926   874   932 0.89 -
11128at50557_411798_0:002d1b|STRG.12868.3:75-3398|+  -           1108 106025at50557        -            190      0.87    7.9   6.3   1   2      0.11        44    2.4   1.2   109   137   524   552   501   561 0.87 -
11128at50557_411798_0:002d1b|STRG.12868.3:75-3398|+  -           1108 106025at50557        -            190      0.87    7.9   6.3   2   2    0.0034       1.4    7.3   0.3   103   145   884   926   874   932 0.89 -
11128at50557_411798_0:002d1b|STRG.12868.4:66-3389|+  -           1108 106025at50557        -            190      0.87    7.9   6.3   1   2      0.11        44    2.4   1.2   109   137   524   552   501   561 0.87 -
11128at50557_411798_0:002d1b|STRG.12868.4:66-3389|+  -           1108 106025at50557        -            190      0.87    7.9   6.3   2   2    0.0034       1.4    7.3   0.3   103   145   884   926   874   932 0.89 -
