#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35897at50557_456900_0:001f92|STRG.4764.1:146-1321|+   -            392 35897at50557         -            554  4.4e-143  474.1   8.8   1   1  6.4e-145  6.4e-143  473.6   8.8   212   554     3   386     1   386 0.89 -
35897at50557_7176_0:001a60|STRG.2242.1:902-2353|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   1   4    0.0014      0.14    7.1   0.0   303   357    17    77     3    84 0.56 -
35897at50557_7176_0:001a60|STRG.2242.1:902-2353|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   2   4   4.5e-08   4.6e-06   21.8   0.0    48   110    85   148    81   231 0.88 -
35897at50557_7176_0:001a60|STRG.2242.1:902-2353|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   3   4   3.4e-06   0.00034   15.7   0.1   258   342   305   398   295   404 0.79 -
35897at50557_7176_0:001a60|STRG.2242.1:902-2353|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   4   4     0.077       7.8    1.3   0.0   239   271   424   455   412   479 0.76 -
35897at50557_7176_0:001a60|STRG.2242.2:591-2042|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   1   4    0.0014      0.14    7.1   0.0   303   357    17    77     3    84 0.56 -
35897at50557_7176_0:001a60|STRG.2242.2:591-2042|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   2   4   4.5e-08   4.6e-06   21.8   0.0    48   110    85   148    81   231 0.88 -
35897at50557_7176_0:001a60|STRG.2242.2:591-2042|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   3   4   3.4e-06   0.00034   15.7   0.1   258   342   305   398   295   404 0.79 -
35897at50557_7176_0:001a60|STRG.2242.2:591-2042|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   4   4     0.077       7.8    1.3   0.0   239   271   424   455   412   479 0.76 -
35897at50557_7176_0:001a60|STRG.2242.3:603-2054|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   1   4    0.0014      0.14    7.1   0.0   303   357    17    77     3    84 0.56 -
35897at50557_7176_0:001a60|STRG.2242.3:603-2054|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   2   4   4.5e-08   4.6e-06   21.8   0.0    48   110    85   148    81   231 0.88 -
35897at50557_7176_0:001a60|STRG.2242.3:603-2054|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   3   4   3.4e-06   0.00034   15.7   0.1   258   342   305   398   295   404 0.79 -
35897at50557_7176_0:001a60|STRG.2242.3:603-2054|+     -            484 35897at50557         -            554   5.5e-15   51.3   0.3   4   4     0.077       7.8    1.3   0.0   239   271   424   455   412   479 0.76 -
35897at50557_568069_0:0003b4|STRG.14724.1:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   1   5     0.032       3.2    2.6   0.0   314   346     8    43     1    56 0.71 -
35897at50557_568069_0:0003b4|STRG.14724.1:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   2   5   2.6e-06   0.00026   16.1   0.5   250   359    67   184    63   189 0.76 -
35897at50557_568069_0:0003b4|STRG.14724.1:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   3   5   0.00061     0.062    8.2   1.1   290   343   190   247   178   252 0.83 -
35897at50557_568069_0:0003b4|STRG.14724.1:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   4   5   7.6e-05    0.0077   11.2   0.0   246   308   275   339   268   347 0.72 -
35897at50557_568069_0:0003b4|STRG.14724.1:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   5   5   8.8e-06   0.00089   14.3   0.1   272   346   370   449   340   452 0.80 -
35897at50557_568069_0:0003b4|STRG.14724.2:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   1   5     0.032       3.2    2.6   0.0   314   346     8    43     1    56 0.71 -
35897at50557_568069_0:0003b4|STRG.14724.2:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   2   5   2.6e-06   0.00026   16.1   0.5   250   359    67   184    63   189 0.76 -
35897at50557_568069_0:0003b4|STRG.14724.2:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   3   5   0.00061     0.062    8.2   1.1   290   343   190   247   178   252 0.83 -
35897at50557_568069_0:0003b4|STRG.14724.2:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   4   5   7.6e-05    0.0077   11.2   0.0   246   308   275   339   268   347 0.72 -
35897at50557_568069_0:0003b4|STRG.14724.2:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   5   5   8.8e-06   0.00089   14.3   0.1   272   346   370   449   340   452 0.80 -
35897at50557_568069_0:0003b4|STRG.14724.3:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   1   5     0.032       3.2    2.6   0.0   314   346     8    43     1    56 0.71 -
35897at50557_568069_0:0003b4|STRG.14724.3:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   2   5   2.6e-06   0.00026   16.1   0.5   250   359    67   184    63   189 0.76 -
35897at50557_568069_0:0003b4|STRG.14724.3:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   3   5   0.00061     0.062    8.2   1.1   290   343   190   247   178   252 0.83 -
35897at50557_568069_0:0003b4|STRG.14724.3:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   4   5   7.6e-05    0.0077   11.2   0.0   246   308   275   339   268   347 0.72 -
35897at50557_568069_0:0003b4|STRG.14724.3:892-2304|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   5   5   8.8e-06   0.00089   14.3   0.1   272   346   370   449   340   452 0.80 -
35897at50557_568069_0:0003b4|STRG.14724.4:1126-2538|+ -            471 35897at50557         -            554   9.6e-15   50.5  10.9   1   5     0.032       3.2    2.6   0.0   314   346     8    43     1    56 0.71 -
35897at50557_568069_0:0003b4|STRG.14724.4:1126-2538|+ -            471 35897at50557         -            554   9.6e-15   50.5  10.9   2   5   2.6e-06   0.00026   16.1   0.5   250   359    67   184    63   189 0.76 -
35897at50557_568069_0:0003b4|STRG.14724.4:1126-2538|+ -            471 35897at50557         -            554   9.6e-15   50.5  10.9   3   5   0.00061     0.062    8.2   1.1   290   343   190   247   178   252 0.83 -
35897at50557_568069_0:0003b4|STRG.14724.4:1126-2538|+ -            471 35897at50557         -            554   9.6e-15   50.5  10.9   4   5   7.6e-05    0.0077   11.2   0.0   246   308   275   339   268   347 0.72 -
