#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31374at50557_103372_0:0017b9|STRG.5061.1:0-1955|+      -            652 31374at50557         -            569  1.9e-289  959.7  17.0   1   1  1.1e-289  3.3e-288  955.5  17.0     1   569     4   647     4   647 0.93 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 31374at50557         -            569   2.8e-70  236.1  21.9   1   4   1.6e-26   4.6e-25   86.8   1.7   343   476     1   135     1   139 0.96 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 31374at50557         -            569   2.8e-70  236.1  21.9   2   4   2.4e-26   7.1e-25   86.2   2.1   341   466    41   167    35   180 0.92 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 31374at50557         -            569   2.8e-70  236.1  21.9   3   4   1.6e-08   4.9e-07   27.3   0.1   342   400   127   185   124   198 0.93 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 31374at50557         -            569   2.8e-70  236.1  21.9   4   4   2.7e-21     8e-20   69.5   0.6   361   459   207   305   201   305 0.97 -
31374at50557_133901_0:001035|STRG.11576.1:443-1987|+   -            515 31374at50557         -            569   1.2e-68  230.7  11.5   1   2   5.9e-12   1.8e-10   38.6   2.9    51   163     1   127     1   151 0.87 -
31374at50557_133901_0:001035|STRG.11576.1:443-1987|+   -            515 31374at50557         -            569   1.2e-68  230.7  11.5   2   2   3.1e-58   9.2e-57  191.4   2.0   254   531   168   466   164   466 0.84 -
31374at50557_133901_0:001035|STRG.11576.2:539-2083|+   -            515 31374at50557         -            569   1.2e-68  230.7  11.5   1   2   5.9e-12   1.8e-10   38.6   2.9    51   163     1   127     1   151 0.87 -
31374at50557_133901_0:001035|STRG.11576.2:539-2083|+   -            515 31374at50557         -            569   1.2e-68  230.7  11.5   2   2   3.1e-58   9.2e-57  191.4   2.0   254   531   168   466   164   466 0.84 -
31374at50557_133901_0:001035|STRG.11576.3:443-1987|+   -            515 31374at50557         -            569   1.2e-68  230.7  11.5   1   2   5.9e-12   1.8e-10   38.6   2.9    51   163     1   127     1   151 0.87 -
31374at50557_133901_0:001035|STRG.11576.3:443-1987|+   -            515 31374at50557         -            569   1.2e-68  230.7  11.5   2   2   3.1e-58   9.2e-57  191.4   2.0   254   531   168   466   164   466 0.84 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 31374at50557         -            569     3e-67  226.1  13.1   1   3   1.7e-26     5e-25   86.7   0.2   343   472     3   132     2   133 0.97 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 31374at50557         -            569     3e-67  226.1  13.1   2   3     2e-23     6e-22   76.5   1.4   343   462    87   206    82   213 0.96 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 31374at50557         -            569     3e-67  226.1  13.1   3   3   8.5e-26   2.5e-24   84.4   0.6   341   488   127   279   120   280 0.93 -
31374at50557_133901_0:001035|STRG.11576.4:1018-1998|+  -            327 31374at50557         -            569   1.8e-58  197.1   1.3   1   1   3.5e-58     1e-56  191.3   1.3   279   531    11   278     4   279 0.87 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 31374at50557         -            569     1e-47  161.6   6.4   1   3   7.4e-23   2.2e-21   74.6   1.5   344   475     3   133     1   138 0.96 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 31374at50557         -            569     1e-47  161.6   6.4   2   3   1.4e-19   4.1e-18   63.9   0.1   343   475   127   257   125   259 0.91 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 31374at50557         -            569     1e-47  161.6   6.4   3   3   6.7e-12     2e-10   38.5   0.0   330   419   196   285   187   286 0.95 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 31374at50557         -            569   1.5e-46  157.7   8.4   1   4   3.6e-13   1.1e-11   42.7   1.0   340   435   114   210   107   220 0.71 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 31374at50557         -            569   1.5e-46  157.7   8.4   2   4   1.4e-14   4.1e-13   47.3   0.4   399   538   221   360   203   364 0.88 -
