#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+       -            652 31374at50557         -            569  1.9e-291  966.2  18.7   1   1  5.7e-291  1.7e-289  959.7  18.7     1   569     4   646     4   646 0.94 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+   -            515 31374at50557         -            569   1.1e-68  230.7  10.2   1   2   1.5e-12   4.5e-11   40.5   2.2    51   163     1   127     1   152 0.88 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+   -            515 31374at50557         -            569   1.1e-68  230.7  10.2   2   2   1.4e-57   4.1e-56  189.2   1.6   254   531   168   466   156   466 0.84 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+    -            515 31374at50557         -            569   1.1e-68  230.7  10.2   1   2   1.5e-12   4.5e-11   40.5   2.2    51   163     1   127     1   152 0.88 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+    -            515 31374at50557         -            569   1.1e-68  230.7  10.2   2   2   1.4e-57   4.1e-56  189.2   1.6   254   531   168   466   156   466 0.84 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 31374at50557         -            569   2.1e-57  193.5  24.7   1   6   3.1e-13   9.2e-12   42.8   1.9   351   479     7   143     2   177 0.78 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 31374at50557         -            569   2.1e-57  193.5  24.7   2   6     0.048       1.5    5.8   0.4   345   375   132   162   129   232 0.91 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 31374at50557         -            569   2.1e-57  193.5  24.7   3   6   9.4e-16   2.8e-14   51.1   1.1   362   461   214   326   204   331 0.79 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 31374at50557         -            569   2.1e-57  193.5  24.7   4   6   5.3e-11   1.6e-09   35.4   0.0   340   421   372   464   351   476 0.78 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 31374at50557         -            569   2.1e-57  193.5  24.7   5   6   1.5e-15   4.5e-14   50.4   0.2   338   462   423   548   410   561 0.90 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 31374at50557         -            569   2.1e-57  193.5  24.7   6   6   1.9e-12   5.6e-11   40.2   1.6   282   416   588   712   569   712 0.80 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+     -            756 31374at50557         -            569   9.3e-52  174.8   7.9   1   3     3e-20   8.9e-19   65.9   0.5   345   473    77   207    51   236 0.82 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+     -            756 31374at50557         -            569   9.3e-52  174.8   7.9   2   3   2.1e-14   6.3e-13   46.6   0.2   336   474   343   497   323   498 0.79 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+     -            756 31374at50557         -            569   9.3e-52  174.8   7.9   3   3     4e-21   1.2e-19   68.8   0.1   343   481   492   630   482   638 0.94 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+     -            767 31374at50557         -            569   1.1e-51  174.6   8.0   1   3   3.2e-20   9.5e-19   65.9   0.4   345   472   106   235    80   255 0.81 -
