#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63645at50557_34720_0:0006b0|STRG.16132.1:0-1040|+     -            347 63645at50557         -            280  5.7e-182  601.6   2.8   1   1  3.2e-183  3.2e-181  599.2   2.8     1   280    10   324    10   324 0.94 -
69548at50557_116153_0:002191|STRG.4684.1:472-1170|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   1   4      0.09       8.8    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.4684.1:472-1170|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   2   4   5.5e-06   0.00054   17.7   0.0   215   262    54   101    48   113 0.90 -
69548at50557_116153_0:002191|STRG.4684.1:472-1170|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   3   4   8.1e-06    0.0008   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.4684.1:472-1170|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   4   4      0.34        33    2.0   0.0   222   254   201   233   195   233 0.90 -
69548at50557_116153_0:002191|STRG.4684.2:619-1317|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   1   4      0.09       8.8    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.4684.2:619-1317|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   2   4   5.5e-06   0.00054   17.7   0.0   215   262    54   101    48   113 0.90 -
69548at50557_116153_0:002191|STRG.4684.2:619-1317|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   3   4   8.1e-06    0.0008   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.4684.2:619-1317|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   4   4      0.34        33    2.0   0.0   222   254   201   233   195   233 0.90 -
69548at50557_116153_0:002191|STRG.4684.3:499-1197|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   1   4      0.09       8.8    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.4684.3:499-1197|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   2   4   5.5e-06   0.00054   17.7   0.0   215   262    54   101    48   113 0.90 -
69548at50557_116153_0:002191|STRG.4684.3:499-1197|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   3   4   8.1e-06    0.0008   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.4684.3:499-1197|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   4   4      0.34        33    2.0   0.0   222   254   201   233   195   233 0.90 -
69548at50557_116153_0:002191|STRG.4684.4:488-1186|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   1   4      0.09       8.8    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.4684.4:488-1186|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   2   4   5.5e-06   0.00054   17.7   0.0   215   262    54   101    48   113 0.90 -
69548at50557_116153_0:002191|STRG.4684.4:488-1186|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   3   4   8.1e-06    0.0008   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.4684.4:488-1186|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   4   4      0.34        33    2.0   0.0   222   254   201   233   195   233 0.90 -
69548at50557_116153_0:002191|STRG.4684.5:854-1552|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   1   4      0.09       8.8    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.4684.5:854-1552|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   2   4   5.5e-06   0.00054   17.7   0.0   215   262    54   101    48   113 0.90 -
69548at50557_116153_0:002191|STRG.4684.5:854-1552|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   3   4   8.1e-06    0.0008   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.4684.5:854-1552|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   4   4      0.34        33    2.0   0.0   222   254   201   233   195   233 0.90 -
69548at50557_116153_0:002191|STRG.4684.6:594-1292|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   1   4      0.09       8.8    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.4684.6:594-1292|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   2   4   5.5e-06   0.00054   17.7   0.0   215   262    54   101    48   113 0.90 -
